estimator,column,verdict,mean_error,wins_vs_k0,wins_vs_k1,n_pairs,err_2022,k_raw_ex_2022,err_2023,k_raw_ex_2023,err_2024,k_raw_ex_2024,k_full,k_raw_full,ci_lo_full,ci_hi_full,n_fit_full,c_fit_full,k_raw_min,k_raw_max,k_raw_spread,out_of_range
fitted-k,k_ip,fallback:k=1,0.020178889017239795,3,0,3,0.02048248523947205,0.9280335361674164,0.019261953626187968,1.0239098038009595,0.02079222818605936,0.9600607882230291,0.9697197681125754,0.9697197681125754,0.866306181802514,1.073133354422637,937.0,-0.026211335669573482,0.9280335361674164,1.0239098038009595,0.09587626763354318,False
k=0,k_ip,fallback:k=1,0.02939573189523841,3,0,3,0.03314361817512527,,0.025012884637985924,,0.030030692872604046,,0.0,,,,,,,,,
k=1,k_ip,fallback:k=1,0.020107307669346357,3,0,3,0.020274671420974583,,0.019261953626187968,,0.02078529796087652,,1.0,,,,,,,,,
fitted-k,w_ip,pass,0.0007344472228344182,3,3,3,0.0007439749374101633,0.45936241307704706,0.0007186293962996877,0.5150327355851595,0.0007407373347934036,0.4932812094044865,0.49091437390329334,0.49091437390329334,0.3890855508546444,0.5927431969519422,937.0,-0.0015454490182123162,0.45936241307704706,0.5150327355851595,0.055670322508112435,False
k=0,w_ip,pass,0.0008022262655049918,3,3,3,0.0008284478610447534,,0.000772892324597184,,0.0008053386108730382,,0.0,,,,,,,,,
k=1,w_ip,pass,0.0008057074402943817,3,3,3,0.0007918655387921773,,0.0008030502076300285,,0.0008222065744609392,,1.0,,,,,,,,,
fitted-k,er_ip,pass,0.01737817136664264,3,3,3,0.018325076951250425,0.3414268086616195,0.015576151300223957,0.3954330105740027,0.01823328584845354,0.3134671264461675,0.34261710538056056,0.34261710538056056,0.23787244570689553,0.4473617650542256,937.0,-0.0021237728439726764,0.3134671264461675,0.3954330105740027,0.08196588412783523,False
k=0,er_ip,pass,0.018105842776677143,3,3,3,0.01921887919266465,,0.01589655828841996,,0.01920209084894682,,0.0,,,,,,,,,
k=1,er_ip,pass,0.019961891556384736,3,3,3,0.021603853261479178,,0.018449267522947097,,0.019832553884727933,,1.0,,,,,,,,,
fitted-k,bb_ip,pass,0.009762709561327293,3,3,3,0.012845658164750074,0.717905697219556,0.008200549230238953,0.7147594706279072,0.008241921288992858,0.673329041340839,0.6971042773195448,0.6971042773195448,0.5823441881296318,0.8118643665094578,937.0,-0.0025551101296072466,0.673329041340839,0.717905697219556,0.04457665587871695,False
k=0,bb_ip,pass,0.01177278844217658,3,3,3,0.014411108452458342,,0.010298877127496782,,0.01060837974657462,,0.0,,,,,,,,,
k=1,bb_ip,pass,0.010096532169357924,3,3,3,0.013302981246473632,,0.008527373585022091,,0.00845924167657805,,1.0,,,,,,,,,
fitted-k,h_ip,pass,0.022456928730282006,3,3,3,0.02262673150502898,0.4102795367737854,0.022501974121530488,0.36207981779073517,0.02224208056428656,0.3938650799634452,0.38500582893901336,0.38500582893901336,0.28070402253436727,0.48930763534365945,937.0,-0.0024945542721860558,0.36207981779073517,0.4102795367737854,0.048199718983050255,False
k=0,h_ip,pass,0.0236532281448923,3,3,3,0.02361028944808748,,0.023992222652970383,,0.02335717233361904,,0.0,,,,,,,,,
k=1,h_ip,pass,0.025410285958645407,3,3,3,0.026494794982508684,,0.024642003519884385,,0.025094059373543164,,1.0,,,,,,,,,
fitted-k,ip,pass,3001.4206021862897,3,3,3,2960.0555111350623,0.6663166038592531,3170.3167735828297,0.5763130949087277,2873.889521840976,0.6500088072082344,0.6313529710505262,0.6313529710505262,0.5165382815640192,0.7461676605370333,1049.0,-22.871355336815895,0.5763130949087277,0.6663166038592531,0.09000350895052533,False
k=0,ip,pass,3335.341313358125,3,3,3,3189.7716184890232,,3696.358820141864,,3119.8935014434865,,0.0,,,,,,,,,
k=1,ip,pass,3189.541732227993,3,3,3,3197.500322997416,,3247.4588419405322,,3123.6660317460314,,1.0,,,,,,,,,
