player_type,threshold,year,n_matched,n_in_year,n_survived,survival_rate
hitter,100.0,2022,678,465,351,0.7548387096774194
hitter,100.0,2023,644,458,356,0.777292576419214
hitter,100.0,2024,649,454,361,0.7951541850220264
hitter,300.0,2022,678,275,201,0.730909090909091
hitter,300.0,2023,644,293,207,0.7064846416382252
hitter,300.0,2024,649,286,199,0.6958041958041958
pitcher,50.0,2022,758,344,216,0.627906976744186
pitcher,50.0,2023,773,355,213,0.6
pitcher,50.0,2024,777,350,216,0.6171428571428571
pitcher,100.0,2022,758,139,78,0.5611510791366906
pitcher,100.0,2023,773,126,73,0.5793650793650794
pitcher,100.0,2024,777,125,73,0.584
