name,zips_PA,steamer_PA,status,yh_team,status_full,injury_note
Adolis Garcia,257,1.01,IL60,PHI,60-Day Injured List,Lat
Nick Castellanos,235,1.01,NA,SD,Not Active,
Carlos Correa,216,1.01,IL60,HOU,60-Day Injured List,Ankle
Ramon Laureano,215,1.01,IL60,SD,60-Day Injured List,Hip
Jonathan India,207,1.01,IL60,KC,60-Day Injured List,Shoulder
Dustin Harris,185,1.01,NA,HOU,Not Active,
Christopher Morel,184,1.01,NA,NYM,Not Active,
Luis Matos,177,1.02,NA,MIL,Not Active,
Johnathan Rodriguez,175,3.26,NA,BAL,Not Active,
Tyler Black,173,3.48,NA,MIL,Not Active,
Zack Short,170,3.14,NA,NYM,Not Active,
Gage Workman,167,3.19,NA,DET,Not Active,
Carlos Santana,165,1.01,NA,ATL,Not Active,
Buddy Kennedy,163,3.22,OK(active),SEA,,
Luken Baker,162,1.01,NA,AZ,Not Active,
Michael Siani,158,1.01,NA,BAL,Not Active,
Orlando Arcia,157,1.01,NA,MIN,Not Active,
Michael Stefanic,155,1.01,NA,ATH,Not Active,
Nick Solak,155,1.01,NA,SD,Not Active,
Jeimer Candelario,155,1.01,NA,LAA,Not Active,
P.J. Higgins,153,1.0,NA,CIN,Not Active,
Omar Martinez,150,1.0,NA,LAA,Not Active,
Will Wilson,148,3.12,IL60,SEA,60-Day Injured List,Thumb
Brett Harris,142,3.16,NA,BOS,Not Active,
Will Brennan,140,3.29,NA,SF,Not Active,
Collin Price,139,2.87,NA,HOU,Not Active,
Jerar Encarnacion,138,1.01,NA,SF,Not Active,
Daniel Johnson,138,1.01,NA,HOU,Not Active,
Santiago Espinal,136,1.01,NA,TEX,Not Active,
Bryce Johnson,135,3.27,NA,SD,Not Active,
Scott Kingery,134,1.01,NA,CHC,Not Active,
Eloy Jimenez,133,1.01,NA,TOR,Not Active,
Jeferson Quero,130,3.11,NA,MIL,Not Active,
Jared Oliva,130,3.19,NA,NYM,Not Active,
Andy Ibanez,129,1.01,NA,NYM,Not Active,Undisclosed
George Valera,129,1.01,NA,CLE,Not Active,
Miles Mastrobuoni,128,3.1,OK(active),SEA,,
Jose Azocar,126,1.01,NA,ATL,Not Active,
Sam Huff,124,1.01,NA,BAL,Not Active,
Greg Jones,124,1.01,NA,MIL,Not Active,
Logan Porter,120,1.01,NA,LAA,Not Active,
Yohel Pozo,120,3.05,NA,STL,Not Active,
Sam Haggerty,119,3.42,NA,CIN,Not Active,
Trey Mancini,119,1.0,NA,LAA,Not Active,
Dylan Moore,111,1.01,NA,PHI,Not Active,
Jair Camargo,109,2.97,?LOOKUP_FAIL,,,
Luke Williams,108,1.01,NA,ATL,Not Active,
Vidal Brujan,107,1.01,NA,NYM,Not Active,
Blake Hunt,106,2.93,NA,SD,Not Active,
Austin Slater,105,1.01,NA,TB,Not Active,
Stuart Fairchild,103,1.01,NA,CLE,Not Active,
