strategy,scoring,seed,pts,rank
default,var,0,58,3
default,var,1,66,1
default,var,2,66,1
default,var,3,67,1
default,var,4,55,7
default,var,5,68,1
default,var,6,64,1
default,var,7,62,1
default,var,8,55,5
default,var,9,63,2
default,vona,0,68,1
default,vona,1,68,1
default,vona,2,66,1
default,vona,3,68,1
default,vona,4,72,1
default,vona,5,66,2
default,vona,6,68,1
default,vona,7,68,1
default,vona,8,67,1
default,vona,9,63,3
nonzero_sv,var,0,64,1
nonzero_sv,var,1,67,1
nonzero_sv,var,2,66,1
nonzero_sv,var,3,66,1
nonzero_sv,var,4,63,1
nonzero_sv,var,5,68,1
nonzero_sv,var,6,64,1
nonzero_sv,var,7,58,5
nonzero_sv,var,8,61,2
nonzero_sv,var,9,67,1
nonzero_sv,vona,0,68,1
nonzero_sv,vona,1,67,1
nonzero_sv,vona,2,68,1
nonzero_sv,vona,3,67,1
nonzero_sv,vona,4,66,2
nonzero_sv,vona,5,68,1
nonzero_sv,vona,6,73,1
nonzero_sv,vona,7,66,1
nonzero_sv,vona,8,64,2
nonzero_sv,vona,9,65,1
avg_hedge,var,0,66,1
avg_hedge,var,1,72,1
avg_hedge,var,2,64,1
avg_hedge,var,3,61,1
avg_hedge,var,4,59,3
avg_hedge,var,5,64,1
avg_hedge,var,6,65,1
avg_hedge,var,7,69,1
avg_hedge,var,8,64,3
avg_hedge,var,9,70,1
avg_hedge,vona,0,66,1
avg_hedge,vona,1,62,1
avg_hedge,vona,2,69,1
avg_hedge,vona,3,63,1
avg_hedge,vona,4,62,2
avg_hedge,vona,5,66,1
avg_hedge,vona,6,62,2
avg_hedge,vona,7,67,1
avg_hedge,vona,8,70,1
avg_hedge,vona,9,62,1
three_closers,var,0,59,4
three_closers,var,1,64,1
three_closers,var,2,45,10
three_closers,var,3,66,1
three_closers,var,4,65,2
three_closers,var,5,46,10
three_closers,var,6,62,2
three_closers,var,7,63,1
three_closers,var,8,54,5
three_closers,var,9,64,1
three_closers,vona,0,66,1
three_closers,vona,1,66,1
three_closers,vona,2,68,1
three_closers,vona,3,64,1
three_closers,vona,4,73,1
three_closers,vona,5,67,1
three_closers,vona,6,67,1
three_closers,vona,7,67,1
three_closers,vona,8,67,1
three_closers,vona,9,66,1
no_punt,var,0,64,1
no_punt,var,1,60,2
no_punt,var,2,67,1
no_punt,var,3,60,1
no_punt,var,4,64,1
no_punt,var,5,65,1
no_punt,var,6,70,1
no_punt,var,7,70,1
no_punt,var,8,68,1
no_punt,var,9,64,2
no_punt,vona,0,67,1
no_punt,vona,1,65,2
no_punt,vona,2,65,2
no_punt,vona,3,67,1
no_punt,vona,4,68,1
no_punt,vona,5,66,1
no_punt,vona,6,65,2
no_punt,vona,7,65,1
no_punt,vona,8,68,1
no_punt,vona,9,70,1
no_punt_opp,var,0,62,3
no_punt_opp,var,1,66,1
no_punt_opp,var,2,62,2
no_punt_opp,var,3,64,2
no_punt_opp,var,4,64,2
no_punt_opp,var,5,63,1
no_punt_opp,var,6,69,1
no_punt_opp,var,7,56,7
no_punt_opp,var,8,64,2
