strategy,scoring,seed,pts,rank
default,var,0,65,1
default,var,1,64,1
default,var,2,66,1
default,var,3,66,1
default,var,4,60,3
default,var,5,60,3
default,var,6,58,3
default,var,7,62,1
default,var,8,62,2
default,var,9,63,2
default,vona,0,54,7
default,vona,1,57,5
default,vona,2,56,7
default,vona,3,55,5
default,vona,4,54,7
default,vona,5,54,6
default,vona,6,55,5
default,vona,7,57,7
default,vona,8,56,5
default,vona,9,57,5
nonzero_sv,var,0,68,1
nonzero_sv,var,1,67,1
nonzero_sv,var,2,60,3
nonzero_sv,var,3,62,1
nonzero_sv,var,4,63,1
nonzero_sv,var,5,63,1
nonzero_sv,var,6,63,1
nonzero_sv,var,7,64,1
nonzero_sv,var,8,59,3
nonzero_sv,var,9,66,1
nonzero_sv,vona,0,52,8
nonzero_sv,vona,1,50,8
nonzero_sv,vona,2,58,4
nonzero_sv,vona,3,57,6
nonzero_sv,vona,4,54,7
nonzero_sv,vona,5,58,5
nonzero_sv,vona,6,53,7
nonzero_sv,vona,7,56,7
nonzero_sv,vona,8,50,8
nonzero_sv,vona,9,59,4
avg_hedge,var,0,65,1
avg_hedge,var,1,56,5
avg_hedge,var,2,66,1
avg_hedge,var,3,59,5
avg_hedge,var,4,68,1
avg_hedge,var,5,62,2
avg_hedge,var,6,61,3
avg_hedge,var,7,64,1
avg_hedge,var,8,54,5
avg_hedge,var,9,60,2
avg_hedge,vona,0,69,1
avg_hedge,vona,1,63,1
avg_hedge,vona,2,70,1
avg_hedge,vona,3,61,3
avg_hedge,vona,4,64,1
avg_hedge,vona,5,64,2
avg_hedge,vona,6,64,1
avg_hedge,vona,7,66,1
avg_hedge,vona,8,63,1
avg_hedge,vona,9,63,1
three_closers,var,0,55,6
three_closers,var,1,61,2
three_closers,var,2,65,1
three_closers,var,3,59,4
three_closers,var,4,64,1
three_closers,var,5,58,4
three_closers,var,6,64,1
three_closers,var,7,63,1
three_closers,var,8,58,5
three_closers,var,9,61,1
three_closers,vona,0,57,5
three_closers,vona,1,58,4
three_closers,vona,2,52,6
three_closers,vona,3,55,4
three_closers,vona,4,56,6
three_closers,vona,5,57,6
three_closers,vona,6,55,7
three_closers,vona,7,56,6
three_closers,vona,8,56,4
three_closers,vona,9,56,6
no_punt,var,0,68,1
no_punt,var,1,66,1
no_punt,var,2,68,1
no_punt,var,3,64,3
no_punt,var,4,70,1
no_punt,var,5,61,1
no_punt,var,6,69,1
no_punt,var,7,65,1
no_punt,var,8,67,1
no_punt,var,9,66,1
no_punt,vona,0,53,6
no_punt,vona,1,53,8
no_punt,vona,2,54,8
no_punt,vona,3,54,7
no_punt,vona,4,52,7
no_punt,vona,5,59,2
no_punt,vona,6,55,5
no_punt,vona,7,49,8
no_punt,vona,8,55,6
no_punt,vona,9,51,8
no_punt_opp,var,0,65,1
no_punt_opp,var,1,64,1
no_punt_opp,var,2,60,3
no_punt_opp,var,3,56,5
no_punt_opp,var,4,57,5
no_punt_opp,var,5,65,2
no_punt_opp,var,6,59,4
no_punt_opp,var,7,65,1
no_punt_opp,var,8,61,3
no_punt_opp,var,9,60,2
no_punt_opp,vona,0,54,7
no_punt_opp,vona,1,54,6
no_punt_opp,vona,2,53,9
