strategy,scoring,static_pts,static_rank,mean_pts,std_pts,median_pts,win_rate,top3_rate,bot3_rate,floor_p10,ceiling_p90,mean_finish
no_punt_cap3,vona,70,1,60.96,7.11,61.0,27.1,60.0,8.6,51.0,70.0,3.43
closers_avg,vona,70,1,60.01,6.76,60.0,22.8,55.0,8.1,51.0,69.0,3.64
three_closers,vona,70,1,60.01,6.76,60.0,22.8,55.0,8.1,51.0,69.0,3.64
avg_anchor,var,67,1,59.7,7.52,60.0,24.3,53.1,12.1,50.0,70.0,3.85
default,var,67,1,59.7,7.52,60.0,24.3,53.1,12.1,50.0,70.0,3.85
nonzero_sv,var,67,1,59.7,7.52,60.0,24.3,53.1,12.1,50.0,70.0,3.85
no_punt_opp,vona,70,1,59.32,6.68,59.0,21.1,52.4,11.2,51.0,68.0,3.88
avg_anchor,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
balanced,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
default,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
no_punt_stagger,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
no_punt,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
nonzero_sv,vona,70,1,59.24,6.69,60.0,21.0,52.7,10.5,50.0,68.0,3.85
closers_avg,var,61,2,57.42,7.61,57.0,18.0,41.8,17.9,47.0,68.0,4.57
three_closers,var,61,2,57.42,7.61,57.0,18.0,41.8,17.9,47.0,68.0,4.57
no_punt_opp,var,67,1,57.34,7.52,58.0,14.2,41.4,17.8,48.0,67.0,4.59
avg_hedge,var,60,5,57.02,7.57,57.0,13.3,38.5,19.3,47.0,67.0,4.71
avg_hedge,vona,60,5,57.02,7.57,57.0,13.3,38.5,19.3,47.0,67.0,4.71
no_punt_stagger,var,60,5,57.02,7.57,57.0,13.3,38.5,19.3,47.0,67.0,4.71
no_punt,var,60,5,57.02,7.57,57.0,13.3,38.5,19.3,47.0,67.0,4.71
balanced,var,63,1,56.76,7.66,56.0,14.4,38.9,20.9,47.0,67.0,4.79
no_punt_cap3,var,63,1,56.76,7.66,56.0,14.4,38.9,20.9,47.0,67.0,4.79
anti_fragile,var,47,10,51.32,6.52,51.0,2.3,13.2,43.9,43.0,60.0,6.7
anti_fragile,vona,45,10,51.15,6.54,51.0,1.9,13.1,45.9,43.0,59.0,6.78
