Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
NYY,Yankees,146,508,632,147,76,24,1,46,107,111,113,10,156,6,5,1,,9,3,0.290119,0.421933,0.615217,1.03715,0.432384,0.179017,0.246375,0.726602,0.325098,3.7053,0.325655,-1.49038,,135.922,61.2378,0.749999,-0.515748,-2.00613,7.7413,60.21796131134033,-6.316667854785919,183.525,1188.6,8.14109589,1188.6,8.14109589,1.850000023841858,0.36363636,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,154,604,666,176,104,37,6,29,101,93,49,6,114,7,6,1,,34,9,0.291137,0.347399,0.51635,0.86375,0.365355,0.0729761,0.171388,0.425795,0.225213,7.00417,0.314879,3.36291,,107.042,28.2983,5.07127,2.01228,5.37519,6.81544,31.457683563232422,12.211552143096924,133.207,1003.1,6.513636363,1003.1,6.513636363,3.0999999046325684,0.02484472,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,154,564,666,160,80,27,5,47,123,110,93,10,161,5,4,1,,24,7,0.282876,0.386426,0.597799,0.984225,0.41056,0.139553,0.241471,0.577931,0.314923,6.47958,0.313456,1.28162,,131.501,52.7572,0.0,0.822701,2.10433,6.22032,55.293633699417114,-16.660648345947266,167.341,1200.6,7.796103896,1200.6,7.796103896,1.2699999809265137,0.92,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,156,540,673,148,84,25,1,38,109,99,124,9,121,4,4,1,,21,5,0.273197,0.409376,0.535398,0.944774,0.401865,0.183987,0.179386,1.02565,0.262201,4.61071,0.283552,-0.177929,,128.103,48.5483,-6.48368,0.727399,0.549471,6.16548,51.76231962442398,-13.893864154815674,164.177,1134.1,7.269871794,1134.1,7.269871794,4.650000095367432,0.01840491,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
SEA,Mariners,155,608,669,165,103,29,3,30,96,93,48,4,148,9,3,0,,29,7,0.271477,0.332085,0.477663,0.809749,0.346383,0.0716655,0.22073,0.324675,0.206187,6.04989,0.310933,1.79447,,97.1593,18.1045,4.65847,1.97614,3.7706,5.8388,27.17991065979004,6.852919340133667,129.686,905.7,5.843225806,905.7,5.843225806,9.489999771118164,0.00609756,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,153,582,660,157,93,33,4,26,97,83,67,4,140,6,4,1,,24,5,0.269663,0.34887,0.476576,0.825446,0.354243,0.102046,0.212452,0.480324,0.206913,6.09006,0.311053,2.46198,,99.9874,22.0559,-0.401237,1.65256,4.11453,5.81329,27.445364475250244,6.665429919958115,130.013,910.7,5.952287581,910.7,5.952287581,12.510000228881836,0.05128205,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,155,537,622,123,61,22,0,40,86,101,75,9,168,6,4,1,,8,2,0.229502,0.328167,0.494249,0.822416,0.347742,0.120779,0.269956,0.447404,0.264748,3.33537,0.250665,-1.64644,,90.9617,17.5076,2.83098,-0.214316,-1.86075,5.29813,20.575833916664124,9.804440259933472,130.622,844.2,5.446451612,844.2,5.446451612,18.729999542236328,0.23312883,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
SDP,Padres,153,577,660,156,95,29,2,29,101,81,72,4,131,6,3,1,,26,6,0.269712,0.355278,0.479021,0.834299,0.358986,0.109538,0.198034,0.553131,0.209309,5.88784,0.301092,1.92343,,102.528,24.596,5.6285,1.62401,3.54744,5.25855,31.09560203552246,-1.6344585418701172,135.241,931.3,6.086928104,931.3,6.086928104,14.010000228881836,0.01265823,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
CLE,Guardians,153,587,662,160,95,34,3,28,94,91,65,10,76,5,6,0,,34,8,0.27322,0.347242,0.485468,0.83271,0.352633,0.0981313,0.114483,0.857168,0.212248,6.01819,0.270293,2.13509,,99.5283,21.2802,0.436365,2.41063,4.54573,5.21228,26.903239727020264,1.2409943342208862,128.644,940.1,6.144444444,940.1,6.144444444,6.28000020980835,0.16463415,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
NYM,Mets,149,571,646,147,92,29,1,26,95,79,58,1,119,11,5,1,,23,6,0.258118,0.334912,0.447303,0.782215,0.338765,0.0894463,0.183675,0.486981,0.189185,5.49925,0.282027,0.919476,,89.7887,13.4807,2.97241,1.31973,2.23921,5.02923,18.275704622268677,9.401108503341675,120.951,820.3,5.505369127,820.3,5.505369127,25.350000381469727,0.01226994,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
