Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
KCR,Royals,141.7,580.935,641.736,169.747,100.492,36.5879,4.7189,27.9475,99.3998,88.8416,47.6168,6.4174,107.066,6.4174,4.4229,2.3432,,31.3366,9.7336,0.292195,0.34999,0.515746,0.865735,0.366557,0.0742,0.166839,0.444741,0.22355,6.67051,0.314868,2.041,,103.702,27.8758,6.039,1.30347,3.34447,6.57923,29.086580991744995,13.124000072479248,134.034,962.9,6.780985915,962.9,6.780985915,3.0999999046325684,0.02484472,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951.0,25764,25764
NYY,Yankees,140.99,509.802,633.345,142.59,75.5062,22.8784,1.1687,43.0371,108.616,102.691,111.025,24.0671,158.599,6.3335,4.4689,1.7152,,8.69,2.4368,0.279697,0.411553,0.582417,0.99397,0.410674,0.1753,0.250415,0.700037,0.30272,3.89545,0.318433,-1.33,,125.032,50.1971,-0.188,-0.374261,-1.70426,6.5217,49.48111391067505,-7.543999940156937,168.57,1129.9,8.013475177,1129.9,8.013475177,1.850000023841858,0.36363636,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450.0,15640,15640
SEA,Mariners,138.23,529.289,616.964,120.522,61.4969,21.9403,0.4569,36.6274,88.0458,89.3736,76.1334,9.8714,166.779,5.5527,4.3217,1.6676,,8.5981,2.7152,0.227705,0.328635,0.478487,0.807121,0.341762,0.1234,0.270322,0.456493,0.250782,3.81277,0.254068,-1.542,,87.2789,14.3799,0.982,-0.272381,-1.81438,5.718,17.457263350486755,7.410999894142151,126.502,814.9,5.905072463,814.9,5.905072463,18.729999542236328,0.23312883,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728.0,21534,21534
BAL,Orioles,139.69,551.55,629.903,148.903,89.3929,29.6016,3.9862,25.9222,92.3939,81.8902,65.7619,3.1495,129.449,6.299,4.3385,1.9539,,22.7417,6.5269,0.269972,0.351882,0.479093,0.830974,0.356778,0.1044,0.205506,0.508015,0.209121,5.91267,0.307055,1.543,,96.7889,22.361,-1.554,0.830388,2.37339,5.42965,25.952014446258545,5.430000185966492,131.759,876.7,6.262142857,876.7,6.262142857,12.510000228881836,0.05128205,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002.0,26289,26289
NYM,Mets,139.59,501.811,630.214,135.539,77.5695,22.9689,1.3935,33.6068,104.858,87.9611,118.165,8.1928,112.355,3.7813,4.3827,2.0741,,19.4022,6.2621,0.270099,0.409917,0.522338,0.932255,0.397869,0.1875,0.178281,1.05171,0.252239,4.85693,0.282963,-0.681,,117.862,43.397,-6.498,0.0529489,-0.628051,5.37712,45.26297056674957,-13.66700029373169,161.439,1036.9,7.406428571,1036.9,7.406428571,4.650000095367432,0.01840491,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742.0,20123,20123
SEA,Mariners,139.27,560.872,619.323,151.46,94.1709,26.2208,2.3061,28.7617,83.7326,89.3385,44.9629,3.7159,135.17,8.0512,4.4716,0.9653,,22.0893,6.194,0.270043,0.330672,0.478857,0.809529,0.345751,0.0726001,0.218255,0.332639,0.208814,5.58087,0.305666,0.588,,89.6185,16.4407,5.379,0.934174,1.52217,5.29031,22.873343229293823,7.511000156402588,129.25,828.0,5.956834532,828.0,5.956834532,9.489999771118164,0.00609756,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594.0,23697,23697
LAD,Dodgers,142.99,556.895,661.642,152.756,78.4608,25.2568,5.8618,43.1762,119.672,98.6761,92.6299,16.541,160.052,4.6315,4.036,3.4498,,21.9229,6.0757,0.274299,0.379854,0.573294,0.953148,0.395961,0.14,0.241901,0.57875,0.298995,6.71614,0.306342,0.099,,122.714,44.5361,0.0,0.845613,0.944613,5.24177,45.90978115797043,-16.68199920654297,157.34,1129.7,7.9,1129.7,7.9,1.2699999809265137,0.92,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271.0,19755,19755
NYM,Mets,140.54,572.793,649.442,147.709,91.2192,28.0158,2.1915,26.2825,94.9617,73.6221,58.9693,1.2989,120.057,10.3911,3.9766,3.3115,,22.4502,5.1978,0.257875,0.335953,0.452092,0.788045,0.341128,0.0908,0.184863,0.491176,0.194217,5.68443,0.282106,-0.526,,91.5389,14.8024,1.537,1.30993,0.783931,4.89277,18.156455636024475,8.065999746322632,122.57,827.6,5.869503546,827.6,5.869503546,25.350000381469727,0.01226994,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019.0,12916,12916
ATL,Braves,146.62,570.348,674.407,159.673,101.238,26.6652,2.3282,29.4424,106.584,81.3248,89.8985,4.0464,135.344,6.7441,4.1779,3.2389,,23.4812,5.907,0.279958,0.381895,0.48974,0.871635,0.375684,0.1333,0.200685,0.664224,0.209782,5.31951,0.317838,1.45,,113.979,34.293,-3.285,0.997593,2.44759,4.84626,36.39448523521423,-11.457000017166138,142.47,1006.2,6.844897959,1006.2,6.844897959,5.260000228881836,0.04081633,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670.0,18401,18401
SDP,Padres,129.98,515.832,592.845,141.157,84.3323,26.613,1.6554,28.5562,91.2111,77.6407,64.6794,3.5571,114.824,5.9285,3.9074,2.4976,,22.3651,5.3832,0.273649,0.358712,0.497738,0.85645,0.366542,0.1091,0.193683,0.56329,0.224089,5.52852,0.299184,0.617,,95.7944,25.7451,3.017,1.26912,1.88612,4.74106,30.284871101379395,-3.6629998683929443,140.417,876.7,6.743846153,876.7,6.743846153,14.010000228881836,0.01265823,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487.0,19709,19709
TOR,Blue Jays,143.41,550.188,636.234,163.27,100.738,31.2547,0.5807,30.6969,92.495,97.1018,74.8847,10.1797,86.2695,5.7261,4.6497,0.7851,,4.6973,1.6676,0.296753,0.383793,0.523051,0.906844,0.384411,0.1177,0.135594,0.868032,0.226299,3.02375,0.302767,-0.484,,112.036,36.8598,-1.328,-0.87345,-1.35745,4.55608,36.10178565979004,-13.47599971294403,149.954,996.7,6.969930069,996.7,6.969930069,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489.0,19611,19611
CIN,Reds,139.84,545.417,618.0,141.648,84.3468,28.7591,5.2475,23.2946,82.4237,81.071,62.9742,6.18,157.025,4.326,4.5078,0.7749,,36.6461,10.3964,0.259706,0.338528,0.459806,0.798334,0.341389,0.1019,0.254087,0.401044,0.2001,6.84336,0.320216,2.039,,87.2383,14.2169,1.534,2.11139,4.15039,4.46669,14.820597171783447,8.283000111579895,114.568,822.3,5.873571428,822.3,5.873571428,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829.0,26668,26668
LAD,Dodgers,133.31,522.432,596.644,141.856,88.8892,28.0123,2.8804,22.0741,83.7882,79.0315,64.4972,2.3866,70.3715,4.1765,4.2256,1.3128,,7.768,2.1782,0.27153,0.353635,0.462934,0.816569,0.352493,0.1081,0.117946,0.916524,0.191404,4.55705,0.275861,-0.268,,89.6024,19.1043,-1.765,-0.362834,-0.630834,4.46121,18.860365509986877,4.899999976158142,127.563,791.9,5.954135338,791.9,5.954135338,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141.0,13611,13611
HOU,Astros,122.42,459.338,543.408,137.059,79.1583,27.0671,1.4986,29.3346,83.7314,86.6172,71.7841,14.1286,91.7757,7.6077,3.965,0.7129,,4.7109,1.504,0.298383,0.398844,0.555423,0.954267,0.399646,0.1321,0.168889,0.782169,0.25704,3.70189,0.314805,-0.918,,102.411,38.2036,-0.777,-0.627158,-1.54516,4.44595,37.15233671665192,-12.407000124454498,160.421,908.7,7.448360655,908.7,7.448360655,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541.0,19556,19556
