Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
NYY,Yankees,145.056,518.352,637.642,148.727,72.6272,26.0638,0.422829,49.6136,105.747,119.577,108.297,18.1656,161.953,5.9873,4.23653,0.51703,8.88188,7.85744,2.89428,0.286923,0.412973,0.625979,1.03895,0.428504,0.169839,0.253987,0.668692,0.339056,3.22316,0.318671,,,135.111,59.7684,-2.34,-0.727772,-0.727772,7.43217,60.03566747903824,-9.347536325454712,180.852,1210.6,8.348965517,1210.6,8.348965517,1.850000023841858,0.36363636,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,151.257,598.54,659.483,174.525,102.361,35.3685,5.53317,31.2631,104.428,96.7336,47.9626,5.00186,112.83,6.41675,5.69579,0.868119,6.9936,37.0848,8.40224,0.291585,0.347555,0.525863,0.873417,0.369341,0.0727276,0.171089,0.425086,0.234277,7.02761,0.311344,,,108.061,30.1376,3.65,2.97437,2.97437,6.5764,30.919272422790527,10.652638912200928,135.952,1018.0,6.741721854,1018.0,6.741721854,3.0999999046325684,0.02484472,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,148.707,534.352,618.703,119.956,58.1644,22.1547,0.855488,38.7815,81.3226,102.189,73.2791,6.83438,170.962,6.16831,4.39914,0.504786,6.27113,7.31902,2.56785,0.224489,0.322556,0.486882,0.809438,0.343217,0.11844,0.276324,0.428628,0.262393,3.61963,0.246726,,,88.2559,15.1513,14.95,-0.451126,-0.451126,6.40013,19.605768024921417,21.647247314453125,127.505,816.0,5.476510067,816.0,5.476510067,18.729999542236328,0.23312883,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,148.5,558.765,660.136,159.035,77.9291,30.8118,3.10501,47.1893,120.95,118.306,91.2053,13.4992,156.83,4.75018,3.60543,0.742803,8.7755,25.3068,8.35762,0.284619,0.387332,0.604234,0.991566,0.411841,0.138161,0.237573,0.581554,0.319615,5.94659,0.312113,,,130.946,52.9461,0.0,0.579965,0.579965,6.33221,53.954172015190125,-14.018393516540527,168.219,1193.3,8.062837837,1193.3,8.062837837,1.2699999809265137,0.92,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,154.754,547.78,678.277,147.909,82.905,26.4207,0.428373,38.1554,107.647,99.6277,121.419,8.89808,123.302,4.14035,3.84956,1.08774,13.8145,16.7133,6.11602,0.270016,0.403829,0.528776,0.932606,0.397202,0.179011,0.181787,0.984728,0.25876,3.9674,0.281296,,,126.483,46.3397,-2.99,-0.479431,-0.479431,6.21583,48.54446020722389,-10.349490404129028,160.983,1103.9,7.121935483,1103.9,7.121935483,4.650000095367432,0.01840491,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
SEA,Mariners,151.723,598.756,660.213,163.707,103.508,25.8157,6.15774,28.2261,95.6853,87.3828,47.7433,3.64137,146.172,9.25768,3.89313,0.56337,10.78,25.7598,6.52701,0.273412,0.334584,0.47852,0.813104,0.347712,0.072315,0.221401,0.326624,0.205108,6.70978,0.316359,,,96.5865,18.5772,0.52,1.44345,1.44345,5.18279,25.255361080169678,2.670269250869751,130.601,893.0,5.875,893.0,5.875,9.489999771118164,0.00609756,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,152.419,583.112,659.777,155.891,93.5828,34.6145,2.7282,24.9656,94.2417,80.0739,64.9956,3.17544,140.402,5.72054,5.40825,0.540387,12.1907,20.6397,5.18877,0.267343,0.343742,0.464506,0.808248,0.347498,0.0985115,0.212802,0.462925,0.197162,5.59646,0.309405,,,96.4081,18.4503,-1.33,0.939366,0.939366,5.0243,20.665098965168,5.726435542106628,125.367,883.1,5.809868421,883.1,5.809868421,12.510000228881836,0.05128205,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SDP,Padres,148.542,567.003,648.293,154.86,93.8814,27.7326,4.10197,29.1438,99.5711,85.4294,69.9112,3.09638,129.015,6.20648,4.20737,0.96518,12.5318,23.2017,7.18332,0.27312,0.356817,0.490699,0.847515,0.363413,0.107839,0.199008,0.541882,0.217579,5.89739,0.304359,,,103.107,26.5058,4.32,0.596809,0.596809,4.99466,30.004443526268005,-2.7479705810546875,138.273,929.7,6.239597315,929.7,6.239597315,14.010000228881836,0.01265823,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
TOR,Blue Jays,152.973,578.59,662.728,173.107,109.591,30.8586,1.17782,31.4794,97.3647,97.5931,72.0786,6.98853,87.6115,7.13586,4.2906,0.633178,16.4976,5.843,2.26813,0.299188,0.381096,0.519815,0.900911,0.38391,0.108761,0.132198,0.822707,0.220627,3.44632,0.305371,,,116.432,38.1253,-0.37,-0.960538,-0.960538,4.93539,37.78914171457291,-12.368168950080872,149.609,1019.6,6.664052287,1019.6,6.664052287,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TEX,Rangers,122.688,453.812,526.391,125.055,72.9249,23.5154,0.681815,27.9332,70.9606,83.2662,59.5686,8.42022,99.1432,4.62774,4.24761,0.48675,10.2321,1.76132,0.695534,0.275566,0.362373,0.515045,0.877418,0.370723,0.113164,0.188345,0.600834,0.239479,2.38239,0.293435,,,86.8434,24.6463,-0.09,-0.782211,-0.782211,4.802,24.857434034347534,3.9537860453128815,141.327,780.5,6.345528455,780.5,6.345528455,95.08999633789062,0.04761905,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ARI,Diamondbacks,139.718,533.331,611.663,147.213,85.5861,30.8177,1.81261,28.9961,85.7073,94.7109,66.8077,4.3862,100.555,6.25627,4.24528,0.639404,12.8006,4.75657,1.81921,0.276025,0.360731,0.50371,0.864441,0.369044,0.109223,0.164396,0.66439,0.227685,3.63223,0.289729,,,100.077,27.8048,-0.25,-0.812085,-0.812085,4.75454,26.306691706180573,-0.1789184734225273,137.408,887.0,6.335714285,887.0,6.335714285,32.63999938964844,0.1640625,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
HOU,Astros,131.1,475.788,558.79,138.805,76.9046,27.2432,1.27975,33.3776,84.2209,92.4566,69.5095,9.01339,93.0427,7.75758,5.19939,0.535831,9.24003,3.51468,1.18724,0.291738,0.38705,0.564833,0.951883,0.399523,0.124393,0.166507,0.747071,0.273095,3.14255,0.297342,,,105.254,39.229,-0.44,-0.741549,-0.741549,4.7332,38.99530154466629,-11.971945226192474,160.335,935.4,7.140458015,935.4,7.140458015,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
MIL,Brewers,143.978,523.815,599.947,137.731,89.6354,27.1298,0.0,20.966,71.6559,80.9592,66.4337,2.71709,119.252,4.6382,4.09349,0.96691,15.0048,5.31226,2.10342,0.262939,0.348598,0.434808,0.783406,0.340764,0.110733,0.198771,0.557085,0.17187,2.76593,0.301182,,,84.3852,13.4968,5.49,-0.841934,-0.841934,4.68593,13.218473196029663,12.62838888168335,119.774,741.4,5.148611111,741.4,5.148611111,56.560001373291016,0.1474359,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
ARI,Diamondbacks,138.713,527.125,606.092,136.93,75.151,29.2745,6.91095,25.5934,96.6779,77.3064,63.5528,2.61114,126.033,7.93364,3.96717,3.51341,7.73373,33.9072,6.80333,0.259767,0.345874,0.487183,0.833057,0.356566,0.104857,0.207943,0.504256,0.227416,7.71547,0.293403,,,93.0256,21.4112,7.11,3.04455,3.04455,4.58461,23.775962114334106,0.8762898445129395,128.86,869.6,6.256115107,869.6,6.256115107,14.100000381469727,0.02040816,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
LAD,Dodgers,123.554,424.943,497.391,115.013,68.644,20.9349,1.67269,23.7611,72.5532,72.5441,56.2054,2.28639,93.7591,9.09996,5.80847,0.473474,7.75388,2.92684,1.0806,0.270655,0.363503,0.495541,0.859044,0.367983,0.113001,0.188502,0.599467,0.224886,3.59215,0.291324,,,80.9525,22.1819,-2.55,-0.726354,-0.726354,4.57514,21.778088092803955,6.3968117237091064,138.175,714.8,5.764516129,714.8,5.764516129,95.69000244140625,0.00952381,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
ATL,Braves,143.717,534.031,629.035,148.435,91.3083,24.6661,3.22835,29.2317,101.82,82.6397,82.1735,3.41056,135.88,8.44539,3.82883,0.555847,11.9886,26.2359,9.02802,0.277951,0.380368,0.500443,0.880811,0.378657,0.130634,0.216013,0.604752,0.222492,5.93634,0.319794,,,107.829,33.5041,-2.8,0.371534,0.371534,4.52803,33.55284681916237,-10.216697454452515,144.507,951.2,6.605555555,951.2,6.605555555,5.260000228881836,0.04081633,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
NYM,Mets,142.366,552.796,627.632,141.692,87.431,27.3873,1.61708,25.2562,86.3359,77.7464,54.3945,1.07682,117.241,9.5831,4.57891,0.697543,9.36888,21.838,6.81267,0.256318,0.331003,0.448777,0.779779,0.337343,0.0866662,0.1868,0.463953,0.192458,5.43639,0.28065,,,86.5364,12.3768,1.02,0.58525,0.58525,4.44686,15.445844888687134,7.143570423126221,119.977,781.1,5.500704225,781.1,5.500704225,25.350000381469727,0.01226994,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
CLE,Guardians,150.651,575.529,648.819,155.575,94.1328,30.9346,4.13293,26.3749,91.687,84.2809,62.1263,14.9223,72.3439,4.50061,5.94514,0.718244,6.90525,34.1357,9.38903,0.270317,0.342851,0.475911,0.818762,0.344243,0.0957529,0.111501,0.858764,0.205594,6.30135,0.267631,,,93.0921,16.4291,0.62,2.01941,2.01941,4.42537,19.50402593612671,1.4109320640563965,122.864,895.1,5.927814569,895.1,5.927814569,6.28000020980835,0.16463415,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TOR,Blue Jays,122.297,429.32,484.104,115.292,77.6079,19.676,0.0,18.0084,59.3103,62.3951,45.0898,1.61858,59.472,4.54778,4.57472,0.571207,12.2183,0.295505,0.149195,0.268546,0.341094,0.440216,0.78131,0.338545,0.0931407,0.12285,0.758169,0.17167,1.63206,0.272952,,,67.2193,10.0187,7.31,-0.831345,-0.831345,4.31503,9.64344847202301,15.864122867584229,118.358,592.2,4.85409836,592.2,4.85409836,160.25,0.05511811,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
LAD,Dodgers,142.79,528.456,620.3,142.125,82.8924,28.3869,2.43886,28.4065,95.4319,86.2872,81.2361,5.84865,88.9066,3.53783,5.10282,0.830404,8.82362,17.2632,6.46971,0.268943,0.366952,0.493151,0.860103,0.367532,0.130963,0.143328,0.913725,0.224208,5.16967,0.2732,,,100.729,27.4359,0.35,-0.265094,-0.265094,4.29125,27.57307168841362,-6.260647684335709,137.866,893.5,6.248251748,893.5,6.248251748,13.130000114440918,0.13868613,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
TBR,Rays,149.35,584.165,636.073,156.562,92.4112,27.2269,0.630907,36.2932,81.9555,105.031,41.512,2.19317,124.224,4.65474,5.15485,0.586713,13.187,4.87606,1.78138,0.26801,0.319014,0.503164,0.822177,0.349165,0.065263,0.195298,0.334171,0.235153,3.04663,0.280476,,,93.8052,18.6483,-0.39,-0.654662,-0.654662,4.16526,17.478970408439636,1.3325227499008179,124.188,862.5,5.788590604,862.5,5.788590604,16.479999542236328,0.03797468,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
