Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",8.239,5.5193,12.5705,2.93721,19.7531,19.7531,0,0,,116.559,472.854,95.32,41.776,38.0396,10.5291,30.9662,,4.7432,140.816,10.8731,2.39104,4.54742,0.813,0.297801,0.0654879,0.23231294006109238,0.218051,1.08346,0.29668,0.75763,,,2.7759,3.38568,3.24794,9.649999618530273,,,,,,,657.5000000000002,5.619658119658122,616,5.264957264957265,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",8.6368,5.7047,13.9755,2.92777,19.9506,19.9506,0,0,,125.465,510.019,111.055,45.6901,40.8146,10.1208,31.9063,,4.0521,128.554,9.2216,2.28874,4.02911,0.726,0.252057,0.062559,0.18949803709983826,0.234263,1.13945,0.300949,0.755257,,,2.95794,3.26622,3.32715,24.75,,,,,,,663.4,5.3072,645,5.16,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",7.7308,5.0235,11.7475,3.10371,18,18,0,0,,110.041,448.597,89.7497,41.3843,37.9483,10.9796,30.4126,,6.1992,134.649,11.0126,2.48738,4.4274,0.898,0.300155,0.0677949,0.23236002773046494,0.217847,1.09198,0.295731,0.751764,,,2.9467,2.7368,2.77709,39.36000061035156,,,,,,,606.7,5.515454545454546,569,5.172727272727273,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Tarik Skubal","DET",6.3337,4.0956,9.9797,2.76824,14.85,14.85,0,0,,89.1845,356.168,71.6022,30.2009,27.4316,8.51217,19.7915,,3.2322,106.276,10.7248,1.99725,5.36979,0.859,0.298388,0.0555679,0.24282024428248405,0.214928,1.02477,0.288932,0.769947,,,2.73067,2.58478,2.66556,7.019999980926514,,,,,,,503.7,5.659550561797753,471,5.292134831460674,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jacob deGrom","TEX",6.8125,5.6103,10.1747,3.37881,18,18,0,0,,103.718,421.618,87.431,41.904,38.9382,13.541,23.958,,2.9859,122.597,10.6382,2.07893,5.11716,1.175,0.290777,0.056824,0.23395301774144173,0.221527,1.07396,0.285801,0.751745,,,3.21123,2.55021,2.3296,50.0099983215332,,,,,,,536.2,5.1557692307692315,503,4.836538461538462,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",7.2713,5.7488,10.5603,3.34863,19,19,0,0,,107.987,452.208,86.7942,43.6982,40.1788,11.4226,42.408,,3.6914,133.51,11.1271,3.53442,3.14822,0.952,0.29524,0.0937799,0.20145992189645767,0.213722,1.19646,0.288585,0.755266,,,3.28181,2.52062,2.2953,74.7699966430664,,,,,,,567.7,5.256481481481482,527,4.87962962962963,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Zack Wheeler","PHI",7.3026,5.4921,11.2284,3.26925,18.18,18.18,0,0,,109.262,447.611,93.0763,43.2531,39.6894,12.2737,28.9295,,5.1516,121.357,9.99627,2.38295,4.19491,1.011,0.271121,0.0646309,0.20649001002311707,0.225078,1.11664,0.288684,0.751295,,,3.27341,2.46634,2.5683,110.48999786376953,,,,,,,557.1999999999998,5.1119266055045856,529,4.853211009174312,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",7.6572,6.1694,11.3593,3.41951,19.9506,19.9506,0,0,,116.011,481.174,100.029,47.9826,44.0779,13.5475,37.5989,,4.039,128.235,9.94834,2.91688,3.41061,1.051,0.266505,0.0781399,0.1883649006485939,0.227579,1.18634,0.290448,0.755472,,,3.48282,2.37537,2.48131,70.58999633789062,,,,,,,556.2,4.794827586206897,528,4.551724137931035,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Logan Webb","SFG",7.14,6.4499,12.0571,3.36823,19,19,0,0,,117.445,492.637,114.07,48.9461,43.9534,8.96494,32.6116,,4.0086,105.806,8.10808,2.49909,3.24442,0.687,0.214774,0.066198,0.14857593923807144,0.250144,1.24894,0.308003,0.728658,,,3.22467,2.31934,2.16283,57.189998626708984,,,,,,,559.7000000000002,4.783760683760685,569,4.863247863247863,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jacob Misiorowski","MIL",7.3567,6.0531,10.6431,3.41623,23.6264,18.54,0,0.3993,,113.868,477.984,88.9695,46.9495,43.222,12.2851,49.6604,,7.1268,142.2,11.2394,3.92511,2.86346,0.971,0.2975,0.103896,0.19360478222370148,0.21123,1.21746,0.287518,0.755001,,,3.49976,2.20755,2.26515,114.13999938964844,,,,,,,577.5999999999999,5.0666666666666655,527,4.62280701754386,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Nathan Eovaldi","TEX",6.7864,6.0147,10.8825,3.54098,18,18,0,0,,110.046,456.622,102.056,47.3239,43.2967,12.1295,28.9704,,5.0347,107.843,8.81981,2.36932,3.72251,0.992,0.236175,0.063445,0.1727299466729164,0.241486,1.19065,0.297136,0.733943,,,3.49866,2.20084,2.17797,132.50999450683594,,,,,,,515.2,4.6836363636363645,508,4.618181818181818,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",6.3171,6.0522,9.6595,3.65876,17.82,17.82,0,0,,103.513,426.508,90.5297,45.019,42.0812,13.8363,25.4966,,5.2495,114.99,9.99783,2.21681,4.51001,1.203,0.269608,0.0597799,0.2098279558122158,0.228748,1.12088,0.28731,0.734643,,,3.50571,2.15999,2.04451,78.52999877929688,,,,,,,500.80000000000007,4.815384615384616,478,4.596153846153846,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Yoshinobu Yamamoto","LAD",6.8458,4.4161,9.6973,3.40824,16,16,0,0,,96.5288,400.202,86.2851,40.1263,36.5548,10.3071,29.6322,,3.4826,101.193,9.43485,2.7628,3.41496,0.961,0.252854,0.0740431,0.1788109689950943,0.235053,1.20086,0.297268,0.746803,,,3.41936,2.1268,2.02602,26.639999389648438,,,,,,,474.20000000000005,4.888659793814433,458,4.721649484536083,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
