Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",93,402,364,104,62,23,4,16,57,53,33,3,71,3,3,0,,23,6,0.286375,0.0822657,0.175925,0.467617,0.348819,0.499422,0.366209,0.848241,0.213046,6.94165,0.316673,0,1.76244,63.1437,15.8461,130.374,1.76244,7.43994,16.13560390472412,11.75012731552124,4.29981,3.0999999046325684,,,,,,,593.2,6.378494623,593.2,6.378494623,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",92,398,323,87,51,13,1,22,63,60,71,6,68,1,2,0,,13,3,0.270682,0.179363,0.1698,1.05632,0.40292,0.525312,0.400909,0.928232,0.25463,4.92546,0.277457,0,0.872555,73.543,26.7229,160.848,0.872555,-3.08142,29.34109878540039,-8.05920124053955,3.46521,4.650000095367432,,,,,,,646.7,7.029347826,646.7,7.029347826,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",91,394,333,96,51,18,3,24,73,69,55,10,94,4,3,0,,15,3,0.288374,0.13963,0.238559,0.585304,0.392595,0.579613,0.410863,0.972208,0.291239,6.72376,0.329594,0,1.24291,75.9101,29.5777,164.813,1.24291,0,31.250526905059814,-9.851851463317871,3.46374,1.2699999809265137,,,,,,,696.6,7.654945054,696.6,7.654945054,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Pete Crow-Armstrong","CHC",90,390,354,90,55,16,4,16,56,55,24,1,97,7,2,3,,20,6,0.255379,0.060694,0.24802,0.244714,0.313196,0.455183,0.335131,0.768379,0.199803,7.33728,0.306291,0,1.22268,51.531,5.68125,114.616,1.22268,9.68689,7.919450879096985,11.079634666442871,3.20499,32.939998626708984,,,,,,,483.8,5.375555555,483.8,5.375555555,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Yordan Alvarez","HOU",81,350,296,88,50,17,1,21,50,55,47,8,62,5,2,0,,1,1,0.297902,0.133322,0.176128,0.75696,0.399569,0.570758,0.412717,0.970327,0.272855,2.608,0.312015,0,-0.41314,67.8627,26.758,165.533,-0.41314,-0.0260328,26.537608087062836,-8.421865789219737,3.11089,33.38999938964844,,,,,,,604.3,7.460493827,604.3,7.460493827,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",93,402,351,96,64,17,1,14,56,47,44,2,81,4,3,0,,16,6,0.27296,0.109032,0.200568,0.543617,0.356527,0.44382,0.35238,0.800347,0.17086,5.31486,0.316387,0,0.445182,58.7129,11.4052,128.296,0.445182,6.62796,13.82178208231926,3.4427764415740967,3.06767,14.010000228881836,,,,,,,530.8,5.707526881,530.8,5.707526881,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",88,382,332,87,46,17,8,16,64,52,41,2,84,5,2,1,,18,3,0.262289,0.107989,0.219915,0.49105,0.350428,0.505136,0.369895,0.855564,0.242847,8.19306,0.304283,0,1.88118,61.0253,16.156,135.462,1.88118,4.09623,17.78140377998352,0.12585926055908203,3.06632,14.100000381469727,,,,,,,564.3,6.4125,564.3,6.4125,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Julio Rodríguez","SEA",92,398,362,97,61,18,1,17,56,55,29,3,88,5,2,0,,15,4,0.267633,0.0724636,0.220582,0.328511,0.328762,0.465074,0.345385,0.793837,0.197441,5.35763,0.307158,0,0.985397,55.8586,9.05888,125.754,0.985397,1.49839,13.044187664985657,2.8039439916610718,3.05317,9.489999771118164,,,,,,,518.2,5.632608695,518.2,5.632608695,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"José Ramírez","CLE",90,390,343,91,52,21,1,16,54,52,42,10,48,2,3,0,,21,3,0.264078,0.108253,0.124263,0.87116,0.345965,0.469914,0.348808,0.81588,0.205836,5.95358,0.266243,0,2.29506,55.7661,9.93671,122.747,2.29506,2.92483,12.725164651870728,3.3984448313713074,3.05166,6.28000020980835,,,,,,,547.1,6.078888888,547.1,6.078888888,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Gunnar Henderson","BAL",90,390,348,90,53,18,3,16,54,49,36,1,88,4,2,0,,11,3,0.258774,0.0930165,0.224764,0.413841,0.333335,0.465021,0.348533,0.798356,0.206247,6.0375,0.300911,0,0.663972,55.6992,9.85451,122.82,0.663972,-0.179944,11.130864441394806,3.997833698987961,2.95035,12.510000228881836,,,,,,,508.2,5.646666666,508.2,5.646666666,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
