Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",58.33,264.415,237.124,68.4925,41.0668,15.2065,1.557,10.6622,40.2681,34.8577,21.9994,2.6442,44.4845,2.3797,1.8204,1.0917,,14.7087,4.5688,0.288847,0.0832002,0.168237,0.494541,0.35269,0.501002,0.365118,0.853692,0.212155,6.50177,0.314641,0.87,0.699133,41.9025,10.3388,132.137,1.56913,2.613,11.525063395500183,5.5299999713897705,2.6796,3.0999999046325684,,,,,,,388.6,6.7,388.6,6.7,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",58.33,262.641,207.461,57.4071,33.1186,8.8212,0.9373,14.53,43.7617,38.1938,51.1888,4.7275,42.488,1.3132,1.8416,0.8368,,7.2049,2.4791,0.276713,0.1949,0.161772,1.20478,0.419813,0.53838,0.408975,0.958193,0.261667,4.86858,0.281559,-0.294,-0.0343974,50.9745,19.6226,163.306,-0.328397,-2.313,19.876366019248962,-5.552999973297119,2.31434,4.650000095367432,,,,,,,448.7,7.736206896,448.7,7.736206896,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",58.34,262.292,236.611,63.6201,39.7964,11.1777,0.6342,12.0118,36.2477,35.7304,19.6195,1.0492,56.195,3.4098,1.8427,0.81,,8.5841,2.5065,0.268881,0.0748001,0.214246,0.349132,0.331377,0.473781,0.347364,0.805159,0.2049,5.04112,0.303139,0.239,0.335629,37.7847,6.47447,129.537,0.574629,1.83,9.651405990123749,2.559000015258789,2.18179,9.489999771118164,,,,,,,349.5,6.025862068,349.5,6.025862068,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",60.19,265.727,237.5,64.6458,36.4196,10.8119,0.2519,17.1624,38.0856,44.9094,24.3406,2.3915,50.16,1.5944,1.9024,0.3894,,2.0985,0.7527,0.272193,0.0916001,0.188765,0.485259,0.341379,0.536626,0.372477,0.878005,0.264433,3.09865,0.275938,-0.072,-0.223734,43.6982,11.978,139.407,-0.295734,-0.814,11.972903549671173,-0.14499998092651367,2.15548,16.479999542236328,,,,,,,396.7,6.611666666,396.7,6.611666666,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Yordan Alvarez","HOU",54.56,246.375,204.939,60.9471,34.5869,11.6497,0.3336,14.3769,40.6318,37.7627,35.3795,7.1449,42.0329,3.4493,1.7153,0.8926,,0.9662,0.3204,0.297392,0.1436,0.170605,0.84171,0.406448,0.567949,0.409315,0.974396,0.270557,2.75297,0.309963,-0.557,-0.30564,47.8857,18.4754,166.42,-0.86264,-0.085,18.30986100435257,-6.119999848306179,2.12228,33.38999938964844,,,,,,,418.9,7.616363636,418.9,7.616363636,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",59.25,274.596,229.005,62.9163,33.2025,10.6106,2.1321,16.9711,48.9171,39.4716,40.091,6.5903,65.1289,2.1968,1.664,1.6393,,6.8839,2.01,0.274738,0.146,0.237181,0.615564,0.385424,0.562016,0.397718,0.947441,0.287278,6.10241,0.309252,0.077,0.162279,50.7848,18.0059,153.033,0.239279,0,17.935825914144516,-6.913000106811523,2.01979,1.2699999809265137,,,,,,,460.6,7.806779661,460.6,7.806779661,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",58.33,264.975,233.003,60.13,36.4079,11.8014,1.6116,10.3091,37.3506,32.178,26.1795,1.0599,55.7809,2.9147,1.7816,1.0965,,7.5527,2.2306,0.258066,0.0987999,0.210514,0.469327,0.338126,0.455282,0.344462,0.793408,0.197216,5.70851,0.295332,0.731,0.229116,37.5469,5.91638,122.356,0.960116,-0.449,7.900380730628967,2.468000054359436,2.0051,12.510000228881836,,,,,,,339.8,5.858620689,339.8,5.858620689,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Kevin McGonigle","DET",59.26,272.481,233.36,62.4334,41.291,12.609,1.6344,6.899,37.4098,26.3814,33.7604,0,38.2243,2.1798,1.7041,1.4768,,5.6622,1.5142,0.267541,0.1239,0.140283,0.883218,0.362997,0.424273,0.348589,0.78727,0.156731,5.25669,0.292378,0.452,0.0776701,39.5236,6.9971,123.493,0.52967,-0.396,8.029670536518097,1.929000049829483,1.99073,999,,,,,,,342.9,5.811864406,342.9,5.811864406,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Elly De La Cruz","CIN",60.18,272.53,240.6,63.1229,37.5938,12.1261,2.5265,10.8764,38.4937,33.4557,27.1712,1.3627,70.5681,1.9077,1.8224,1.0283,,14.2431,4.1588,0.262356,0.0996998,0.258937,0.385035,0.339599,0.469372,0.349285,0.808971,0.207016,7.06769,0.324556,0.97,0.762293,39.6848,7.15243,115.36,1.73229,0.687,6.819107294082642,3.378999888896942,1.92955,8.449999809265137,,,,,,,369.5,6.158333333,369.5,6.158333333,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Cal Raleigh","SEA",52.22,225.591,193.336,41.9166,21.5563,7.4811,0.1333,12.7459,29.6702,31.3625,28.1311,2.2559,63.2015,2.0303,1.5457,0.5477,,2.4545,0.8269,0.216807,0.1247,0.28016,0.445102,0.320286,0.45466,0.333877,0.774946,0.237853,3.41792,0.245268,-0.555,-0.125338,30.0271,3.09801,120.189,-0.680338,0.633,4.6558480858802795,3.09499990940094,1.92882,18.729999542236328,,,,,,,275.7,5.301923076,275.7,5.301923076,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Pete Crow-Armstrong","CHC",59.26,258.865,232.557,58.626,34.8955,11.0473,2.1046,10.5786,35.7868,31.7906,19.4149,0.7766,63.6742,3.883,1.7077,1.3021,,13.7423,3.7638,0.252093,0.0750002,0.245975,0.30491,0.318073,0.454161,0.333931,0.772234,0.202068,7.15085,0.300274,0.564,0.869623,34.4673,3.56621,111.674,1.43362,4.3,5.10595440864563,5.288000166416168,1.90434,32.939998626708984,,,,,,,328.5,5.56779661,328.5,5.56779661,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Fernando Tatis Jr.","SDP",59.26,272.899,238.351,65.4431,41.6051,12.5032,0.7398,10.595,40.5006,31.0483,28.5998,1.3645,52.9854,2.729,1.6998,1.5198,,13.1246,3.3223,0.274566,0.1048,0.194157,0.539768,0.356593,0.466585,0.357672,0.823178,0.192019,5.78388,0.310807,0.259,0.851138,41.5971,9.02063,129.456,1.11014,1.203,10.878661155700684,-1.6380001306533813,1.83389,14.010000228881836,,,,,,,385.1,6.527118644,385.1,6.527118644,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",59.26,273.533,239.788,66.5516,40.3964,13.4629,1.451,11.2414,40.561,32.7465,27.7636,1.6412,42.2506,2.7353,1.6879,1.558,,2.7154,0.7349,0.277544,0.1015,0.154463,0.657117,0.356836,0.486433,0.363951,0.84327,0.20889,4.45827,0.294229,-0.027,-0.14427,43.0882,10.4362,128.998,-0.17127,-0.342,9.467669561505318,-0.2890000082552433,1.82971,32.63999938964844,,,,,,,377.9,6.405084745,377.9,6.405084745,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Mookie Betts","LAD",59.26,260.551,228.261,61.0597,38.0803,12.1077,0.9619,9.9098,35.8676,35.7992,28.1916,1.3028,31.0891,1.8239,1.7252,0.5498,,2.9427,0.9344,0.2675,0.1082,0.11932,0.9068,0.350287,0.459214,0.351745,0.809502,0.191715,4.10254,0.270653,-0.102,-0.168004,38.4608,7.35834,122.313,-0.270004,-0.438,6.7948527336120605,2.419000118970871,1.79051,60.58000183105469,,,,,,,341,5.779661016,341,5.779661016,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",58.32,260.058,228.544,58.1068,36.3045,10.5663,1.1484,10.0876,34.9523,32.555,24.6015,0.2601,46.5772,4.421,1.6718,0.8205,,7.4519,2.0289,0.254248,0.0945999,0.179103,0.528188,0.336098,0.442947,0.340762,0.779045,0.188699,5.42075,0.276687,-0.218,0.289202,36.0689,5.02529,117.726,0.0712021,0.623,5.672928608953953,3.339000105857849,1.76845,25.350000381469727,,,,,,,322.1,5.553448275,322.1,5.553448275,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ronald Acuña Jr.","ATL",56.55,259.874,216.56,58.9105,37.4335,9.9807,0.9088,10.5874,40.9316,29.9575,37.188,1.8191,53.9667,3.1185,1.6138,1.3942,,12.8622,3.5646,0.272029,0.1431,0.207664,0.689092,0.383847,0.473176,0.373685,0.857023,0.201147,5.9074,0.314563,0.572,0.674087,42.9908,11.9691,136.008,1.24609,-1.096,12.617505073547363,-4.35699987411499,1.69182,5.260000228881836,,,,,,,385,6.754385964,385,6.754385964,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr.","TOR",59.25,263.527,227.436,65.7615,41.8347,12.7245,0.182,11.0204,36.3733,36.6724,31.1225,3.4258,35.2526,2.6353,1.9164,0.4165,,2.7524,0.9924,0.289143,0.1181,0.133772,0.882843,0.378242,0.492056,0.374664,0.870299,0.202913,3.26378,0.299002,-0.227,-0.259803,43.8043,12.3467,142.433,-0.486803,-0.336,12.614388436079025,-5.395000010728836,1.68128,18.049999237060547,,,,,,,388.6,6.586440677,388.6,6.586440677,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Geraldo Perdomo","ARI",59.26,262.354,222.277,58.5528,40.7123,10.7822,1.8151,5.2432,33.9555,26.3062,34.4471,0.2624,32.8747,2.8859,1.8267,0.918,,9.6293,3.2441,0.263423,0.1313,0.125307,1.04783,0.366766,0.399029,0.3422,0.765795,0.135606,5.58116,0.286633,0.121,0.150218,36.6937,5.376,114.464,0.271218,0.177,4.882570713758469,3.1400000602006912,1.67592,76.7699966430664,,,,,,,320.3,5.428813559,320.3,5.428813559,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"William Contreras","MIL",55.8,243.621,211.87,57.5482,38.4467,10.8939,0.2385,7.9691,30.062,30.8136,28.0165,1.7053,41.802,1.7053,1.6631,0.3661,,1.9532,0.7224,0.27162,0.115,0.171586,0.670219,0.358759,0.438128,0.348545,0.796887,0.166508,2.99475,0.30275,-0.309,-0.276113,35.3287,6.24723,120.417,-0.585113,0.435,5.459306955337524,3.804999887943268,1.67201,56.560001373291016,,,,,,,310.9,5.551785714,310.9,5.551785714,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"JJ Wetherholt","STL",59.15,273.984,238.204,62.5884,42.915,10.7795,0.3979,8.496,37.2746,27.0483,26.9874,1.0959,44.8062,5.4797,1.65,1.6626,,5.4133,1.2863,0.262751,0.0985,0.163536,0.602314,0.349057,0.418346,0.338505,0.767402,0.155595,4.37627,0.289959,0.153,0.138719,37.4982,4.79228,115.081,0.291719,1.155,5.313018560409546,2.184000015258789,1.66106,999,,,,,,,324.6,5.501694915,324.6,5.501694915,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","34985",802139
"Corbin Carroll","ARI",59.25,265.064,228.996,58.0704,32.1607,10.7214,4.9929,10.1953,37.5348,34.8561,30.0848,1.0603,55.9438,3.4458,1.875,0.6619,,10.4798,2.6693,0.253587,0.1135,0.211058,0.537768,0.346446,0.477577,0.355652,0.824023,0.22399,7.34252,0.290624,1.288,0.631454,39.968,8.32686,123.453,1.91945,0.998,9.473770499229431,-1.83899986743927,1.64561,14.100000381469727,,,,,,,359.8,6.098305084,359.8,6.098305084,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"José Ramírez","CLE",49.14,218.925,192.503,52.26,30.9629,11.3707,0.5688,9.3576,30.567,30.0539,22.8995,4.8163,27.2584,1.5325,1.5836,0.4062,,12.2779,3.0503,0.271476,0.1046,0.12451,0.84009,0.350963,0.482284,0.35385,0.833247,0.210808,5.53376,0.272447,0.013,0.91057,32.6904,6.55694,128.598,0.92357,-0.028,8.25871992111206,-0.04900000058114529,1.62054,6.28000020980835,,,,,,,309.8,6.322448979,309.8,6.322448979,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Adley Rutschman","BAL",53.16,239.347,207.56,52.7249,33.7626,11.0526,0.7463,7.1634,30.6863,26.4851,27.9078,0.4787,35.7004,1.4361,1.6206,0.8217,,0.7288,0.2508,0.254022,0.1166,0.149158,0.781722,0.344068,0.418,0.335953,0.762068,0.163978,3.12862,0.273943,-0.211,-0.304123,32.2615,3.6903,116.458,-0.515123,0.142,4.100036203861237,1.6739999502897263,1.58402,148.92999267578125,,,,,,,281.1,5.303773584,281.1,5.303773584,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Jacob Wilson","ATH",56.96,250.33,230.168,67.6005,48.1724,13.1486,0.7625,5.517,30.6765,27.921,14.7695,0.2503,22.9477,2.7536,1.767,0.8724,,2.04,0.68,0.293701,0.059,0.0916696,0.643616,0.341234,0.429361,0.337214,0.770595,0.13566,3.58137,0.305123,-0.013,-0.235538,33.9984,4.11601,112.999,-0.248538,-0.01,3.563830181956291,2.838000049814582,1.55095,196.44000244140625,,,,,,,305.6,5.361403508,305.6,5.361403508,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Dillon Dingler","DET",51.18,223.329,202.632,50.0592,31.1567,9.9617,0.8751,8.0657,26.4965,27.0981,14.6281,0.2233,50.4959,3.7966,1.5778,0.6948,,0.3862,0.1301,0.247045,0.0655001,0.226105,0.289689,0.307607,0.424257,0.318999,0.731864,0.177213,3.1957,0.288321,0.092,-0.249287,27.0281,0.368918,102.985,-0.157287,0.576,0.6238120347261429,3.177000045776367,1.53781,254.6199951171875,,,,,,,243.9,4.782352941,243.9,4.782352941,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"James Wood","WSN",58.33,269.207,226.191,58.0037,32.5581,11.9965,0.5416,12.9074,40.856,32.1096,37.9583,3.2305,77.5609,1.8845,1.6606,1.5131,,7.6106,2.2733,0.256437,0.141,0.288108,0.4894,0.365516,0.485455,0.366455,0.85097,0.229018,5.00361,0.328251,0.17,0.196869,42.9542,10.8185,131.661,0.366869,-0.498,10.724439024925232,-4.75200018286705,1.49108,37.790000915527344,,,,,,,391.1,6.743103448,391.1,6.743103448,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Isaac Paredes","HOU",57.41,252.572,215.648,52.5848,32.0517,9.978,0.315,10.2401,31.8856,32.6608,28.6922,0,41.9866,6.0617,1.8087,0.3621,,0.4004,0.1526,0.243846,0.1136,0.166236,0.683366,0.346293,0.435494,0.344743,0.781787,0.191647,2.24649,0.256278,-0.189,-0.352124,35.8469,5.69694,121.667,-0.541124,-0.68,5.870410680770874,-0.2580000162124634,1.47917,243.60000610351562,,,,,,,308.8,5.417543859,308.8,5.417543859,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Gabriel Moreno","ARI",43.59,184.577,162.428,45.9565,32.2726,9.048,0.3983,4.2376,21.5013,21.9643,19.1037,0.3692,29.8867,1.4766,1.2592,0.3092,,2.0282,0.7539,0.282935,0.1035,0.16192,0.639204,0.361088,0.421811,0.345581,0.782899,0.138876,3.46972,0.321997,0.114,-0.196993,26.3221,4.28889,116.723,-0.0829929,0.98,3.6679404973983765,4.227999925613403,1.47756,181.22000122070312,,,,,,,220.3,5.006818181,220.3,5.006818181,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Jeremy Peña","HOU",55.8,254.146,230.543,61.7909,42.1942,11.6929,0.5756,7.3282,32.7287,26.025,16.0874,0.5083,44.172,4.5746,1.5842,1.3567,,6.8122,1.9891,0.268023,0.0632998,0.173806,0.364199,0.326173,0.419096,0.326436,0.745268,0.151072,4.94786,0.30152,0.432,0.192791,32.2924,1.95462,108.979,0.624791,-0.577,3.298462450504303,2.212999939918518,1.47464,122.9800033569336,,,,,,,293.2,5.235714285,293.2,5.235714285,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Bo Bichette","NYM",58.34,260.42,238.69,66.3682,45.8144,12.4288,0.6748,7.4501,31.7377,31.1172,17.3961,0.2604,43.5132,1.8229,1.8169,0.6941,,1.4861,0.4693,0.278052,0.0668002,0.167089,0.399789,0.329529,0.429414,0.331403,0.758943,0.151362,3.28402,0.310842,0.039,-0.255176,34.1399,3.05313,111.472,-0.216176,1.521,3.414192169904709,2.1420000195503235,1.42002,92.86000061035156,,,,,,,295.8,5.1,295.8,5.1,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Michael Harris II","ATL",57.86,246.149,230.779,63.7213,41.0906,11.4428,1.0697,10.1182,31.185,34.2155,11.0028,0.2461,48.0712,1.9692,1.6793,0.7186,,5.7039,1.675,0.276114,0.0446998,0.195293,0.228885,0.312485,0.466499,0.335536,0.778985,0.190385,5.1397,0.307589,0.162,0.148575,33.095,3.71186,110.517,0.310575,1.658,3.456311911344528,2.4490000009536743,1.40832,99.06999969482422,,,,,,,303.8,5.237931034,303.8,5.237931034,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Miguel Vargas","CHW",60.19,266.181,228.907,55.0116,32.0741,12.4361,0.7004,9.8009,33.5248,32.3813,31.5957,0.5324,48.0246,3.1942,1.8948,0.5898,,4.9912,1.5935,0.240323,0.1187,0.180421,0.657907,0.338119,0.429219,0.337073,0.767338,0.188896,4.46616,0.26137,-0.067,-0.0292511,36.1206,4.34615,115.505,-0.0962511,-0.904,4.739132806658745,-0.4399999976158142,1.39541,303.0899963378906,,,,,,,322.4,5.373333333,322.4,5.373333333,,,,,,,,,,,,,,,,,,,"Miguel Vargas","20178",678246
"Wyatt Langford","TEX",56.32,251.551,218.73,55.0819,33.4494,10.5688,1.1866,9.8771,33.9656,30.4035,27.9222,0.7547,56.651,2.264,1.7426,0.8927,,7.4237,2.205,0.251826,0.111,0.225207,0.492881,0.340177,0.446465,0.343114,0.786642,0.194639,5.30346,0.293644,0.254,0.222559,35.3692,5.34117,121.381,0.476559,0.663,6.778070241212845,-1.9829999208450317,1.3928,37.75,,,,,,,318.3,5.683928571,318.3,5.683928571,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
