Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",59,256,231,69,41,14,2,12,40,38,20,1,42,2,2,0,,15,4,0.29859,0.0795307,0.165803,0.47967,0.358319,0.530926,0.379315,0.889246,0.232337,6.85513,0.320385,0.413379,1.01135,43.5228,12.9502,141.57,1.42473,3.64988,13.929585695266724,6.389232397079468,2.97458,3.0999999046325684,,,,,,,403.5,6.83898305,403.5,6.83898305,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",59,253,206,59,34,10,1,14,41,39,44,2,41,1,2,0,,7,2,0.285354,0.172728,0.162252,1.06456,0.41003,0.545226,0.408954,0.955256,0.259872,4.60396,0.292209,-0.135496,0.0731593,49.1744,18.917,163.617,-0.0623365,-0.784149,19.487599842250347,-3.8718032240867615,2.41297,4.650000095367432,,,,,,,433.4,7.345762711,433.4,7.345762711,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Yordan Alvarez","HOU",53,228,195,60,33,11,0,14,36,40,29,2,39,3,2,0,,1,0,0.306016,0.125878,0.171956,0.73204,0.400141,0.590489,0.419522,0.990629,0.284473,3.2522,0.31658,-0.206502,-0.197158,46.2987,19.0175,173.009,-0.40366,0.141719,19.193870306015015,-5.2656883001327515,2.22965,33.38999938964844,,,,,,,402.4,7.59245283,402.4,7.59245283,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",57,248,212,61,31,10,2,17,44,43,32,2,59,2,2,0,,7,2,0.286687,0.129581,0.238255,0.543874,0.382775,0.5995,0.413491,0.982275,0.312812,6.19505,0.316455,0.0167729,0.284722,49.0643,19.4373,163.898,0.301495,0,19.528790026903152,-6.194135665893555,2.16508,1.2699999809265137,,,,,,,439.5,7.710526315,439.5,7.710526315,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",59,253,224,60,36,12,2,10,39,35,24,1,56,3,2,0,,8,2,0.270002,0.0967567,0.220444,0.438917,0.346084,0.478442,0.355811,0.824525,0.20844,6.52531,0.315599,0.321687,0.442872,38.2365,7.97907,129.844,0.764558,-0.87676,9.649265944957733,1.8343505859375,2.07234,12.510000228881836,,,,,,,342.8,5.810169491,342.8,5.810169491,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",59,253,229,63,41,11,1,10,34,35,19,1,54,3,2,0,,10,2,0.276889,0.0748804,0.214774,0.348647,0.33852,0.470622,0.349134,0.809142,0.193733,5.4913,0.319037,0.119334,0.684604,36.8621,6.60469,130.384,0.803937,0.884723,9.849622189998627,1.5625006556510925,2.06512,9.489999771118164,,,,,,,334.8,5.674576271,334.8,5.674576271,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",60,260,230,63,39,12,1,11,35,35,25,1,53,2,2,0,,12,3,0.274392,0.0972224,0.202631,0.479801,0.349574,0.478362,0.357568,0.827937,0.203971,5.24266,0.308225,0.133363,0.848102,39.6394,8.56564,129.632,0.981465,4.16528,10.333465099334717,1.4958317279815674,2.0529,14.010000228881836,,,,,,,362.1,6.035,362.1,6.035,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Junior Caminero","TBR",60,261,237,66,39,11,1,15,36,41,21,1,50,2,2,0,,2,1,0.278816,0.0801913,0.192805,0.415918,0.338693,0.519345,0.365755,0.858038,0.240529,3.93581,0.29616,-0.0157589,-0.193601,41.6038,10.3543,134.359,-0.20936,-0.0584608,10.355073764920235,0.5637614615261555,2.04518,16.479999542236328,,,,,,,381.2,6.353333333,381.2,6.353333333,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Cal Raleigh","SEA",54,215,188,43,24,8,0,11,27,32,24,1,59,2,1,0,,3,1,0.229844,0.112445,0.272839,0.412132,0.321661,0.456382,0.336797,0.778042,0.226538,3.53273,0.267178,-0.286725,-0.0460723,29.2255,3.46166,121.855,-0.332797,3.5924,5.20734503865242,6.039927244186401,1.91302,18.729999542236328,,,,,,,260.3,4.82037037,260.3,4.82037037,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Pete Crow-Armstrong","CHC",59,255,230,59,35,11,2,10,36,33,18,1,64,4,2,1,,13,3,0.257684,0.0709249,0.249876,0.283841,0.320518,0.458982,0.336295,0.779499,0.201298,7.242,0.31142,0.220154,0.924149,34.4183,3.98521,113.463,1.1443,4.02124,5.30549168586731,4.930190861225128,1.8742,32.939998626708984,,,,,,,320,5.423728813,320,5.423728813,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Ronald Acuña Jr.","ATL",55,237,201,57,35,10,1,11,36,35,31,2,49,3,2,0,,12,3,0.284711,0.129864,0.208329,0.62336,0.384881,0.511197,0.386344,0.896078,0.226486,5.47556,0.322793,0.302279,0.627517,41.6699,13.35,144.748,0.929796,-0.476385,13.800706386566162,-3.4027739465236664,1.83226,5.260000228881836,,,,,,,372.7,6.776363636,372.7,6.776363636,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Elly De La Cruz","CIN",60,259,232,62,36,12,3,11,39,35,23,1,71,1,2,0,,14,4,0.265817,0.090731,0.276143,0.328566,0.33461,0.485347,0.352052,0.819957,0.21953,7.31263,0.33457,0.41977,0.835377,38.2879,7.36394,117.426,1.25515,0.368082,6.728208541870117,2.847248911857605,1.82103,8.449999809265137,,,,,,,357.9,5.965,357.9,5.965,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"William Contreras","MIL",58,230,202,55,36,11,0,8,29,29,24,1,42,2,2,0,,2,1,0.269323,0.104777,0.181867,0.576118,0.348887,0.435462,0.343102,0.784349,0.16614,3.13681,0.303585,-0.123644,-0.234251,32.3901,4.87673,116.996,-0.357895,2.36318,4.39156249165535,5.664104700088501,1.77542,56.560001373291016,,,,,,,292.1,5.036206896,292.1,5.036206896,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Vladimir Guerrero Jr.","TOR",61,263,230,68,44,13,0,11,37,38,28,2,35,2,2,0,,3,1,0.297561,0.108548,0.133765,0.811487,0.378159,0.504801,0.380673,0.88296,0.207241,3.43465,0.30793,-0.100923,-0.202062,44.9822,13.5881,146.179,-0.302985,-0.98853,13.96148955821991,-5.79161673784256,1.77177,18.049999237060547,,,,,,,384.8,6.308196721,384.8,6.308196721,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Byron Buxton","MIN",52,224,202,53,28,11,1,13,33,35,17,1,58,3,2,0,,6,1,0.262102,0.0745302,0.260614,0.285979,0.32626,0.520712,0.360349,0.846972,0.25861,6.3505,0.302161,0.191499,0.743702,34.6822,7.89182,130.748,0.935201,0.246589,9.040347874164581,0.29365676641464233,1.75064,73.4800033569336,,,,,,,323.2,6.215384615,323.2,6.215384615,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Corbin Carroll","ARI",57,246,215,56,31,11,5,9,44,31,26,1,53,3,2,0,,11,2,0.262197,0.105665,0.215551,0.490206,0.348689,0.485667,0.358914,0.834356,0.22347,8.29331,0.305723,0.53085,0.893627,37.866,8.39397,125.87,1.42448,2.41861,9.1680668592453,-0.18385744094848633,1.72122,14.100000381469727,,,,,,,345.9,6.068421052,345.9,6.068421052,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Riley Greene","DET",60,257,228,62,38,12,2,11,37,36,25,1,69,2,2,0,,2,1,0.272452,0.0985077,0.266648,0.36943,0.347333,0.486394,0.359037,0.833727,0.213942,4.64733,0.33875,0.00126638,-0.20457,39.5381,8.78469,130.355,-0.203303,1.44244,8.981859356164932,-1.466203212738037,1.68636,78.4800033569336,,,,,,,350.8,5.846666666,350.8,5.846666666,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Francisco Lindor","NYM",59,256,227,57,36,11,1,10,33,32,23,1,47,4,2,0,,8,2,0.251936,0.0882555,0.185499,0.475773,0.327882,0.434797,0.332451,0.762679,0.182861,5.08909,0.275993,-0.116912,0.534268,33.7767,3.20409,112.378,0.417357,1.36656,4.260931521654129,3.917640209197998,1.67019,25.350000381469727,,,,,,,314.4,5.328813559,314.4,5.328813559,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ben Rice","NYY",58,251,219,55,31,10,1,13,35,39,27,1,55,3,2,0,,2,1,0.251986,0.106293,0.217243,0.48928,0.339952,0.489307,0.356844,0.829259,0.237321,3.75274,0.273086,-0.0676641,-0.210328,38.1955,8.13766,130.237,-0.277992,3.64137,8.664537012577057,-1.3339347839355469,1.64669,53.189998626708984,,,,,,,336.9,5.808620689,336.9,5.808620689,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Mike Trout","LAA",49,214,179,45,25,8,1,11,30,31,31,1,59,2,1,0,,3,0,0.250914,0.143059,0.274895,0.520414,0.365248,0.492099,0.370713,0.857347,0.241185,4.33149,0.303613,-0.118439,0.136701,34.8499,9.32024,137.487,0.0182624,-0.658301,9.434781530871987,-0.9124676585197449,1.63062,178.44000244140625,,,,,,,310,6.326530612,310,6.326530612,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Alejandro Kirk","TOR",38,152,134,36,25,7,0,4,18,18,15,0,19,1,1,0,,0,0,0.268397,0.100712,0.122743,0.820508,0.345213,0.416766,0.335043,0.761979,0.148369,2.23817,0.281635,-0.255882,-0.182341,20.4441,2.22997,114.633,-0.438223,5.07252,2.1841706037521362,7.808937072753906,1.55874,160.25,,,,,,,173.5,4.565789473,173.5,4.565789473,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Kevin McGonigle","DET",60,257,224,59,38,12,1,7,33,29,29,1,40,1,2,0,,6,1,0.261967,0.114366,0.155364,0.736121,0.34759,0.423286,0.338386,0.770876,0.161319,4.65429,0.286996,-0.0217756,0.145763,35.2181,4.46463,116.078,0.123988,-1.09514,4.989087752997875,1.067201852798462,1.5389,999,,,,,,,311.3,5.188333333,311.3,5.188333333,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"James Wood","WSN",59,253,218,58,33,12,1,12,35,36,32,1,72,2,1,0,,7,2,0.264244,0.12547,0.285636,0.439266,0.359874,0.49206,0.367684,0.851934,0.227816,4.98512,0.337275,0.0730448,0.150503,40.68,10.4226,132.735,0.223548,0.429279,10.283287823200226,-3.524424582719803,1.51804,37.790000915527344,,,,,,,369.8,6.26779661,369.8,6.26779661,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Ketel Marte","ARI",58,249,221,59,36,12,1,10,34,33,23,1,41,2,2,0,,2,1,0.267951,0.0942407,0.165806,0.568378,0.341753,0.465581,0.349197,0.807334,0.19763,4.36165,0.287361,-0.0222277,-0.0747721,36.3084,6.51603,119.362,-0.0969998,0.918765,5.761586040258408,0.9666047096252441,1.5021,32.63999938964844,,,,,,,319.9,5.515517241,319.9,5.515517241,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Wyatt Langford","TEX",55,236,207,54,33,11,1,9,32,31,25,1,53,2,2,0,,8,2,0.258276,0.104953,0.223043,0.470549,0.340197,0.454133,0.34492,0.794329,0.195856,5.51643,0.300689,0.124824,0.537164,33.5361,5.34547,122.274,0.661987,1.91749,6.840277135372162,-0.455352783203125,1.49486,37.75,,,,,,,308.2,5.603636363,308.2,5.603636363,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Shea Langeliers","ATH",56,224,203,53,30,11,1,11,29,34,17,1,51,2,2,0,,2,1,0.26166,0.0775465,0.225917,0.343252,0.322926,0.488761,0.347939,0.811687,0.227101,3.81011,0.292451,-0.0132217,-0.136364,32.3983,5.62634,120.079,-0.149586,-1.00253,5.139416337013245,1.5808079242706299,1.48598,54.04999923706055,,,,,,,292.8,5.228571428,292.8,5.228571428,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Gabriel Moreno","ARI",45,179,159,44,30,9,0,4,22,20,18,1,30,2,1,0,,2,1,0.277494,0.0976746,0.166205,0.587674,0.352609,0.421338,0.34026,0.773946,0.143843,3.38643,0.314885,0.0785123,-0.167617,24.8528,3.38949,113.376,-0.0891049,2.73023,2.8267412185668945,5.878066062927246,1.47195,181.22000122070312,,,,,,,212.1,4.713333333,212.1,4.713333333,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Aaron Judge","NYY",27,115,95,28,14,5,0,9,19,22,18,1,29,1,1,0,,2,1,0.294041,0.160437,0.249847,0.64214,0.411403,0.62888,0.436493,1.04028,0.334838,4.03877,0.327024,-0.125858,0.0338549,24.9677,11.1927,185.303,-0.0920029,0.613058,11.469536736607552,-1.0421890616416931,1.46881,1.850000023841858,,,,,,,218.9,8.107407407,218.9,8.107407407,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Isaac Paredes","HOU",56,241,207,51,33,10,0,7,30,28,26,1,39,5,2,1,,1,0,0.245813,0.108244,0.16184,0.668836,0.342241,0.40334,0.33042,0.745581,0.157526,2.55033,0.268372,-0.0711221,-0.353834,31.4545,2.62318,111.408,-0.424956,2.58222,2.811243772506714,2.961852103471756,1.45235,243.60000610351562,,,,,,,268.3,4.791071428,268.3,4.791071428,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Corey Seager","TEX",40,171,150,40,24,7,0,9,22,25,18,1,34,2,1,0,,1,0,0.264886,0.10633,0.197995,0.537033,0.347669,0.488681,0.360434,0.836349,0.223795,2.64177,0.285744,-0.17521,-0.140075,26.5536,6.05129,133,-0.315285,0.594786,6.341690629720688,1.6663907766342163,1.42713,95.08999633789062,,,,,,,240.8,6.02,240.8,6.02,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Zach Neto","LAA",57,248,220,54,32,11,1,10,31,33,20,1,65,6,2,0,,10,4,0.246983,0.080047,0.263001,0.30436,0.323676,0.444648,0.33416,0.768324,0.197665,5.07869,0.301051,0.113241,0.0683909,33.0763,3.44926,112.216,0.181632,-1.13321,3.742624506354332,1.5214167833328247,1.42489,32.29999923706055,,,,,,,299.8,5.259649122,299.8,5.259649122,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Bryce Harper","PHI",59,256,221,59,34,13,0,12,35,38,32,1,55,2,2,0,,4,1,0.267688,0.12342,0.21487,0.574396,0.361231,0.491434,0.368056,0.852665,0.223746,3.7547,0.303035,0.0443213,-0.0926207,41.1813,10.6087,131.374,-0.0482995,0.619923,9.69369250908494,-4.002144455909729,1.41889,47.900001525878906,,,,,,,366.7,6.215254237,366.7,6.215254237,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Iván Herrera","STL",57,239,206,54,37,10,0,7,30,26,25,1,44,6,2,0,,3,1,0.26174,0.106481,0.185021,0.575507,0.357162,0.412256,0.340919,0.769418,0.150516,4.01105,0.301114,0.0756756,-0.0207302,33.2326,4.64305,116.911,0.0549454,3.00439,4.965331979095936,1.1280040740966797,1.40476,178.42999267578125,,,,,,,287.1,5.036842105,287.1,5.036842105,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
"José Ramírez","CLE",48,206,182,47,29,10,1,7,26,26,21,1,26,1,2,0,,12,2,0.259635,0.100658,0.127315,0.790627,0.337034,0.435914,0.336881,0.772948,0.176279,5.9967,0.269037,-0.0141409,1.27383,27.9014,3.31727,116.493,1.25969,1.27921,5.2490633726119995,1.2603843808174133,1.39874,6.28000020980835,,,,,,,264.9,5.51875,264.9,5.51875,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Jeremy Peña","HOU",55,239,216,58,40,11,1,6,29,27,15,1,43,4,2,1,,7,2,0.268697,0.0640045,0.179328,0.356913,0.326658,0.414383,0.324331,0.741041,0.145686,5.22021,0.306458,0.163392,0.311278,29.935,1.41367,107.198,0.47467,0.264465,2.494765669107437,2.8200210332870483,1.39669,122.9800033569336,,,,,,,267.5,4.863636363,267.5,4.863636363,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Michael Harris II","ATL",56,242,226,64,41,12,1,10,32,34,12,1,48,2,2,0,,6,2,0.281817,0.0490816,0.196356,0.249962,0.320925,0.474182,0.341227,0.795107,0.192365,5.39294,0.316023,0.126517,0.339103,33.7365,4.76568,114.531,0.46562,0.42672,4.741144806146622,1.1364423036575317,1.39348,99.06999969482422,,,,,,,314.7,5.619642857,314.7,5.619642857,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Drake Baldwin","ATL",55,225,200,53,35,9,0,10,29,30,21,1,45,2,2,0,,1,0,0.266192,0.0929904,0.20161,0.461238,0.340381,0.456232,0.345913,0.796613,0.19004,2.90577,0.297579,-0.0571624,-0.250723,32.2121,5.28735,117.669,-0.307885,1.97626,4.52393513917923,1.8887625932693481,1.39108,78.62999725341797,,,,,,,287.8,5.232727272,287.8,5.232727272,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
