Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",3,2,5,2.92182,7,7,0,0,,41,169,36,15,13,3,10,,2,44,9.68305,2.25531,4.29345,0.740825,0.262413,0.0611194,0.20129397884011271,0.226669,1.11353,0.294704,0.760247,,,2.88176,1.17924,1.15543,24.75,,,,,,,224.90000000000006,5.485365853658538,218,5.317073170731708,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Tarik Skubal","LAD",3,1,4,2.77681,6,6,0,0,,37,147,29,13,11,4,8,,1,44,10.7458,1.91747,5.60418,1.00209,0.302274,0.0539372,0.24833659082651138,0.209927,0.989172,0.277944,0.782662,,,2.90291,1.07527,1.05633,7.019999980926514,,,,,,,210.20000000000002,5.681081081081081,194,5.243243243243243,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jacob Misiorowski","MIL",3,1,4,2.49404,6,6,0,0,,33,142,23,10,9,3,14,,2,50,13.6192,3.69478,3.68607,0.920054,0.35283,0.0957197,0.2571099251508713,0.183174,1.11194,0.270668,0.835314,,,2.7663,0.985417,1.13616,114.13999938964844,,,,,,,199.50000000000006,6.045454545454547,178,5.393939393939394,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Paul Skenes","PIT",2,2,4,2.9868,6,6,0,0,,36,145,29,13,12,3,10,,2,42,10.4637,2.48078,4.2179,0.864302,0.288749,0.0684578,0.2202906757593155,0.219841,1.09087,0.293597,0.761587,,,2.96244,0.984221,1.03281,9.649999618530273,,,,,,,202.10000000000005,5.613888888888891,189,5.25,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",3,1,4,2.81834,6,6,0,0,,35,143,28,12,11,4,9,,2,44,11.2728,2.43721,4.62528,0.925333,0.305722,0.066098,0.2396237924695015,0.211517,1.07101,0.287249,0.786331,,,2.85756,0.977003,1.05641,39.36000061035156,,,,,,,192,5.485714285714286,178,5.085714285714285,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",3,2,4,3.21696,7,7,0,0,,38,158,32,15,14,4,12,,2,45,10.5633,2.85862,3.69523,1.00226,0.283142,0.0766236,0.20651862025260925,0.21902,1.14611,0.287121,0.763186,,,3.27265,0.932168,0.94513,70.58999633789062,,,,,,,196.8,5.178947368421053,186,4.894736842105263,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Zack Wheeler","PHI",3,2,4,3.38407,6,6,0,0,,38,154,32,16,14,5,11,,2,44,10.3552,2.55017,4.06057,1.11639,0.283135,0.0697278,0.21340695768594742,0.222862,1.11624,0.287842,0.748539,,,3.37551,0.892259,0.837403,110.48999786376953,,,,,,,185.5,4.881578947368421,174,4.578947368421052,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",3,2,4,3.58424,7,7,0,0,,43,178,41,19,17,4,11,,2,38,7.9164,2.24228,3.53051,0.807478,0.212535,0.0601995,0.15233535692095757,0.250335,1.21214,0.303483,0.715273,,,3.36711,0.845484,0.727591,57.189998626708984,,,,,,,199.4,4.637209302325582,200,4.651162790697675,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jacob deGrom","TEX",2,2,4,3.30503,6,6,0,0,,37,147,30,15,13,5,10,,2,42,10.2708,2.42328,4.23839,1.15501,0.28404,0.067016,0.21702390909194946,0.218034,1.07734,0.278964,0.753337,,,3.4052,0.813052,0.831115,50.0099983215332,,,,,,,182.3,4.9270270270270276,168,4.54054054054054,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",3,2,4,3.20074,6,6,0,0,,36,150,28,14,13,4,14,,2,46,11.5195,3.6104,3.19063,1.01992,0.30458,0.0954607,0.20911939442157745,0.207688,1.18061,0.282289,0.775157,,,3.34595,0.803441,0.870208,74.7699966430664,,,,,,,188.40000000000003,5.233333333333334,172,4.777777777777778,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
