Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",2,1,3,2.88311,4,4,0,0,,28,111,22,10,9,3,6,,1,34,10.9566,1.81845,6.02523,0.952364,0.309281,0.0513309,0.25794975459575653,0.213025,0.989754,0.287171,0.762293,,,2.73973,0.87582,0.784822,7.019999980926514,,,,,,,160.10000000000002,5.717857142857143,148,5.285714285714286,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",2,1,3,3.0414,5,5,0,0,,31,127,28,11,11,3,7,,1,32,9.24004,2.13632,4.32521,0.735754,0.252331,0.0583396,0.19399147108197212,0.233683,1.12475,0.299607,0.74971,,,2.90687,0.87472,0.924491,24.75,,,,,,,159.7,5.151612903225806,156,5.032258064516129,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",2,1,3,2.84244,5,5,0,0,,28,110,22,9,9,2,7,,1,33,10.713,2.33496,4.5881,0.780023,0.296876,0.0647055,0.2321700006723404,0.214963,1.05627,0.292269,0.7626,,,2.73753,0.863238,0.938051,9.649999618530273,,,,,,,167.40000000000003,5.9785714285714295,156,5.571428571428571,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",2,1,3,3.08769,4,4,0,0,,28,111,23,10,9,3,7,,2,34,11.0247,2.28049,4.83438,0.876062,0.302769,0.0626284,0.24014081805944443,0.219357,1.07195,0.299344,0.747099,,,2.84153,0.78275,0.791484,39.36000061035156,,,,,,,151.50000000000006,5.410714285714287,142,5.071428571428571,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Zack Wheeler","PHI",2,1,3,3.27883,5,5,0,0,,30,119,24,12,11,3,8,,1,34,10.4392,2.39826,4.35281,1.03743,0.287741,0.0661046,0.22163629531860352,0.216856,1.07309,0.282829,0.742663,,,3.19663,0.767218,0.740315,110.48999786376953,,,,,,,163.7,5.456666666666666,152,5.066666666666666,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",2,1,3,3.45558,5,5,0,0,,30,123,25,13,12,3,9,,1,34,10.1983,2.761,3.69369,0.968385,0.276886,0.0749618,0.20192375034093857,0.223804,1.14583,0.291612,0.732009,,,3.24604,0.744926,0.631511,70.58999633789062,,,,,,,158.1,5.27,149,4.966666666666667,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Logan Webb","SFG",2,2,3,3.41967,5,5,0,0,,32,133,31,13,12,3,8,,1,29,8.09757,2.15223,3.76241,0.71946,0.216932,0.0576577,0.15927400812506676,0.249569,1.20608,0.306415,0.724825,,,3.14231,0.729772,0.683785,57.189998626708984,,,,,,,150.3,4.696875,152,4.75,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",2,1,3,3.44713,5,5,0,0,,28,116,22,12,11,3,11,,1,36,11.5052,3.56666,3.22576,0.954461,0.309912,0.0960741,0.21383744478225708,0.213376,1.18565,0.29517,0.741753,,,3.18195,0.705866,0.561053,74.7699966430664,,,,,,,149.10000000000002,5.325000000000001,137,4.892857142857143,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",2,1,2,3.34819,4,4,0,0,,28,112,23,11,10,3,8,,1,29,9.43278,2.48661,3.79343,0.922361,0.258437,0.0681276,0.19030972570180893,0.220109,1.10159,0.27812,0.727702,,,3.23738,0.703216,0.66636,26.639999389648438,,,,,,,141.50000000000006,5.053571428571431,132,4.714285714285714,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jacob deGrom","TEX",2,1,3,3.369,5,5,0,0,,27,109,22,11,10,3,6,,1,31,10.3393,2.14118,4.82878,1.15136,0.287296,0.0594966,0.22779928520321846,0.220615,1.06162,0.283188,0.741896,,,3.24379,0.639637,0.587865,50.0099983215332,,,,,,,146.7,5.433333333333333,137,5.074074074074074,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
