Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",16,71,64,19,11,4,1,3,11,9,6,1,12,1,1,0,,4,1,0.290223,0.0849308,0.167911,0.50581,0.354714,0.498365,0.365083,0.853079,0.208142,7.05794,0.317748,0.440428,0.299428,11.2334,2.80306,133.167,0.739856,0.897305,3.4821382761001587,1.660731017589569,0.780604,3.0999999046325684,,,,,,,113.7,7.10625,113.7,7.10625,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Aaron Judge","NYY",15,66,54,16,8,2,0,5,11,12,12,1,17,0,0,0,,1,0,0.28523,0.173125,0.251806,0.687533,0.41166,0.60669,0.429116,1.01835,0.32146,3.64319,0.319779,-0.131679,0.00264554,13.9207,6.05271,180.275,-0.129034,0.0471151,6.065310209989548,-0.7592119611799717,0.780109,1.850000023841858,,,,,,,126.3,8.42,126.3,8.42,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Pete Crow-Armstrong","CHC",16,71,62,16,9,3,1,3,10,10,6,0,17,1,1,1,,4,1,0.251599,0.0835401,0.245279,0.340592,0.322998,0.471169,0.34124,0.794167,0.21957,7.40236,0.295617,0.383691,0.338685,9.76065,1.4172,117.338,0.722376,2.05193,2.1961944699287415,2.3037784695625305,0.691565,32.939998626708984,,,,,,,96,6,96,6,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Fernando Tatis Jr.","SDP",17,75,66,18,12,3,0,3,11,9,8,1,14,1,1,0,,3,1,0.276849,0.103146,0.187772,0.549316,0.356406,0.469232,0.358117,0.825639,0.192384,5.37823,0.308654,0.289078,0.188143,11.4701,2.5438,130.715,0.477221,1.81162,3.270521581172943,1.047727644443512,0.689338,14.010000228881836,,,,,,,101.6,5.976470588,101.6,5.976470588,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Konnor Griffin","PIT",16,71,64,17,12,3,0,2,10,8,5,0,17,2,0,0,,4,1,0.264968,0.0652807,0.246948,0.26435,0.32863,0.400125,0.322664,0.728755,0.135157,6.17522,0.338062,0.295137,0.24211,8.7354,0.361276,99.6279,0.537248,3.15824,0.5055004768073559,3.7776854634284973,0.670338,999,,,,,,,84.5,5.28125,84.5,5.28125,,,,,,,,,,,,,,,,,,,"Konnor Griffin","35376",804606
"Julio Rodríguez","SEA",17,75,68,18,12,3,0,3,10,10,6,0,16,1,1,0,,3,1,0.270231,0.0737298,0.21603,0.341295,0.331251,0.461057,0.342529,0.792308,0.190826,5.38108,0.309228,0.185855,0.21076,10.5209,1.59466,126.916,0.396615,0.72503,2.7529421150684357,0.9944745600223541,0.653545,9.489999771118164,,,,,,,93.6,5.505882352,93.6,5.505882352,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Jared Serna","MIA",4,18,17,3,2,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.202794,0.0638295,0.178182,0.358227,0.256575,0.283216,0.24285,0.53979,0.0804217,3.68099,0.240463,-0.00697345,-0.00819415,1.08358,-1.08919,48.3813,-0.0151676,6.73733,-1.157817010767758,6.829154282808304,0.638467,999,,,,,,,5.7,1.425,5.7,1.425,,,,,,,,,,,,,,,,,,,"Jared Serna","28326",691858
"Cal Raleigh","SEA",17,67,57,13,6,2,0,4,9,11,8,1,18,1,1,0,,1,0,0.221121,0.126138,0.275237,0.458288,0.326216,0.477082,0.345063,0.803298,0.255962,3.19871,0.241682,-0.182172,0.000165123,9.48981,1.55477,128.679,-0.182006,0.842436,2.0498494505882263,1.6674362421035767,0.620295,18.729999542236328,,,,,,,88.1,5.182352941,88.1,5.182352941,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Gunnar Henderson","BAL",16,71,62,16,9,3,1,3,10,8,7,0,15,1,1,0,,2,1,0.256255,0.0987619,0.213429,0.462739,0.335702,0.455237,0.343597,0.79094,0.198982,6.08616,0.294735,0.218486,0.113191,9.89476,1.55131,122.914,0.331677,0.528154,2.206707090139389,1.283709466457367,0.609618,12.510000228881836,,,,,,,95.2,5.95,95.2,5.95,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Yordan Alvarez","HOU",16,71,59,18,10,3,0,4,10,11,10,1,12,1,1,0,,0,0,0.297783,0.138838,0.169035,0.821353,0.400631,0.557946,0.406602,0.958577,0.260164,2.02315,0.309614,-0.222215,-0.101195,13.5301,5.15601,165.545,-0.32341,-0.130163,5.0597145557403564,-1.7884960174560547,0.588222,33.38999938964844,,,,,,,121.1,7.56875,121.1,7.56875,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Francisco Lindor","NYM",17,75,67,17,11,3,0,3,11,9,7,0,14,1,0,0,,2,1,0.25369,0.0941709,0.183935,0.511978,0.333963,0.439489,0.339506,0.773452,0.185799,5.16769,0.278363,0.0321866,0.106928,10.3369,1.41062,115.827,0.139115,0.964036,1.5784801840782166,1.7168134450912476,0.585127,25.350000381469727,,,,,,,90.1,5.3,90.1,5.3,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Shohei Ohtani","LAD",17,72,60,17,9,3,1,4,12,11,10,1,17,1,1,0,,2,1,0.279959,0.137992,0.235483,0.585996,0.38369,0.565377,0.400692,0.949067,0.285419,6.19139,0.315763,0.0947571,0.0522862,13.3376,4.87141,155.445,0.147043,0,4.929417282342911,-1.788888931274414,0.556504,1.2699999809265137,,,,,,,121.2,7.129411764,121.2,7.129411764,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Zach Neto","LAA",17,75,67,16,10,3,0,3,10,9,6,0,20,2,0,0,,3,1,0.243313,0.0784806,0.265749,0.295319,0.319614,0.431712,0.329094,0.751327,0.188399,5.44324,0.300329,0.121435,0.121468,9.60289,0.768649,111.206,0.242903,0.834894,1.2137960940599442,1.6071162223815918,0.556358,32.29999923706055,,,,,,,86.4,5.082352941,86.4,5.082352941,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Jackson Merrill","SDP",17,75,68,18,11,4,1,3,10,10,5,0,16,1,1,0,,2,0,0.261266,0.0673438,0.211557,0.318324,0.314362,0.446456,0.329074,0.760817,0.18519,5.80909,0.30175,0.23765,0.0678364,9.60169,0.767449,111.27,0.305486,1.45211,1.319862723350525,1.696559026837349,0.554147,70.79000091552734,,,,,,,100.1,5.888235294,100.1,5.888235294,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Will Smith","LAD",14,55,47,12,8,2,0,2,7,7,6,0,10,1,0,0,,0,0,0.259458,0.117176,0.18773,0.624175,0.356044,0.437282,0.348937,0.793325,0.177824,2.74702,0.290921,-0.170058,-0.0879443,7.94792,1.44582,120.793,-0.258002,1.52776,1.1194372773170471,2.4972010254859924,0.550125,95.69000244140625,,,,,,,65.8,4.7,65.8,4.7,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Jeremy Peña","HOU",16,70,64,17,12,3,0,2,10,8,4,0,13,1,0,0,,2,0,0.272509,0.0582607,0.189125,0.308054,0.327371,0.430154,0.331723,0.757525,0.157645,5.21756,0.310957,0.142846,0.0898127,9.15119,0.869087,113.465,0.232658,0.74612,1.3263621181249619,1.4961198568344116,0.539706,122.9800033569336,,,,,,,77.5,4.84375,77.5,4.84375,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Juan Soto","NYM",16,70,56,15,9,2,0,4,11,10,13,1,12,0,1,0,,2,1,0.275187,0.184364,0.166741,1.10569,0.408857,0.532394,0.403367,0.941251,0.257206,4.02916,0.279907,-0.0515692,0.0235065,13.1987,4.91664,158.585,-0.0280627,-0.911239,4.915248030796647,-2.050127863883972,0.523305,4.650000095367432,,,,,,,111.4,6.9625,111.4,6.9625,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Corbin Carroll","ARI",16,70,60,15,8,3,1,3,11,9,8,0,14,1,1,0,,3,1,0.255124,0.110528,0.207087,0.533725,0.344408,0.483089,0.356664,0.827498,0.227965,7.92979,0.289791,0.524656,0.267619,10.5276,2.2711,125.06,0.792275,0.715056,2.9002707600593567,-0.032629430294036865,0.522847,14.100000381469727,,,,,,,96.5,6.03125,96.5,6.03125,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Kevin McGonigle","DET",17,74,64,16,11,3,0,2,10,8,9,0,11,0,1,0,,1,0,0.256269,0.116544,0.143957,0.809574,0.344834,0.418569,0.336574,0.763403,0.162299,5.12158,0.276034,0.0536163,-0.00157381,9.94889,1.20668,115.199,0.0520425,0.616834,1.3552147559821606,1.1362788677215576,0.519997,999,,,,,,,82,4.823529411,82,4.823529411,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
