Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",1,0,2,2.70949,3,3,0,0,,16,63,12,5,5,2,3,,1,20,11.1183,1.55838,7.13452,0.900764,0.314239,0.0440449,0.2701939530670643,0.209534,0.953544,0.284771,0.769968,,,2.5542,0.537911,0.540664,7.019999980926514,,,,,,,90.60000000000001,5.6625000000000005,82,5.125,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",1,0,1,3.14213,2,2,0,0,,15,62,13,6,5,1,3,,0,15,9.26371,2.05061,4.51754,0.781184,0.251386,0.0556466,0.19573944434523582,0.233146,1.12228,0.296895,0.742231,,,2.94729,0.424745,0.383214,24.75,,,,,,,85.9,5.7266666666666675,83,5.533333333333333,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",1,1,2,3.47578,3,3,0,0,,16,64,13,7,6,2,4,,1,17,9.56359,2.22772,4.29299,0.993251,0.26487,0.0616981,0.20317162945866585,0.212156,1.03926,0.266279,0.700171,,,3.25264,0.402073,0.312805,26.639999389648438,,,,,,,79.00000000000001,4.937500000000001,73,4.5625,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chris Sale","ATL",1,0,1,2.831,2,2,0,0,,13,55,11,5,4,1,3,,1,16,10.8193,2.1073,5.13421,0.741523,0.296155,0.0576828,0.23847266286611557,0.226033,1.0814,0.310436,0.765479,,,2.70234,0.392993,0.334755,39.36000061035156,,,,,,,75.29999999999998,5.792307692307691,72,5.538461538461538,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Paul Skenes","PIT",1,1,1,2.97811,2,2,0,0,,13,51,10,5,4,1,3,,1,14,10.2569,2.43034,4.22034,0.856798,0.280737,0.0665201,0.21421711146831512,0.217451,1.08384,0.286569,0.76183,,,3.01256,0.361758,0.352473,9.649999618530273,,,,,,,73.9,5.684615384615385,68,5.230769230769231,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",1,1,1,3.31151,2,2,0,0,,15,60,14,6,5,1,3,,1,13,8.24238,2.03062,4.05905,0.701202,0.221043,0.0544569,0.16658645868301392,0.244765,1.17437,0.30212,0.726961,,,3.08551,0.361456,0.342545,57.189998626708984,,,,,,,76.30000000000001,5.086666666666668,76,5.066666666666666,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",1,1,1,3.26027,2,2,0,0,,13,56,10,5,5,1,5,,0,17,11.565,3.669,3.15209,0.858703,0.308538,0.0978837,0.2106543332338333,0.207639,1.18326,0.288838,0.752138,,,3.06206,0.354486,0.327761,74.7699966430664,,,,,,,76.89999999999999,5.915384615384615,71,5.461538461538462,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Blake Snell","LAD",1,1,1,3.26741,2,2,0,0,,13,53,10,5,5,1,6,,0,16,11.551,4.02628,2.8689,0.810167,0.306002,0.106662,0.1993400976061821,0.205321,1.21248,0.286913,0.752783,,,3.11,0.349147,0.331987,178.41000366210938,,,,,,,71.89999999999999,5.53076923076923,66,5.076923076923077,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Max Fried","NYY",1,1,1,3.29198,2,2,0,0,,14,60,12,6,5,1,4,,0,13,8.39015,2.67547,3.13596,0.669716,0.225955,0.0720528,0.1539018526673317,0.226279,1.15658,0.281234,0.721204,,,3.19082,0.34635,0.288121,50.04999923706055,,,,,,,74.10000000000002,5.2928571428571445,71,5.071428571428571,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jacob Misiorowski","MIL",1,0,1,3.20122,2,2,0,0,,12,49,9,5,4,1,4,,1,17,12.2389,3.12467,3.91686,0.946654,0.335421,0.0856351,0.2497854307293892,0.198922,1.07115,0.284578,0.740918,,,2.99523,0.32351,0.257732,114.13999938964844,,,,,,,72.10000000000002,6.0083333333333355,66,5.5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
