Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",5,20.6575,18.4893,5.43202,3.15619,0.923203,0.367034,0.98559,3.43379,3.03395,1.7734,0.219333,3.57752,0.208624,0.168077,0.0181094,0.221748,0.886422,0.271964,0.293792,0.0858478,0.173182,0.495707,0.359218,0.543344,0.382935,0.902561,0.249552,7.60255,0.315477,,0.0369325,3.55332,1.10972,145.453,0.0369325,0.32,1.1250497661530972,0.5514814704656601,0.245293,3.0999999046325684,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",5,16.312,13.3685,4.45936,2.18894,0.915635,0.000028212,1.35476,3.15322,3.63904,2.52417,0.468927,2.3402,0.253713,0.155872,0.00973229,0.235378,0.0431239,0.0150886,0.333573,0.154744,0.143465,1.07862,0.443942,0.70609,0.473869,1.15003,0.372516,2.2774,0.315849,,-0.0235924,4.0031,2.07354,212.741,-0.0235924,0,2.107625288888812,-0.5231651067733765,0.220247,33.38999938964844,,,,,,,30.7,6.14,30.7,6.14,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Pete Crow-Armstrong","CHC",5,20.8406,18.5211,4.93084,2.73491,1.07693,0.156026,0.962972,3.28212,2.86514,1.72903,0.109587,4.69046,0.279077,0.162182,0.149194,0.216278,1.20353,0.243073,0.266228,0.0829643,0.225063,0.368626,0.335354,0.497202,0.357221,0.832555,0.230974,7.32202,0.30452,,0.113893,3.15226,0.687004,127.86,0.113893,0.46,0.8143405616283417,0.5371605008840561,0.206792,32.939998626708984,,,,,,,29.2,5.84,29.2,5.84,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Cal Raleigh","SEA",5,18.7151,15.8688,3.26403,1.62288,0.579077,0.00187046,1.0602,2.32458,2.78093,2.5169,0.152288,5.58028,0.185545,0.133743,0.0100814,0.188693,0.156031,0.0588621,0.205688,0.134485,0.29817,0.451035,0.318977,0.442846,0.330915,0.761823,0.237158,2.7434,0.235399,,-0.0171447,2.43338,0.21955,118.92,-0.0171447,0.45,0.39321064203977585,0.6964157521724701,0.178487,18.729999542236328,,,,,,,22.1,4.42,22.1,4.42,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",4,19.0984,15.0928,4.20062,2.46426,0.6904,0.00860426,1.03736,3.05443,2.93048,3.73743,0.312288,3.08371,0.130481,0.117704,0.0200113,0.393383,0.432599,0.159498,0.278321,0.195693,0.161464,1.21199,0.422915,0.531401,0.409953,0.954317,0.253081,3.54558,0.285252,,-0.0139202,3.70162,1.44246,163.085,-0.0139202,-0.04,1.4395762253552675,-0.3212071433663368,0.177262,4.650000095367432,,,,,,,31.7,7.925,31.7,7.925,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Miguel Vargas","CHW",5,20.1921,17.553,4.76363,2.66906,1.00977,0.0972603,0.987544,3.07276,2.97214,2.22732,0.0753589,3.12033,0.247435,0.148554,0.0158045,0.243473,0.453476,0.112823,0.271385,0.110306,0.154532,0.713809,0.358756,0.508775,0.373824,0.867531,0.23739,5.21758,0.277782,,0.0149627,3.32477,0.93622,142.355,0.0149627,-0.11,1.0060832351446152,-0.08865773677825928,0.166264,303.0899963378906,,,,,,,28.3,5.66,28.3,5.66,,,,,,,,,,,,,,,,,,,"Miguel Vargas","20178",678246
"Shohei Ohtani","LAD",5,21.5253,17.9447,5.22358,2.99859,1.0488,0.0735455,1.10265,3.73911,3.53722,3.20736,0.462489,4.3694,0.179264,0.132554,0.0175858,0.344405,0.783807,0.240246,0.291093,0.149004,0.202989,0.734051,0.401148,0.542076,0.400895,0.943224,0.250983,5.56962,0.326922,,0.0236566,4.01463,1.46837,155.3,0.0236566,0,1.459693307057023,-0.540123462677002,0.165049,1.2699999809265137,,,,,,,33.2,6.64,33.2,6.64,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Jeremy Peña","HOU",4,15.4964,13.9798,4.33511,2.76907,0.829058,0.119138,0.617842,2.63408,2.25308,1.04985,0.0104754,2.64163,0.285432,0.0923713,0.0634456,0.309429,0.378204,0.0929235,0.310098,0.0677485,0.170468,0.397427,0.36803,0.519033,0.383372,0.887062,0.208934,6.26779,0.343788,,0.0137318,2.671,0.837926,149.71,0.0137318,-0.07,0.9064497612416744,0.11518517881631851,0.159957,122.9800033569336,,,,,,,23.7,5.925,23.7,5.925,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Francisco Lindor","NYM",5,21.1087,18.1578,4.66344,2.89222,0.866318,0.0443545,0.860549,2.94421,2.78657,2.24514,0.0264408,4.06343,0.371526,0.151025,0.0183769,0.346803,0.537118,0.187244,0.256829,0.106361,0.1925,0.552523,0.347906,0.451603,0.350449,0.799509,0.194774,4.67984,0.284119,,-0.00132608,3.07743,0.580459,123.273,-0.00132608,0,0.5913309517782182,0.21557210385799408,0.152188,25.350000381469727,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Colson Montgomery","CHW",5,20.1921,17.8886,4.14152,2.17937,0.773578,0.0221957,1.16638,2.70819,3.20639,1.70722,0.0791974,5.78388,0.421973,0.161228,0.0130878,0.261848,0.0932432,0.0242632,0.231517,0.0845486,0.286442,0.295168,0.310754,0.472849,0.337741,0.783602,0.241332,3.05413,0.268041,,-0.0157911,2.73668,0.348131,117.223,-0.0157911,0.18,0.3872408177703619,0.38493163883686066,0.151463,254.75,,,,,,,22.7,4.54,22.7,4.54,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
