Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Blake Snell","LAD",0,0,0.357626,2.41883,1,1,0,0,,5.544,21.6838,3.80066,1.59,1.49,0.293515,1.55374,0.0146989,0.143107,7.17332,11.645,2.5223,4.61682,0.476486,0.330815,0.0716542,0.25916046649217606,0.190157,0.965801,0.280121,0.761488,,,2.11475,0.245886,0.188608,178.41000366210938,,,,,,,42.00000000000001,7.000000000000001,38,6.333333333333333,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Chris Sale","ATL",0,0,0.421113,2.95688,1,1,0,0,,5.844,23.4573,4.54824,2.04,1.92,0.403295,1.37491,0.0184506,0.418434,7.22178,11.1218,2.11741,5.25256,0.62109,0.307869,0.0586132,0.24925611168146133,0.209945,1.01354,0.295248,0.724666,,,2.44228,0.213152,0.188608,39.36000061035156,,,,,,,42.400000000000006,7.066666666666667,41,6.833333333333333,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",0,0,0.410543,2.54368,1,1,0,0,,5.838,23.0435,4.47637,1.77,1.65,0.317746,1.41081,0.0124103,0.155231,6.32115,9.74483,2.17495,4.48049,0.489844,0.274314,0.061224,0.21308964118361473,0.208422,1.00843,0.280258,0.75651,,,2.44285,0.210921,0.188608,26.639999389648438,,,,,,,43.00000000000001,7.166666666666668,39,6.5,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Tarik Skubal","LAD",0,0,0.344387,2.31569,1,1,0,0,,5.48,21.2666,4.22386,1.52,1.41,0.27915,0.897899,0.0108413,0.141374,6.41011,10.5276,1.47465,7.13901,0.458457,0.301417,0.0422211,0.25919605419039726,0.20882,0.934628,0.29138,0.761318,,,1.98777,0.207803,0.117984,7.019999980926514,,,,,,,35.6,7.12,34,6.8,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Tyler Glasnow","LAD",0,0,0.379561,2.92343,1,1,0,0,,5.603,22.5946,4.22261,1.95,1.82,0.33779,1.91509,0.0138686,0.0825798,6.72279,10.7987,3.07617,3.51043,0.542586,0.297539,0.0847585,0.2127804160118103,0.205011,1.09543,0.28699,0.73925,,,2.54969,0.200088,0.188608,113.73999786376953,,,,,,,42.00000000000001,7.000000000000001,38,6.333333333333333,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Jacob Misiorowski","MIL",0,0,0.363918,2.79978,1,1,0,0,,5.529,22.1658,3.83829,1.84,1.72,0.556283,1.70228,0.0107843,0.362565,7.84345,12.7674,2.77094,4.60761,0.905506,0.353853,0.0767976,0.27705594152212143,0.190951,1.00209,0.280484,0.777141,,,2.68718,0.199104,0.188608,114.13999938964844,,,,,,,31.70000000000001,5.283333333333335,27,4.5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Cam Schlittler","NYY",0,0,0.406119,3.17499,1,1,0,0,,5.726,23.0661,4.18646,2.15,2.02,0.727771,1.77936,0.0137796,0.189268,7.93575,12.4732,2.79675,4.4599,1.14389,0.344043,0.0771414,0.26690172404050827,0.198434,1.04188,0.278163,0.771349,,,3.00794,0.173383,0.188608,116.62999725341797,,,,,,,31.70000000000001,5.283333333333335,27,4.5,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Jacob deGrom","TEX",0,0,0.369977,3.16649,1,1,0,0,,5.514,22.119,4.20869,2.06,1.94,0.607651,1.53907,0.011781,0.0925714,6.22276,10.1568,2.51208,4.04321,0.991813,0.281331,0.0695811,0.21174947172403336,0.205428,1.04239,0.263677,0.753057,,,3.15933,0.168079,0.188608,50.0099983215332,,,,,,,27.70000000000001,4.616666666666668,23,3.8333333333333335,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Paul Skenes","PIT",0,0,0.399604,3.40584,1,1,0,0,,5.655,23.1963,4.57062,2.29,2.14,0.626837,1.65036,0.0113833,0.305836,6.56238,10.4441,2.62657,3.97633,0.997618,0.282906,0.0711475,0.2117585390806198,0.215188,1.10008,0.280678,0.735669,,,3.25392,0.166254,0.188608,9.649999618530273,,,,,,,27.10000000000001,4.516666666666668,25,4.166666666666667,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Gilbert","SEA",0,0,0.392235,3.24224,1,1,0,0,,5.635,22.5832,4.19963,2.18,2.03,0.702038,1.61286,0.0214828,0.259946,7.21576,11.5247,2.57599,4.47391,1.12127,0.319519,0.0714184,0.24810069799423218,0.202779,1.0315,0.273407,0.752125,,,3.15167,0.1628,0.188608,37.150001525878906,,,,,,,29.70000000000001,4.950000000000002,25,4.166666666666667,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"George Kirby","SEA",0,0,0.398061,3.6032,1,1,0,0,,5.62,23.0704,4.95943,2.41,2.25,0.62022,1.47874,0.0189878,0.193007,6.0002,9.60886,2.36808,4.05766,0.993234,0.260082,0.0640966,0.1959853395819664,0.231763,1.14558,0.293621,0.723208,,,3.28782,0.154199,0.188608,64.58000183105469,,,,,,,28.10000000000001,4.6833333333333345,26,4.333333333333333,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Cristopher Sánchez","PHI",0,0,0.409824,3.19582,1,1,0,0,,5.745,23.4023,5.31726,2.21,2.04,0.412673,1.3029,0.0230431,0.210613,5.03875,7.89361,2.0411,3.86733,0.646485,0.21531,0.0556741,0.1596357710659504,0.242921,1.15233,0.29838,0.729867,,,3.06609,0.15386,0.188608,24.75,,,,,,,38.400000000000006,6.400000000000001,37,6.166666666666667,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
