Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15,7,22,2.7164,32,32,0,0,,204,798,157,67,61,20,41,,7,247,10.8992,1.82782,5.96293,0.865963,0.309019,0.0518234,0.2571960799396038,0.209635,0.974932,0.28452,0.76987,,,2.67515,6.39353,6.3115,7.019999980926514,,,,,,,1205.4,5.908823529411765,1110,5.4411764705882355,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13,8,22,2.75536,32,32,0,0,,197,783,155,66,60,17,49,,7,236,10.7702,2.22691,4.83641,0.755121,0.300732,0.0621808,0.2385510914027691,0.212858,1.03435,0.290945,0.765173,,,2.67953,6.01226,6.28974,9.649999618530273,,,,,,,1149.7000000000003,5.836040609137057,1068,5.4213197969543145,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",15,9,21,3.04767,32,32,0,0,,199,796,161,73,67,21,51,,6,244,11.0381,2.32594,4.74566,0.967461,0.306244,0.0645314,0.24171223491430283,0.217364,1.06664,0.29389,0.762503,,,2.93959,5.48468,5.56059,12.239999771118164,,,,,,,1112.7000000000003,5.5914572864321626,1039,5.221105527638191,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13,8,20,3.18936,32,32,0,0,,204,833,184,78,72,18,50,,6,198,8.74524,2.19642,3.98159,0.789243,0.237615,0.0596784,0.17793657630681992,0.236996,1.14792,0.29631,0.744021,,,3.15823,4.92712,5.3755,24.75,,,,,,,1037.8000000000002,5.087254901960785,1014,4.970588235294118,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,10,20,3.28909,32,32,0,0,,207,855,199,82,76,16,47,,6,198,8.60825,2.04497,4.20948,0.705679,0.231938,0.055099,0.17683915793895721,0.248512,1.18824,0.311634,0.733454,,,3.01171,4.90375,4.75523,57.189998626708984,,,,,,,1054.6000000000004,5.094685990338166,1064,5.140096618357488,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",11,6,17,3.18113,27,27,0,0,,161,654,133,62,57,17,42,,9,198,11.0586,2.36614,4.67371,0.924405,0.302553,0.064735,0.23781777173280716,0.221106,1.09012,0.300647,0.745966,,,2.97281,4.06529,4.1029,39.36000061035156,,,,,,,879.5000000000002,5.46273291925466,827,5.136645962732919,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",11,9,17,3.43135,29,29,0,0,,169,691,135,70,64,18,60,,5,209,11.1662,3.19008,3.50028,0.981866,0.302733,0.0864882,0.2162443920969963,0.215963,1.15601,0.293196,0.739176,,,3.23221,4.04794,3.73622,48.15999984741211,,,,,,,901.2,5.332544378698225,834,4.93491124260355,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Max Fried","NYY",15,9,19,3.32023,30,30,0,0,,190,785,168,76,70,18,56,,8,181,8.5381,2.63787,3.23675,0.831265,0.230022,0.0710658,0.15895620733499527,0.232537,1.17481,0.286966,0.740138,,,3.43624,4.00339,4.15516,50.04999923706055,,,,,,,917.8,4.830526315789474,886,4.663157894736842,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jacob deGrom","TEX",11,7,17,3.43652,29,29,0,0,,173,690,143,72,66,23,39,,5,194,10.1255,2.04785,4.94446,1.21682,0.281652,0.0569632,0.2246888391673565,0.221616,1.05605,0.279758,0.739543,,,3.41059,3.83273,3.44024,50.0099983215332,,,,,,,881.5000000000002,5.095375722543354,822,4.7514450867052025,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Yoshinobu Yamamoto","LAD",12,6,16,3.24777,25,25,0,0,,155,628,127,61,56,15,45,,5,168,9.77621,2.6418,3.70058,0.884668,0.267544,0.0722979,0.19524632394313812,0.219158,1.11222,0.282389,0.738738,,,3.21387,3.81765,3.73761,26.639999389648438,,,,,,,818.3,5.279354838709677,766,4.941935483870968,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Sonny Gray","BOS",13,9,17,3.81214,30,30,0,0,,180,743,167,83,76,22,47,,6,190,9.51245,2.34375,4.05865,1.09588,0.256007,0.0630769,0.192930169403553,0.241691,1.1879,0.303041,0.715034,,,3.47741,3.75723,3.17549,138.08999633789062,,,,,,,848.2,4.7122222222222225,835,4.638888888888889,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Framber Valdez","DET",13,10,18,3.49157,30,30,0,0,,189,789,170,80,73,16,62,,8,176,8.40273,2.97527,2.82419,0.745057,0.223236,0.0790442,0.14419136196374893,0.23585,1.22874,0.292066,0.725218,,,3.46647,3.7555,3.75864,81.13999938964844,,,,,,,901.8000000000002,4.771428571428572,879,4.650793650793651,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","TOR",11,9,17,3.68824,30,30,0,0,,169,702,141,75,69,20,64,,5,200,10.6475,3.41934,3.11389,1.04232,0.284642,0.0914104,0.1932317167520523,0.223017,1.21518,0.294083,0.730969,,,3.50768,3.71316,2.90925,74.7699966430664,,,,,,,831.0000000000001,4.91715976331361,778,4.603550295857988,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12,9,17,3.64487,30,30,0,0,,176,721,151,77,71,21,54,,5,194,9.91887,2.76009,3.59368,1.07401,0.268411,0.0746899,0.19372127205133438,0.228094,1.16657,0.29059,0.72673,,,3.49063,3.70189,3.55627,70.58999633789062,,,,,,,862.5000000000001,4.9005681818181825,818,4.6477272727272725,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Bryan Woo","SEA",14,9,19,3.40872,32,32,0,0,,198,794,164,82,75,26,41,,8,200,9.08055,1.87676,4.83842,1.18754,0.252228,0.0521303,0.2000979222357273,0.220523,1.03622,0.266321,0.733466,,,3.57303,3.69613,3.48549,34.77000045776367,,,,,,,972.0000000000001,4.90909090909091,905,4.570707070707071,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Hunter Brown","HOU",12,9,18,3.49017,30,30,0,0,,183,756,157,77,71,21,60,,7,199,9.7516,2.92594,3.33281,1.00866,0.262423,0.0787393,0.18368354439735413,0.227103,1.18016,0.289158,0.7414,,,3.51652,3.58206,3.61806,36.189998626708984,,,,,,,884.7,4.834426229508197,839,4.584699453551913,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Zack Wheeler","PHI",11,6,15,3.29672,25,25,0,0,,153,616,125,61,56,18,41,,7,176,10.3917,2.41025,4.31146,1.03226,0.285909,0.0663136,0.21959497779607773,0.219722,1.08679,0.286525,0.743493,,,3.25026,3.55714,3.74429,110.48999786376953,,,,,,,793.8,5.188235294117646,739,4.830065359477124,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
