Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.7692,8.7268,22.292,2.76811,31.4074,31.4074,0,0,,195.91,780.207,155.514,66.2014,60.2556,19.6345,42.9465,,6.9165,240.214,11.0353,1.97294,5.59333,0.902,0.307885,0.055045,0.2528398334980011,0.212932,1.01302,0.2888,0.77357,,,2.7493,5.84593,5.76119,7.019999980926514,,,,,,,1128.8000000000002,5.759183673469389,1050,5.357142857142857,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.3097,8.8132,20.469,2.98297,31.4074,31.4074,0,0,,189.264,758.575,152.924,68.7064,62.73,18.8844,50.0713,,5.8357,236.921,11.2662,2.38102,4.73166,0.898,0.312323,0.0660071,0.24631603807210922,0.217633,1.07255,0.299957,0.760597,,,2.81483,5.53773,5.34189,12.239999771118164,,,,,,,1073.1000000000001,5.677777777777779,1004,5.3121693121693125,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",12.9759,8.9942,20.2054,2.92528,31.4074,31.4074,0,0,,186.418,755.952,150.909,66.6166,60.5915,16.8397,51.5438,,7.1891,229.43,11.0766,2.48847,4.45116,0.813,0.303498,0.068184,0.23531386256217957,0.216444,1.08602,0.297305,0.759383,,,2.79319,5.40672,5.39912,9.649999618530273,,,,,,,1055.7000000000003,5.675806451612905,990,5.32258064516129,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",13.3303,9.0897,20.9887,3.06758,31.4074,31.4074,0,0,,194.258,794.187,176.279,73.8805,66.2114,16.771,49.8591,,6.4814,193.288,8.95507,2.30998,3.87669,0.777,0.243379,0.0627801,0.18059901893138885,0.23891,1.16411,0.302221,0.751301,,,3.13754,4.81265,5.20908,24.75,,,,,,,986.9000000000002,5.087113402061857,967,4.984536082474227,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",12.2681,10.2469,20.3215,3.29242,31.4074,31.4074,0,0,,194.931,812.214,188.078,79.3771,71.3106,16.1576,46.989,,6.1127,186.373,8.60486,2.16949,3.96631,0.746,0.229463,0.057853,0.17160995677113533,0.24776,1.2059,0.308886,0.732843,,,3.11774,4.07362,4.00314,57.189998626708984,,,,,,,970.4000000000001,4.976410256410257,980,5.0256410256410255,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jacob deGrom","TEX",11.213,8.9395,16.9528,3.476,28.62,28.62,0,0,,171.56,701.677,148.093,71.394,66.2603,22.8175,39.983,,5.2373,202.001,10.5969,2.0975,5.05217,1.197,0.287883,0.0569821,0.23090095072984695,0.225595,1.09627,0.290233,0.747332,,,3.30001,4.06806,3.50985,50.0099983215332,,,,,,,874.1000000000001,5.081976744186047,830,4.825581395348837,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Chris Sale","ATL",11.6095,7.5682,17.4579,3.17009,27.03,27.03,0,0,,165.334,673.184,135.918,63.3692,58.236,17.507,45.1767,,8.637,203.64,11.0852,2.4592,4.50762,0.953,0.302502,0.067109,0.23539313673973083,0.219445,1.09532,0.297347,0.751832,,,3.02477,4.06343,4.27503,39.36000061035156,,,,,,,891.9999999999999,5.406060606060605,837,5.072727272727272,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Sonny Gray","BOS",11.2552,9.7912,16.6148,3.65163,30.21,30.21,0,0,,176.809,737.626,165.715,78.0632,71.7379,20.2545,47.5378,,5.4784,187.007,9.51908,2.41979,3.93385,1.031,0.253525,0.064447,0.18907808512449265,0.242057,1.20612,0.304725,0.731163,,,3.40856,3.86618,3.52633,138.08999633789062,,,,,,,847.1999999999999,4.786440677966102,840,4.745762711864407,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Dylan Cease","TOR",11.779,9.0878,16.791,3.47359,30.21,30.21,0,0,,174.255,730.323,144.027,72.8323,67.2545,20.2523,64.9045,,5.4928,210.965,10.896,3.35221,3.25039,1.046,0.288865,0.088871,0.19999410212039948,0.218247,1.199,0.288715,0.753685,,,3.43666,3.83192,3.31731,74.7699966430664,,,,,,,879.2000000000002,5.052873563218392,822,4.724137931034483,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Cole Ragans","KCR",11.3934,8.4994,16.6818,3.34553,28.62,28.62,0,0,,167.367,694.179,135.711,67.5137,62.2145,18.7079,63.2529,,5.4569,206.5,11.1043,3.40137,3.26467,1.006,0.297473,0.091119,0.20635413378477097,0.216975,1.18879,0.292317,0.760827,,,3.35222,3.81199,3.88251,48.15999984741211,,,,,,,856.4999999999999,5.128742514970059,796,4.766467065868263,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
