Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.056,637.642,518.352,148.727,72.6272,26.0638,0.422829,49.6136,105.747,119.577,108.297,18.1656,161.953,5.9873,4.23653,0.51703,8.88188,7.85744,2.89428,0.286923,0.169839,0.253987,0.668692,0.412973,0.625979,0.428504,1.03895,0.339056,3.22316,0.318671,,-0.727772,135.111,59.7684,180.852,-0.727772,-2.34,60.03566747903824,-9.347536325454712,7.43217,1.850000023841858,,,,,,,1210.6,8.348965517,1210.6,8.348965517,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.257,659.483,598.54,174.525,102.361,35.3685,5.53317,31.2631,104.428,96.7336,47.9626,5.00186,112.83,6.41675,5.69579,0.868119,6.9936,37.0848,8.40224,0.291585,0.0727276,0.171089,0.425086,0.347555,0.525863,0.369341,0.873417,0.234277,7.02761,0.311344,,2.97437,108.061,30.1376,135.952,2.97437,3.65,30.919272422790527,10.652638912200928,6.5764,3.0999999046325684,,,,,,,1018,6.741721854,1018,6.741721854,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",148.707,618.703,534.352,119.956,58.1644,22.1547,0.855488,38.7815,81.3226,102.189,73.2791,6.83438,170.962,6.16831,4.39914,0.504786,6.27113,7.31902,2.56785,0.224489,0.11844,0.276324,0.428628,0.322556,0.486882,0.343217,0.809438,0.262393,3.61963,0.246726,,-0.451126,88.2559,15.1513,127.505,-0.451126,14.95,19.605768024921417,21.647247314453125,6.40013,18.729999542236328,,,,,,,816,5.476510067,816,5.476510067,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.5,660.136,558.765,159.035,77.9291,30.8118,3.10501,47.1893,120.95,118.306,91.2053,13.4992,156.83,4.75018,3.60543,0.742803,8.7755,25.3068,8.35762,0.284619,0.138161,0.237573,0.581554,0.387332,0.604234,0.411841,0.991566,0.319615,5.94659,0.312113,,0.579965,130.946,52.9461,168.219,0.579965,0,53.954172015190125,-14.018393516540527,6.33221,1.2699999809265137,,,,,,,1193.3,8.062837837,1193.3,8.062837837,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.754,678.277,547.78,147.909,82.905,26.4207,0.428373,38.1554,107.647,99.6277,121.419,8.89808,123.302,4.14035,3.84956,1.08774,13.8145,16.7133,6.11602,0.270016,0.179011,0.181787,0.984728,0.403829,0.528776,0.397202,0.932606,0.25876,3.9674,0.281296,,-0.479431,126.483,46.3397,160.983,-0.479431,-2.99,48.54446020722389,-10.349490404129028,6.21583,4.650000095367432,,,,,,,1103.9,7.121935483,1103.9,7.121935483,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.723,660.213,598.756,163.707,103.508,25.8157,6.15774,28.2261,95.6853,87.3828,47.7433,3.64137,146.172,9.25768,3.89313,0.56337,10.78,25.7598,6.52701,0.273412,0.072315,0.221401,0.326624,0.334584,0.47852,0.347712,0.813104,0.205108,6.70978,0.316359,,1.44345,96.5865,18.5772,130.601,1.44345,0.52,25.255361080169678,2.670269250869751,5.18279,9.489999771118164,,,,,,,893,5.875,893,5.875,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.419,659.777,583.112,155.891,93.5828,34.6145,2.7282,24.9656,94.2417,80.0739,64.9956,3.17544,140.402,5.72054,5.40825,0.540387,12.1907,20.6397,5.18877,0.267343,0.0985115,0.212802,0.462925,0.343742,0.464506,0.347498,0.808248,0.197162,5.59646,0.309405,,0.939366,96.4081,18.4503,125.367,0.939366,-1.33,20.665098965168,5.726435542106628,5.0243,12.510000228881836,,,,,,,883.1,5.809868421,883.1,5.809868421,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.542,648.293,567.003,154.86,93.8814,27.7326,4.10197,29.1438,99.5711,85.4294,69.9112,3.09638,129.015,6.20648,4.20737,0.96518,12.5318,23.2017,7.18332,0.27312,0.107839,0.199008,0.541882,0.356817,0.490699,0.363413,0.847515,0.217579,5.89739,0.304359,,0.596809,103.107,26.5058,138.273,0.596809,4.32,30.004443526268005,-2.7479705810546875,4.99466,14.010000228881836,,,,,,,929.7,6.239597315,929.7,6.239597315,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",152.973,662.728,578.59,173.107,109.591,30.8586,1.17782,31.4794,97.3647,97.5931,72.0786,6.98853,87.6115,7.13586,4.2906,0.633178,16.4976,5.843,2.26813,0.299188,0.108761,0.132198,0.822707,0.381096,0.519815,0.38391,0.900911,0.220627,3.44632,0.305371,,-0.960538,116.432,38.1253,149.609,-0.960538,-0.37,37.78914171457291,-12.368168950080872,4.93539,18.049999237060547,,,,,,,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",122.688,526.391,453.812,125.055,72.9249,23.5154,0.681815,27.9332,70.9606,83.2662,59.5686,8.42022,99.1432,4.62774,4.24761,0.48675,10.2321,1.76132,0.695534,0.275566,0.113164,0.188345,0.600834,0.362373,0.515045,0.370723,0.877418,0.239479,2.38239,0.293435,,-0.782211,86.8434,24.6463,141.327,-0.782211,-0.09,24.857434034347534,3.9537860453128815,4.802,95.08999633789062,,,,,,,780.5,6.345528455,780.5,6.345528455,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
