Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",140,612,495,143,73,25,1,44,106,118,107,21,156,6,3,0,,8,2,0.288304,0.175688,0.254971,0.689052,0.418572,0.609669,0.424401,1.02824,0.321365,3.793,0.330894,0,-0.330547,127.61,55.3136,178.026,-0.330547,5.39359,55.937874495983124,-1.3509039878845215,7.74025,1.850000023841858,,,,,,,1146.2,8.187142857,1146.2,8.187142857,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",149,641,583,169,100,36,8,26,97,92,48,5,111,6,4,0,,32,9,0.290547,0.0751522,0.172974,0.434472,0.348558,0.513138,0.365586,0.861696,0.222591,7.18612,0.318423,0,1.78729,103.046,27.3306,133.366,1.78729,7.07914,26.987296223640442,14.142669677734375,6.46539,3.0999999046325684,,,,,,,955.4,6.412080536,955.4,6.412080536,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",148,607,525,120,60,22,0,38,80,103,74,9,172,5,3,0,,6,2,0.22897,0.121801,0.282911,0.430527,0.327672,0.489464,0.345875,0.817136,0.260494,2.98879,0.257226,0,-0.355272,87.914,16.1778,129.336,-0.355272,9.48523,20.63629162311554,20.639002799987793,6.36161,18.729999542236328,,,,,,,810.8,5.478378378,810.8,5.478378378,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",149,680,577,163,83,29,5,46,131,127,94,16,163,6,4,0,,28,5,0.283186,0.137971,0.24022,0.574353,0.386344,0.592005,0.406068,0.978349,0.308819,7.03006,0.315195,0,2.5384,131.742,51.3688,164.264,2.5384,0,54.348252296447754,-17.495357513427734,6.08513,1.2699999809265137,,,,,,,1220,8.187919463,1220,8.187919463,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",149,655,524,142,81,24,2,35,105,101,124,9,115,3,3,1,,21,4,0.270956,0.18882,0.176187,1.0717,0.410636,0.523602,0.3988,0.934237,0.252646,5.02833,0.284018,0,1.36006,123.011,45.6057,162.077,1.36006,-6.75759,49.558231472969055,-13.978705406188965,5.86937,4.650000095367432,,,,,,,1090.9,7.32147651,1090.9,7.32147651,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",148,660,584,152,94,30,3,25,100,87,61,2,122,12,4,0,,22,4,0.25946,0.0922589,0.185051,0.498559,0.339305,0.449269,0.341594,0.788574,0.189809,6.10728,0.286849,0,1.78391,93.3268,15.3008,122.889,1.78391,5.75924,19.698021054267883,13.038286209106445,5.59636,25.350000381469727,,,,,,,855.9,5.783108108,855.9,5.783108108,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",148,650,588,158,100,28,2,28,93,96,48,5,147,10,4,0,,26,7,0.268325,0.0740024,0.226163,0.327208,0.33167,0.463794,0.34086,0.795464,0.195469,5.72511,0.311612,0,1.4158,91.4341,14.667,125.881,1.4158,6.83896,21.23409652709961,9.226165533065796,5.40508,9.489999771118164,,,,,,,856.4,5.786486486,856.4,5.786486486,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",146,636,554,150,92,28,2,27,99,84,72,4,126,6,4,0,,24,6,0.270025,0.113829,0.198301,0.574022,0.358243,0.474571,0.358616,0.832814,0.204545,5.61247,0.302828,0,1.309,98.6386,23.5177,134.987,1.309,9.79077,27.67246639728546,2.782754421234131,5.27931,14.010000228881836,,,,,,,895.2,6.131506849,895.2,6.131506849,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Gunnar Henderson","BAL",149,636,562,152,91,30,6,25,94,84,64,3,139,7,4,0,,21,5,0.269881,0.100042,0.218211,0.458465,0.348833,0.47824,0.355092,0.827074,0.208359,6.49521,0.314871,0,1.29023,96.8944,21.7154,130.598,1.29023,-2.62477,24.235617756843567,4.388675689697266,5.16989,12.510000228881836,,,,,,,884.3,5.934899328,884.3,5.934899328,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"William Contreras","MIL",149,637,555,150,98,31,1,19,86,82,75,5,121,3,4,0,,6,2,0.269554,0.118461,0.190754,0.621014,0.357872,0.434396,0.344372,0.792268,0.164842,3.60808,0.311734,0,-0.763838,91.4514,16.1946,122.246,-0.763838,1.45266,16.029060304164886,13.153835415840149,5.15305,56.560001373291016,,,,,,,799,5.362416107,799,5.362416107,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
