Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
DET,Tigers,15,7,32,32,0,0,,204,798,157,67,61,20,247,41,,7,2.7164,0.974932,10.8992,1.82782,5.96293,0.865963,0.309019,0.0518234,0.2571960799396038,,0.209635,0.28452,0.76987,2.67515,1205.4,5.908823529411765,1110,5.4411764705882355,6.39353,6.3115,22,7.019999980926514,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,13,8,32,32,0,0,,197,783,155,66,60,17,236,49,,7,2.75536,1.03435,10.7702,2.22691,4.83641,0.755121,0.300732,0.0621808,0.2385510914027691,,0.212858,0.290945,0.765173,2.67953,1149.7000000000003,5.836040609137057,1068,5.4213197969543145,6.01226,6.28974,22,9.649999618530273,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,15,9,32,32,0,0,,199,796,161,73,67,21,244,51,,6,3.04767,1.06664,11.0381,2.32594,4.74566,0.967461,0.306244,0.0645314,0.24171223491430283,,0.217364,0.29389,0.762503,2.93959,1112.7000000000003,5.5914572864321626,1039,5.221105527638191,5.48468,5.56059,21,12.239999771118164,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,13,8,32,32,0,0,,204,833,184,78,72,18,198,50,,6,3.18936,1.14792,8.74524,2.19642,3.98159,0.789243,0.237615,0.0596784,0.17793657630681992,,0.236996,0.29631,0.744021,3.15823,1037.8000000000002,5.087254901960785,1014,4.970588235294118,4.92712,5.3755,20,24.75,26,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,14,10,32,32,0,0,,207,855,199,82,76,16,198,47,,6,3.28909,1.18824,8.60825,2.04497,4.20948,0.705679,0.231938,0.055099,0.17683915793895721,,0.248512,0.311634,0.733454,3.01171,1054.6000000000004,5.094685990338166,1064,5.140096618357488,4.90375,4.75523,20,57.189998626708984,30,NL,Logan Webb,657277,17995,17995
ATL,Braves,11,6,27,27,0,0,,161,654,133,62,57,17,198,42,,9,3.18113,1.09012,11.0586,2.36614,4.67371,0.924405,0.302553,0.064735,0.23781777173280716,,0.221106,0.300647,0.745966,2.97281,879.5000000000002,5.46273291925466,827,5.136645962732919,4.06529,4.1029,17,39.36000061035156,16,NL,Chris Sale,519242,10603,10603
KCR,Royals,11,9,29,29,0,0,,169,691,135,70,64,18,209,60,,5,3.43135,1.15601,11.1662,3.19008,3.50028,0.981866,0.302733,0.0864882,0.2162443920969963,,0.215963,0.293196,0.739176,3.23221,901.2,5.332544378698225,834,4.93491124260355,4.04794,3.73622,17,48.15999984741211,7,AL,Cole Ragans,666142,21846,21846
NYY,Yankees,15,9,30,30,0,0,,190,785,168,76,70,18,181,56,,8,3.32023,1.17481,8.5381,2.63787,3.23675,0.831265,0.230022,0.0710658,0.15895620733499527,,0.232537,0.286966,0.740138,3.43624,917.8,4.830526315789474,886,4.663157894736842,4.00339,4.15516,19,50.04999923706055,9,AL,Max Fried,608331,13743,13743
TEX,Rangers,11,7,29,29,0,0,,173,690,143,72,66,23,194,39,,5,3.43652,1.05605,10.1255,2.04785,4.94446,1.21682,0.281652,0.0569632,0.2246888391673565,,0.221616,0.279758,0.739543,3.41059,881.5000000000002,5.095375722543354,822,4.7514450867052025,3.83273,3.44024,17,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
LAD,Dodgers,12,6,25,25,0,0,,155,628,127,61,56,15,168,45,,5,3.24777,1.11222,9.77621,2.6418,3.70058,0.884668,0.267544,0.0722979,0.19524632394313812,,0.219158,0.282389,0.738738,3.21387,818.3,5.279354838709677,766,4.941935483870968,3.81765,3.73761,16,26.639999389648438,22,NL,Yoshinobu Yamamoto,808967,33825,33825
