Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
NYY,Yankees,146,518,632,156,78,25,1,52,110,126,105,7,157,6,4,0,,11,2,0.301002,0.421493,0.655409,1.0769,0.447171,0.166121,0.248336,0.668934,0.354407,3.94553,0.332063,-0.690566,,143.511,68.8263,4.36158,-0.0650912,-0.755657,9.01515,69.0569424033165,-2.7050881385803223,193.712,1270.9,8.70479452,1270.9,8.70479452,1.850000023841858,0.36363636,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
KCR,Royals,154,604,666,189,111,38,7,33,111,104,50,4,106,7,5,0,,37,11,0.311931,0.368145,0.560099,0.928244,0.392179,0.0752104,0.159298,0.472138,0.248168,7.09871,0.331232,1.0775,,121.555,42.8119,9.51362,1.94994,3.02744,8.51467,43.62357521057129,16.65390110015869,151.684,1125.2,7.306493506,1125.2,7.306493506,3.0999999046325684,0.02484472,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,156,548,673,154,87,27,2,38,108,105,117,6,115,4,5,0,,19,5,0.280384,0.40777,0.542963,0.950733,0.404692,0.17422,0.170677,1.02076,0.262579,4.76061,0.289519,-0.360535,,129.649,50.0938,-2.2816,0.55154,0.191005,6.71684,52.94926759600639,-9.69178056716919,166.113,1146.4,7.348717948,1146.4,7.348717948,4.650000095367432,0.01840491,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,154,572,666,166,84,28,6,49,121,120,85,6,157,5,4,0,,25,6,0.291098,0.385379,0.616666,1.00205,0.418268,0.128212,0.23616,0.542904,0.325568,6.51919,0.317811,0.0451149,,135.672,56.9282,0.0,1.33697,1.38209,6.57317,58.74238741397858,-16.660648345947266,172.622,1234.3,8.014935064,1234.3,8.014935064,1.2699999809265137,0.92,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
BAL,Orioles,153,578,660,162,96,33,6,28,107,95,70,3,142,7,5,0,,22,5,0.280682,0.362499,0.503182,0.86568,0.370022,0.106492,0.21461,0.496213,0.2225,6.67173,0.325402,0.838496,,108.437,30.5055,-2.28533,1.35855,2.19705,6.28885,33.97752642631531,4.7813401222229,140.882,981.1,6.4124183,981.1,6.4124183,12.510000228881836,0.05128205,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,155,541,622,127,69,22,1,35,81,94,72,3,167,5,4,0,,9,2,0.234406,0.327569,0.472497,0.800066,0.343084,0.115129,0.267975,0.429627,0.238091,3.64577,0.267174,-0.827059,,88.6106,15.1565,10.3246,-0.0694811,-0.89654,5.92293,19.18898332118988,17.298067569732666,127.413,811.2,5.233548387,811.2,5.233548387,18.729999542236328,0.23312883,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,155,605,669,166,106,30,2,29,91,94,50,4,147,9,5,0,,29,7,0.274755,0.337129,0.473318,0.810448,0.347263,0.0749566,0.219516,0.341464,0.198563,5.59482,0.316891,0.315533,,97.6373,18.5825,2.39014,1.81109,2.12662,5.48743,26.013965845108032,4.5845842361450195,130.292,908.1,5.858709677,908.1,5.858709677,9.489999771118164,0.00609756,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
ATL,Braves,148,546,639,159,99,27,2,31,97,94,81,4,126,7,5,0,,32,8,0.290953,0.38657,0.517188,0.903757,0.386733,0.12603,0.197667,0.637587,0.226235,5.47553,0.325017,0.815509,,113.717,38.2212,-1.32722,1.84226,2.65776,5.40651,40.551055669784546,-8.958238363265991,150.039,1027.9,6.94527027,1027.9,6.94527027,5.260000228881836,0.04081633,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
TOR,Blue Jays,122,428,485,119,83,21,0,15,60,58,49,2,55,4,4,1,,2,0,0.278319,0.35481,0.433831,0.788641,0.34337,0.10162,0.113893,0.892242,0.155512,2.52308,0.28826,-0.814974,,69.3066,11.9481,16.0439,-0.739437,-1.55441,5.33783,10.851056575775146,24.607306480407715,121.682,603.1,4.943442622,603.1,4.943442622,160.25,0.05511811,C,/players/alejandro-kirk/22581/stats/batting,14.0,AL,Alejandro Kirk,672386,22581,22581
SDP,Padres,153,580,660,155,96,29,2,29,89,88,68,3,131,7,5,0,,25,6,0.267666,0.348246,0.470301,0.818546,0.352243,0.102726,0.197925,0.519015,0.202634,5.07323,0.297542,0.338486,,98.9168,20.9852,10.5695,1.62628,1.96476,5.23272,25.902180314064026,3.3065128326416016,130.622,911.8,5.959477124,911.8,5.959477124,14.010000228881836,0.01265823,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
HOU,Astros,126,467,546,140,80,27,1,33,86,93,67,4,92,8,4,0,,4,1,0.30061,0.394144,0.573674,0.967818,0.408807,0.122729,0.167643,0.732081,0.273064,3.62979,0.31052,-0.494353,,106.995,42.46,1.21288,-0.672653,-1.16701,5.18604,41.78940415382385,-9.9056396484375,166.731,941.0,7.468253968,941.0,7.468253968,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541,19556,19556
TEX,Rangers,129,490,557,135,80,25,0,29,74,85,57,3,100,5,4,0,,4,1,0.275961,0.35494,0.508034,0.862974,0.368362,0.103131,0.180233,0.57221,0.232073,2.63841,0.290413,-0.568683,,90.7438,24.9891,2.01562,-0.566245,-1.13493,5.14887,24.90433645248413,6.260532379150391,139.7,801.9,6.216279069,801.9,6.216279069,95.08999633789062,0.04761905,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
TOR,Blue Jays,154,582,666,177,110,35,1,31,96,102,73,4,89,6,5,0,,6,3,0.303414,0.384106,0.527255,0.911361,0.388841,0.109745,0.133897,0.819621,0.223841,3.13488,0.311249,-0.256179,,119.749,41.0056,-2.56266,-1.03498,-1.29116,4.97521,40.34230554103851,-14.659417629241943,153.005,1047.8,6.803896103,1047.8,6.803896103,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611
CIN,Reds,153,589,660,154,89,31,7,27,98,88,62,3,184,4,4,1,,42,11,0.261497,0.333362,0.474298,0.80766,0.345766,0.0940565,0.278422,0.33782,0.212801,7.58384,0.332053,1.07057,,95.4484,17.5168,0.959262,3.06573,4.1363,4.86847,17.867959022521973,7.780557990074158,117.566,904.0,5.908496732,904.0,5.908496732,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
MIL,Brewers,149,522,599,138,89,29,1,20,76,75,68,3,118,4,4,0,,6,2,0.265218,0.35183,0.436599,0.788429,0.342892,0.114289,0.196541,0.581504,0.171381,3.36742,0.305075,-0.320497,,85.2451,14.5037,5.84136,-0.58565,-0.906147,4.84177,14.159902334213257,13.251543998718262,121.232,750.4,5.03624161,750.4,5.03624161,56.560001373291016,0.1474359,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503
ARI,Diamondbacks,145,546,625,144,81,29,11,23,109,79,65,3,129,10,4,0,,34,7,0.264397,0.349993,0.485551,0.835544,0.357565,0.103672,0.207032,0.500755,0.221154,8.51784,0.304442,1.34657,,96.4659,22.5933,6.13515,3.02076,4.36733,4.77652,26.25945281982422,-0.36716508865356445,129.544,893.4,6.16137931,893.4,6.16137931,14.100000381469727,0.02040816,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878
NYM,Mets,149,572,646,146,91,28,1,25,83,84,57,2,122,11,5,1,,24,5,0.254643,0.331328,0.439781,0.77111,0.333917,0.0883415,0.188959,0.467516,0.185138,4.95058,0.280399,-0.295312,,87.2465,10.9385,3.44953,1.64956,1.35425,4.7274,14.848504662513733,9.878235578536987,117.63,803.1,5.389932885,803.1,5.389932885,25.350000381469727,0.01226994,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916
LAD,Dodgers,148,550,639,148,87,29,2,29,92,93,80,3,96,4,5,0,,26,4,0.268168,0.36199,0.487767,0.849757,0.364791,0.125275,0.149699,0.836844,0.2196,5.53111,0.274845,0.0157428,,102.335,26.8384,1.50546,2.50657,2.52231,4.67414,29.77505135536194,-5.34037458896637,135.988,937.1,6.331756756,937.1,6.331756756,13.130000114440918,0.13868613,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345
CLE,Guardians,153,590,662,157,98,34,3,22,86,84,62,2,80,4,5,1,,35,7,0.265806,0.337298,0.44451,0.781809,0.337633,0.0937339,0.120908,0.77525,0.178704,5.8033,0.273451,-0.0455493,,91.463,13.2149,4.33661,2.88595,2.8404,4.61167,17.132638931274414,5.141242861747742,118.311,856.6,5.59869281,856.6,5.59869281,6.28000020980835,0.16463415,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510
TBR,Rays,151,599,653,165,99,29,3,35,88,99,44,3,128,4,5,0,,5,1,0.27563,0.327529,0.506848,0.834377,0.35408,0.067836,0.195542,0.346913,0.231218,4.00712,0.295363,-0.0393581,,98.8596,21.7398,-0.147544,-0.499838,-0.539196,4.57733,20.67249310016632,1.5945856869220734,127.574,905.9,5.999337748,905.9,5.999337748,16.479999542236328,0.03797468,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163
