Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
DET,Tigers,13.7692,8.7268,31.4074,31.4074,0.0,0.0,,195.91,780.207,155.514,66.2014,60.2556,19.6345,240.214,42.9465,,6.9165,2.76811,1.01302,11.0353,1.97294,5.59333,0.902,0.307885,0.055045,0.2528398334980011,,0.212932,0.2888,0.77357,2.7493,1128.8000000000002,5.759183673469389,1050,5.357142857142857,5.84593,5.76119,22.292,7.019999980926514,6.0,AL,Tarik Skubal,669373.0,22267,22267
BOS,Red Sox,13.3097,8.8132,31.4074,31.4074,0.0,0.0,,189.264,758.575,152.924,68.7064,62.73,18.8844,236.921,50.0713,,5.8357,2.98297,1.07255,11.2662,2.38102,4.73166,0.898,0.312323,0.0660071,0.24631603807210922,,0.217633,0.299957,0.760597,2.81483,1073.1000000000001,5.677777777777779,1004,5.3121693121693125,5.53773,5.34189,20.469,12.239999771118164,3.0,AL,Garrett Crochet,676979.0,27463,27463
PIT,Pirates,12.9759,8.9942,31.4074,31.4074,0.0,0.0,,186.418,755.952,150.909,66.6166,60.5915,16.8397,229.43,51.5438,,7.1891,2.92528,1.08602,11.0766,2.48847,4.45116,0.813,0.303498,0.068184,0.23531386256217957,,0.216444,0.297305,0.759383,2.79319,1055.7000000000003,5.675806451612905,990,5.32258064516129,5.40672,5.39912,20.2054,9.649999618530273,27.0,NL,Paul Skenes,694973.0,33677,33677
PHI,Phillies,13.3303,9.0897,31.4074,31.4074,0.0,0.0,,194.258,794.187,176.279,73.8805,66.2114,16.771,193.288,49.8591,,6.4814,3.06758,1.16411,8.95507,2.30998,3.87669,0.777,0.243379,0.0627801,0.18059901893138885,,0.23891,0.302221,0.751301,3.13754,986.9000000000002,5.087113402061857,967,4.984536082474227,4.81265,5.20908,20.9887,24.75,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
SFG,Giants,12.2681,10.2469,31.4074,31.4074,0.0,0.0,,194.931,812.214,188.078,79.3771,71.3106,16.1576,186.373,46.989,,6.1127,3.29242,1.2059,8.60486,2.16949,3.96631,0.746,0.229463,0.057853,0.17160995677113533,,0.24776,0.308886,0.732843,3.11774,970.4000000000001,4.976410256410257,980,5.0256410256410255,4.07362,4.00314,20.3215,57.189998626708984,30.0,NL,Logan Webb,657277.0,17995,17995
TEX,Rangers,11.213,8.9395,28.62,28.62,0.0,0.0,,171.56,701.677,148.093,71.394,66.2603,22.8175,202.001,39.983,,5.2373,3.476,1.09627,10.5969,2.0975,5.05217,1.197,0.287883,0.0569821,0.23090095072984695,,0.225595,0.290233,0.747332,3.30001,874.1000000000001,5.081976744186047,830,4.825581395348837,4.06806,3.50985,16.9528,50.0099983215332,13.0,AL,Jacob deGrom,594798.0,10954,10954
ATL,Braves,11.6095,7.5682,27.03,27.03,0.0,0.0,,165.334,673.184,135.918,63.3692,58.236,17.507,203.64,45.1767,,8.637,3.17009,1.09532,11.0852,2.4592,4.50762,0.953,0.302502,0.067109,0.23539313673973083,,0.219445,0.297347,0.751832,3.02477,891.9999999999999,5.406060606060605,837,5.072727272727272,4.06343,4.27503,17.4579,39.36000061035156,16.0,NL,Chris Sale,519242.0,10603,10603
BOS,Red Sox,11.2552,9.7912,30.21,30.21,0.0,0.0,,176.809,737.626,165.715,78.0632,71.7379,20.2545,187.007,47.5378,,5.4784,3.65163,1.20612,9.51908,2.41979,3.93385,1.031,0.253525,0.064447,0.18907808512449265,,0.242057,0.304725,0.731163,3.40856,847.1999999999999,4.786440677966102,840,4.745762711864407,3.86618,3.52633,16.6148,138.08999633789062,3.0,AL,Sonny Gray,543243.0,12768,12768
TOR,Blue Jays,11.779,9.0878,30.21,30.21,0.0,0.0,,174.255,730.323,144.027,72.8323,67.2545,20.2523,210.965,64.9045,,5.4928,3.47359,1.199,10.896,3.35221,3.25039,1.046,0.288865,0.088871,0.19999410212039948,,0.218247,0.288715,0.753685,3.43666,879.2000000000002,5.052873563218392,822,4.724137931034483,3.83192,3.31731,16.791,74.7699966430664,14.0,AL,Dylan Cease,656302.0,18525,18525
KCR,Royals,11.3934,8.4994,28.62,28.62,0.0,0.0,,167.367,694.179,135.711,67.5137,62.2145,18.7079,206.5,63.2529,,5.4569,3.34553,1.18879,11.1043,3.40137,3.26467,1.006,0.297473,0.091119,0.20635413378477097,,0.216975,0.292317,0.760827,3.35222,856.4999999999999,5.128742514970059,796,4.766467065868263,3.81199,3.88251,16.6818,48.15999984741211,7.0,AL,Cole Ragans,666142.0,21846,21846
