Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
NYY,Yankees,140,495,612,143,73,25,1,44,106,118,107,21,156,6,3,0,,8,2,0.288304,0.418572,0.609669,1.02824,0.424401,0.175688,0.254971,0.689052,0.321365,3.793,0.330894,0,,127.61,55.3136,5.39359,-0.330547,-0.330547,7.74025,55.937874495983124,-1.3509039878845215,178.026,1146.2,8.187142857,1146.2,8.187142857,1.850000023841858,0.36363636,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,149,583,641,169,100,36,8,26,97,92,48,5,111,6,4,0,,32,9,0.290547,0.348558,0.513138,0.861696,0.365586,0.0751522,0.172974,0.434472,0.222591,7.18612,0.318423,0,,103.046,27.3306,7.07914,1.78729,1.78729,6.46539,26.987296223640442,14.142669677734375,133.366,955.4,6.412080536,955.4,6.412080536,3.0999999046325684,0.02484472,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,148,525,607,120,60,22,0,38,80,103,74,9,172,5,3,0,,6,2,0.22897,0.327672,0.489464,0.817136,0.345875,0.121801,0.282911,0.430527,0.260494,2.98879,0.257226,0,,87.914,16.1778,9.48523,-0.355272,-0.355272,6.36161,20.63629162311554,20.639002799987793,129.336,810.8,5.478378378,810.8,5.478378378,18.729999542236328,0.23312883,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,149,577,680,163,83,29,5,46,131,127,94,16,163,6,4,0,,28,5,0.283186,0.386344,0.592005,0.978349,0.406068,0.137971,0.24022,0.574353,0.308819,7.03006,0.315195,0,,131.742,51.3688,0.0,2.5384,2.5384,6.08513,54.348252296447754,-17.495357513427734,164.264,1220.0,8.187919463,1220.0,8.187919463,1.2699999809265137,0.92,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,149,524,655,142,81,24,2,35,105,101,124,9,115,3,3,1,,21,4,0.270956,0.410636,0.523602,0.934237,0.3988,0.18882,0.176187,1.0717,0.252646,5.02833,0.284018,0,,123.011,45.6057,-6.75759,1.36006,1.36006,5.86937,49.558231472969055,-13.978705406188965,162.077,1090.9,7.32147651,1090.9,7.32147651,4.650000095367432,0.01840491,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
NYM,Mets,148,584,660,152,94,30,3,25,100,87,61,2,122,12,4,0,,22,4,0.25946,0.339305,0.449269,0.788574,0.341594,0.0922589,0.185051,0.498559,0.189809,6.10728,0.286849,0,,93.3268,15.3008,5.75924,1.78391,1.78391,5.59636,19.698021054267883,13.038286209106445,122.889,855.9,5.783108108,855.9,5.783108108,25.350000381469727,0.01226994,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
SEA,Mariners,148,588,650,158,100,28,2,28,93,96,48,5,147,10,4,0,,26,7,0.268325,0.33167,0.463794,0.795464,0.34086,0.0740024,0.226163,0.327208,0.195469,5.72511,0.311612,0,,91.4341,14.667,6.83896,1.4158,1.4158,5.40508,21.23409652709961,9.226165533065796,125.881,856.4,5.786486486,856.4,5.786486486,9.489999771118164,0.00609756,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SDP,Padres,146,554,636,150,92,28,2,27,99,84,72,4,126,6,4,0,,24,6,0.270025,0.358243,0.474571,0.832814,0.358616,0.113829,0.198301,0.574022,0.204545,5.61247,0.302828,0,,98.6386,23.5177,9.79077,1.309,1.309,5.27931,27.67246639728546,2.782754421234131,134.987,895.2,6.131506849,895.2,6.131506849,14.010000228881836,0.01265823,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
BAL,Orioles,149,562,636,152,91,30,6,25,94,84,64,3,139,7,4,0,,21,5,0.269881,0.348833,0.47824,0.827074,0.355092,0.100042,0.218211,0.458465,0.208359,6.49521,0.314871,0,,96.8944,21.7154,-2.62477,1.29023,1.29023,5.16989,24.235617756843567,4.388675689697266,130.598,884.3,5.934899328,884.3,5.934899328,12.510000228881836,0.05128205,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
MIL,Brewers,149,555,637,150,98,31,1,19,86,82,75,5,121,3,4,0,,6,2,0.269554,0.357872,0.434396,0.792268,0.344372,0.118461,0.190754,0.621014,0.164842,3.60808,0.311734,0,,91.4514,16.1946,1.45266,-0.763838,-0.763838,5.15305,16.029060304164886,13.153835415840149,122.246,799.0,5.362416107,799.0,5.362416107,56.560001373291016,0.1474359,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
CLE,Guardians,147,554,623,149,86,34,3,26,87,89,61,17,76,4,4,0,,28,6,0.268657,0.343281,0.480283,0.823564,0.344977,0.0980203,0.121372,0.807604,0.211626,5.92377,0.269575,0,,89.745,16.144,3.66457,2.26679,2.26679,4.79066,19.424142122268677,5.953312873840332,123.37,871.9,5.931292517,871.9,5.931292517,6.28000020980835,0.16463415,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
