Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,4,,2.57726,30,30,,,,182,714,141,57,52,15,32,,6,224,11.1011,1.58338,7.01102,0.767697,0.313739,0.0447495,0.2689898982644081,0.208901,0.95378,0.287988,0.77007,,,2.40088,6.36419,5.95535,7.019999980926514,,,,,,,1129.6999999999998,6.207142857142856,1049,5.763736263736264,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14,6,,2.8787,29,29,,,,172,705,145,60,55,16,46,,4,214,11.1624,2.39883,4.65326,0.859352,0.303478,0.0652183,0.23825933039188385,0.221437,1.10752,0.302792,0.78026,,,2.7629,5.12587,5.15137,12.239999771118164,,,,,,,977,5.680232558139535,930,5.406976744186046,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",16,8,,3.10464,32,32,,,,197,809,183,74,68,15,40,,6,189,8.61934,1.84356,4.67538,0.662717,0.233482,0.0499386,0.1835433691740036,0.239641,1.13198,0.300792,0.735767,,,2.87585,5.01285,4.98864,57.189998626708984,,,,,,,1037.5000000000002,5.266497461928935,1030,5.228426395939087,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Paul Skenes","PIT",13,6,,2.88477,32,32,,,,175,709,141,61,56,15,47,,7,199,10.2492,2.41397,4.24578,0.797109,0.2811,0.0662068,0.2148927003145218,0.215567,1.07568,0.285457,0.764201,,,2.92529,4.75539,5.27792,9.649999618530273,,,,,,,979.9,5.599428571428572,916,5.234285714285714,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",11,5,,3.22196,29,29,,,,176,725,160,69,63,15,41,,6,177,9.0038,2.07469,4.33983,0.790359,0.243471,0.0561016,0.18736955150961876,0.235886,1.13763,0.297135,0.737672,,,3.06628,4.44673,4.43708,24.75,,,,,,,914.9000000000001,5.198295454545455,898,5.1022727272727275,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",13,7,,3.42589,28,28,,,,167,670,131,69,64,18,42,,5,180,9.71574,2.24173,4.33404,0.976313,0.269463,0.0621737,0.20728931948542595,0.210293,1.03309,0.26594,0.702817,,,3.22045,4.09575,3.65458,26.639999389648438,,,,,,,892.7999999999998,5.346107784431137,820,4.910179640718563,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown","HOU",12,6,,3.07286,29,28,,,,163,672,133,60,56,14,55,,6,179,9.89155,3.07062,3.22135,0.795373,0.265957,0.0825607,0.1833963245153427,0.217351,1.15754,0.283427,0.760698,,,3.21548,3.77624,4.18103,36.189998626708984,,,,,,,863.2,5.295705521472393,808,4.957055214723926,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Dylan Cease","TOR",11,7,,3.59968,30,30,,,,163,682,135,71,65,18,62,,4,194,10.7484,3.45136,3.11425,1.0174,0.284983,0.0915095,0.19347361475229263,0.218975,1.21195,0.288934,0.737605,,,3.43803,3.71626,2.95065,74.7699966430664,,,,,,,823.8,5.053987730061349,771,4.730061349693251,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",13,8,,3.44891,28,28,,,,170,701,149,71,65,15,48,,7,154,8.16362,2.55463,3.19561,0.770594,0.219515,0.0686925,0.1508221998810768,0.230951,1.16375,0.281938,0.715805,,,3.40082,3.65201,3.37577,50.04999923706055,,,,,,,829.1,4.877058823529412,798,4.694117647058824,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Andrew Abbott","CIN",8,7,,3.96182,30,30,,,,164,693,159,78,72,19,47,,4,147,8.08349,2.59291,3.11754,1.06425,0.212427,0.0681395,0.14428788423538208,0.247943,1.25913,0.294069,0.713848,,,3.81131,3.48737,2.90858,221.92999267578125,,,,,,,707.5000000000001,4.314024390243903,714,4.353658536585366,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Bryan Woo","SEA",11,7,,3.34863,28,27,,,,158,633,130,64,59,18,32,,8,164,9.34972,1.83823,5.08625,1.03555,0.259716,0.0510623,0.20865332707762718,0.219906,1.0283,0.273385,0.719402,,,3.31131,3.45647,2.93443,34.77000045776367,,,,,,,817.8,5.175949367088608,764,4.8354430379746836,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Framber Valdez","DET",12,9,,3.6795,27,27,,,,171,723,157,76,70,15,58,,8,151,7.9173,3.03836,2.60578,0.763057,0.208394,0.0799735,0.12842024117708206,0.238491,1.25305,0.289025,0.712887,,,3.62637,3.07032,3.00426,81.13999938964844,,,,,,,776.7,4.542105263157895,764,4.4678362573099415,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Jesús Luzardo","PHI",11,9,,4.05339,28,28,,,,159,667,145,78,72,22,48,,4,179,10.125,2.72023,3.72212,1.22833,0.26871,0.0721927,0.19651716947555542,0.235259,1.21038,0.296942,0.707186,,,3.63907,3.06239,2.32898,70.58999633789062,,,,,,,731,4.59748427672956,711,4.471698113207547,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"MacKenzie Gore","TEX",10,9,,4.0076,29,29,,,,155,656,136,75,69,16,59,,9,176,10.253,3.44498,2.97623,0.957224,0.268906,0.0903513,0.17855460941791534,0.231091,1.25928,0.302337,0.698203,,,3.57024,3.01441,1.94286,164.82000732421875,,,,,,,744.6,4.803870967741935,715,4.612903225806452,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
