Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.0546,8.8802,22.656,2.79155,32,32,0,0,,199.765,796.193,159.293,68.0415,61.9615,20.265,43.4873,0.3639,7.1108,242.851,10.9412,1.95923,5.58441,0.913,0.305015,0.054619,0.2503959536552429,0.213646,1.0151,0.288154,0.772544,0.423915,,2.78241,5.88827,5.79346,6.909999847412109,,,,,,,1156.6,5.7829999999999995,1076,5.38,4.08,3.66,3.38,3.17,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.75,2.61,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.4868,9.1321,21.2689,2.91843,32,32,0,0,,193.982,785.35,158.031,69.176,62.9024,17.5661,51.5779,0.5026,7.1695,236.929,10.9926,2.39302,4.59362,0.815,0.301686,0.0656751,0.2360110878944397,0.217493,1.08056,0.297528,0.75903,0.443775,,2.77811,5.68038,5.7358,9.710000038146973,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.4,3.29,3.18,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.6136,8.9315,20.7292,3.01972,32,32,0,0,,192.855,773.898,157.514,70.8224,64.7077,19.4998,49.9148,0.493,6.0093,238.635,11.1364,2.32938,4.78085,0.91,0.308355,0.0644979,0.24385692179203033,0.219386,1.07557,0.300135,0.75838,0.454958,,2.84476,5.58993,5.39046,12.119999885559082,,,,,,,1093.7,5.666839378238342,1028,5.3264248704663215,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5487,9.3104,21.1273,3.14678,32,32,0,0,,198.055,812.033,182.629,77.1552,69.2484,17.5609,50.5572,0.4953,6.6733,191.375,8.69646,2.29742,3.78532,0.798,0.235674,0.06226,0.17341412603855133,0.241956,1.17738,0.302397,0.747988,0.545382,,3.22215,4.70393,5.14773,25.329999923706055,,,,,,,976,4.929292929292929,964,4.8686868686868685,4.6,4.15,3.86,3.62,3.41,3.22,3.02,2.81,2.54,4.02,3.82,3.69,3.58,3.49,3.39,3.29,3.18,3.03,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.8568,7.6916,17.7409,3.18977,27.54,27.54,0,0,,168.535,685.38,139.603,64.9399,59.732,18.1269,44.2858,0.5229,8.6056,205.599,10.9793,2.36492,4.64255,0.968,0.299978,0.064615,0.23536302894353867,0.22072,1.0911,0.29718,0.750413,0.416542,,3.03501,4.15253,4.32281,39.150001525878906,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.71,2.43,4.03,3.81,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6089,10.3787,20.748,3.31634,32,32,0,0,,199.392,830.798,193.79,81.7574,73.4723,16.616,47.1769,0.7552,6.049,187.374,8.45756,2.12944,3.97173,0.75,0.225535,0.056785,0.16875005140900612,0.249225,1.20851,0.308891,0.73131,0.547548,,3.13984,4.10879,3.93109,57.61000061035156,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.79,4.34,4.05,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.7931,8.5606,17.3513,3.31061,29.16,29.16,0,0,,172.018,711.112,139.943,68.7071,63.2761,18.9602,62.2671,0.598,5.6349,210.669,11.0222,3.25782,3.38331,0.992,0.296253,0.087563,0.20869020372629166,0.217569,1.17552,0.292525,0.759983,0.398402,,3.30285,4.06629,4.11862,47.66999816894531,,,,,,,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.79,4.3,3.97,3.71,3.49,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",11.4012,9.1387,17.1344,3.5191,29.16,29.16,0,0,,174.797,715.502,152.471,73.6068,68.3476,23.5976,39.7833,0.44,5.3405,202.772,10.4404,2.04837,5.09691,1.215,0.283398,0.0556019,0.22779585421085358,0.227441,1.09987,0.29025,0.745191,0.378878,,3.3445,4.04765,3.37752,49.79999923706055,,,,,,,875.5999999999999,5.003428571428571,834,4.765714285714286,5.03,4.52,4.18,3.91,3.68,3.46,3.24,3,2.69,4.43,4.19,4.02,3.88,3.76,3.64,3.52,3.38,3.19,"Jacob deGrom","10954",594798
"Sonny Gray","BOS",11.5555,9.9622,16.9886,3.69203,30.78,30.78,0,0,,181.357,757.232,171.233,80.8828,74.3973,21.1382,47.901,0.5013,5.6603,189.677,9.41287,2.37713,3.95977,1.049,0.250487,0.063258,0.1872290074825287,0.243343,1.2083,0.304541,0.729402,0.450923,,3.44462,3.88198,3.47428,138.00999450683594,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,"Sonny Gray","12768",543243
"Dylan Cease","TOR",11.888,9.4005,16.9304,3.5388,30.78,30.78,0,0,,177.809,746.471,149.425,75.665,69.9147,21.1198,64.9408,1.1317,5.6523,208.814,10.5693,3.28704,3.21545,1.069,0.279735,0.0869971,0.19273797422647476,0.221082,1.20559,0.287715,0.750553,0.381152,,3.52155,3.75627,3.24935,74.16000366210938,,,,,,,876.5000000000001,4.924157303370787,822,4.617977528089888,5.01,4.53,4.21,3.95,3.73,3.52,3.3,3.07,2.78,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,"Dylan Cease","18525",656302
