Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Francisco Lindor,Mets,160,732,644,172,31,117,86,31,0.267,596019
Rafael Devers,Giants,163,729,607,153,35,99,109,1,0.252,646240
Shohei Ohtani,Dodgers,158,727,611,172,55,146,102,20,0.282,660271
Matt Olson,Braves,162,724,624,170,29,98,95,1,0.272,621566
Kyle Schwarber,Phillies,162,724,604,145,56,111,132,10,0.24,656941
Geraldo Perdomo,Diamondbacks,161,720,597,173,20,98,100,27,0.29,672695
Juan Soto,Mets,160,715,577,152,43,120,105,38,0.263,665742
Julio Rodríguez,Mariners,160,710,652,174,32,106,95,30,0.267,677594
Pete Alonso,Mets,162,709,624,170,38,87,126,1,0.272,624413
Randy Arozarena,Mariners,160,709,613,146,27,95,76,31,0.238,668227
Cal Raleigh,Mariners,159,705,596,147,60,110,125,14,0.247,663728
Elly De La Cruz,Reds,162,699,629,166,22,102,86,37,0.264,682829
Brent Rooker,Athletics,162,699,626,164,30,92,89,6,0.262,667670
Jarren Duran,Sox,157,696,620,159,16,86,84,24,0.256,680776
Heliot Ramos,Giants,157,695,620,159,21,85,69,6,0.256,671218
Steven Kwan,Guardians,156,693,625,170,11,81,56,21,0.272,680757
Fernando Tatis Jr.,Padres,155,691,594,159,25,111,71,32,0.268,665487
James Wood,Nationals,157,689,598,153,31,87,94,15,0.256,695578
Bobby Witt Jr.,Royals,157,687,623,184,23,99,88,38,0.295,677951
Willy Adames,Giants,160,686,591,133,30,94,87,12,0.225,642715
TJ Friedl,Reds,152,685,579,151,14,82,53,12,0.261,670770
Vinnie Pasquantino,Royals,160,682,621,164,32,72,113,1,0.264,686469
Vladimir Guerrero Jr.,Jays,156,680,589,172,23,96,84,6,0.292,665489
Aaron Judge,Yankees,152,679,541,179,53,137,114,12,0.331,592450
Manny Machado,Padres,159,678,615,169,27,91,95,14,0.275,592518
Luis Arraez,Padres,154,675,620,181,8,66,61,11,0.292,650333
José Ramírez,Guardians,158,673,593,168,30,103,85,44,0.283,608070
Ozzie Albies,Braves,157,667,603,145,16,74,74,14,0.24,645277
Maikel Garcia,Royals,160,666,595,170,16,81,74,23,0.286,672580
Mookie Betts,Dodgers,150,663,589,152,20,95,82,8,0.258,605141
Ian Happ,Cubs,150,663,569,138,23,87,79,6,0.243,664023
Taylor Ward,Angels,157,663,579,132,36,86,103,4,0.228,621493
William Contreras,Brewers,150,659,566,147,17,89,76,6,0.26,661388
Brice Turang,Brewers,156,659,584,168,18,97,81,24,0.288,668930
Eugenio Suárez,Mariners,159,657,588,134,49,91,118,4,0.228,553993
Cody Bellinger,Yankees,152,656,588,160,29,89,98,13,0.272,641355
Riley Greene,Tigers,157,655,600,155,36,84,111,2,0.258,682985
Jose Altuve,Astros,155,654,588,156,26,80,77,10,0.265,514888
J.P. Crawford,Mariners,157,654,570,151,12,69,58,8,0.265,641487
Bryan Reynolds,Pirates,154,654,587,144,16,68,73,3,0.245,668804
Trevor Story,Sox,157,654,612,161,25,91,96,31,0.263,596115
Junior Caminero,Rays,154,653,602,159,45,93,110,7,0.264,691406
Brandon Nimmo,Mets,155,652,587,154,25,81,92,13,0.262,607043
Yandy Díaz,Rays,150,651,583,175,25,79,83,3,0.3,650490
Gunnar Henderson,Orioles,154,651,577,158,17,85,68,30,0.274,683002
Seiya Suzuki,Cubs,151,651,571,140,32,75,103,5,0.245,673548
Nico Hoerner,Cubs,156,649,599,178,7,89,61,29,0.297,663538
