checkpoint,model,target,stat,mae,n_players
2025-05-01,preseason,ros,k_per_ip,0.113529,87
2025-05-01,preseason,ros,era,0.973012,87
2025-05-01,preseason,ros,whip,0.148243,87
2025-05-01,preseason,ros,w_per_gs,0.162597,87
2025-05-01,preseason,ros,sv_per_g,0.037776,87
2025-05-01,preseason,next_week,hr_per_pa,0.027209,113
2025-05-01,preseason,next_week,r_per_pa,0.047926,113
2025-05-01,preseason,next_week,rbi_per_pa,0.063482,113
2025-05-01,preseason,next_week,sb_per_pa,0.020826,113
2025-05-01,preseason,next_week,avg,0.071353,113
2025-05-01,preseason,ros,hr_per_pa,0.009389,131
2025-05-01,preseason,ros,r_per_pa,0.015795,131
2025-05-01,preseason,ros,rbi_per_pa,0.020638,131
2025-05-01,preseason,ros,sb_per_pa,0.009464,131
2025-05-01,preseason,ros,avg,0.019224,131
2025-05-01,preseason,next_week,k_per_ip,0.377153,64
2025-05-01,preseason,next_week,era,2.442191,64
2025-05-01,preseason,next_week,whip,0.431125,64
2025-05-01,preseason,next_week,w_per_gs,0.359801,64
2025-05-01,preseason,next_week,sv_per_g,0.038304,64
2025-05-01,season_to_date,ros,k_per_ip,0.192466,87
2025-05-01,season_to_date,ros,era,1.56378,87
2025-05-01,season_to_date,ros,whip,0.283132,87
2025-05-01,season_to_date,ros,w_per_gs,0.143667,87
2025-05-01,season_to_date,ros,sv_per_g,0.049699,87
2025-05-01,season_to_date,next_week,hr_per_pa,0.029613,113
2025-05-01,season_to_date,next_week,r_per_pa,0.050126,113
2025-05-01,season_to_date,next_week,rbi_per_pa,0.066534,113
2025-05-01,season_to_date,next_week,sb_per_pa,0.021323,113
2025-05-01,season_to_date,next_week,avg,0.082858,113
2025-05-01,season_to_date,ros,hr_per_pa,0.016092,131
2025-05-01,season_to_date,ros,r_per_pa,0.027714,131
2025-05-01,season_to_date,ros,rbi_per_pa,0.038402,131
2025-05-01,season_to_date,ros,sb_per_pa,0.013889,131
2025-05-01,season_to_date,ros,avg,0.047556,131
2025-05-01,season_to_date,next_week,k_per_ip,0.37937,64
2025-05-01,season_to_date,next_week,era,2.534039,64
2025-05-01,season_to_date,next_week,whip,0.4857,64
2025-05-01,season_to_date,next_week,w_per_gs,0.376042,64
2025-05-01,season_to_date,next_week,sv_per_g,0.035948,64
2025-05-01,fixed_blend,ros,k_per_ip,0.10388,87
2025-05-01,fixed_blend,ros,era,0.969259,87
2025-05-01,fixed_blend,ros,whip,0.161139,87
2025-05-01,fixed_blend,ros,w_per_gs,0.146037,87
2025-05-01,fixed_blend,ros,sv_per_g,0.03772,87
2025-05-01,fixed_blend,next_week,hr_per_pa,0.027545,113
2025-05-01,fixed_blend,next_week,r_per_pa,0.047937,113
2025-05-01,fixed_blend,next_week,rbi_per_pa,0.062954,113
2025-05-01,fixed_blend,next_week,sb_per_pa,0.020918,113
2025-05-01,fixed_blend,next_week,avg,0.073808,113
2025-05-01,fixed_blend,ros,hr_per_pa,0.009994,131
2025-05-01,fixed_blend,ros,r_per_pa,0.015291,131
2025-05-01,fixed_blend,ros,rbi_per_pa,0.021049,131
2025-05-01,fixed_blend,ros,sb_per_pa,0.009562,131
2025-05-01,fixed_blend,ros,avg,0.023194,131
2025-05-01,fixed_blend,next_week,k_per_ip,0.372369,64
2025-05-01,fixed_blend,next_week,era,2.404191,64
2025-05-01,fixed_blend,next_week,whip,0.436256,64
2025-05-01,fixed_blend,next_week,w_per_gs,0.362698,64
2025-05-01,fixed_blend,next_week,sv_per_g,0.035247,64
2025-05-01,reliability_blend,ros,k_per_ip,0.100821,87
2025-05-01,reliability_blend,ros,era,0.925591,87
2025-05-01,reliability_blend,ros,whip,0.148858,87
2025-05-01,reliability_blend,ros,w_per_gs,0.161372,87
2025-05-01,reliability_blend,ros,sv_per_g,0.037369,87
2025-05-01,reliability_blend,next_week,hr_per_pa,0.027475,113
2025-05-01,reliability_blend,next_week,r_per_pa,0.047173,113
2025-05-01,reliability_blend,next_week,rbi_per_pa,0.063422,113
2025-05-01,reliability_blend,next_week,sb_per_pa,0.020609,113
2025-05-01,reliability_blend,next_week,avg,0.072896,113
2025-05-01,reliability_blend,ros,hr_per_pa,0.009519,131
