seed=42 n_iter=1000 fraction_remaining=0.5081
== Boston Estrellas ==
cat      topk_per_iter      topk_fixed     active_slot
R               912.23          907.29          880.67
HR              276.24          275.47          267.33
RBI             871.83          870.65          846.72
SB              160.23          158.05          126.58
AVG               0.26            0.26            0.26
W                85.58           88.27           79.01
K              1386.29         1413.40         1325.98
ERA               3.75            3.77            3.74
WHIP              1.16            1.16            1.15
SV               41.00           30.42           49.31

== Hart of the Order ==
cat      topk_per_iter      topk_fixed     active_slot
R              1084.23         1078.46         1060.73
HR              327.53          318.52          310.10
RBI            1008.13          990.20          979.83
SB              216.46          218.93          199.25
AVG               0.27            0.27            0.27
W                93.19           94.27           85.93
K              1465.19         1465.18         1344.05
ERA               3.61            3.60            3.55
WHIP              1.16            1.16            1.15
SV               55.55           54.71           70.37

== Hello Peanuts! ==
cat      topk_per_iter      topk_fixed     active_slot
R              1062.69         1049.00         1032.47
HR              311.51          311.64          291.24
RBI            1026.52         1016.18          994.75
SB              188.77          182.51          194.32
AVG               0.27            0.27            0.27
W                87.23           86.14           87.64
K              1418.20         1387.36         1442.69
ERA               3.41            3.42            3.42
WHIP              1.16            1.16            1.17
SV               75.27           83.55           59.13

== Jon's Underdogs ==
cat      topk_per_iter      topk_fixed     active_slot
R              1043.97         1046.26         1037.52
HR              289.33          292.73          274.66
RBI             993.47          996.38          960.74
SB              189.95          167.45          203.83
AVG               0.26            0.27            0.26
W                78.73           73.79           73.79
K              1369.34         1309.05         1309.05
ERA               3.48            3.43            3.43
WHIP              1.19            1.19            1.19
SV               53.73           69.79           69.79

== Send in the Cavalli ==
cat      topk_per_iter      topk_fixed     active_slot
R               989.75          988.94          805.84
HR              318.21          310.88          287.44
RBI             977.37          966.66          837.91
SB              105.96          105.60           91.97
AVG               0.25            0.25            0.24
W                66.81           66.20           66.20
K              1088.85         1078.82         1078.82
ERA               4.23            4.24            4.24
WHIP              1.32            1.32            1.32
SV               81.11           84.89           84.89

== SkeleThor ==
cat      topk_per_iter      topk_fixed     active_slot
R              1010.43          992.45          994.27
HR              279.60          273.92          272.05
RBI            1019.98         1001.81          999.73
SB              144.54          147.09          135.64
AVG               0.26            0.26            0.26
W                96.66           96.56           96.56
K              1411.03         1410.04         1410.04
ERA               3.36            3.36            3.36
WHIP              1.18            1.18            1.18
SV               59.36           59.76           59.76

== Spacemen ==
cat      topk_per_iter      topk_fixed     active_slot
R               935.35          927.52          871.08
HR              255.11          254.97          226.46
RBI             908.93          897.52          832.67
SB              133.35          125.27          138.98
AVG               0.26            0.26            0.25
W                72.27           71.97           67.08
K              1246.89         1244.21         1184.71
ERA               3.64            3.64            3.70
WHIP              1.18            1.18            1.20
SV               76.41           77.32           78.43

== Springfield Isotopes ==
cat      topk_per_iter      topk_fixed     active_slot
R               958.14          947.77          924.37
HR              279.16          264.16          248.33
RBI             970.25          953.55          913.80
SB              150.20          158.29          165.21
AVG               0.25            0.25            0.25
W               100.51           96.67           99.51
K              1527.93         1517.75         1465.45
ERA               3.45            3.44            3.37
WHIP              1.14            1.14            1.13
SV               54.25           56.81           56.81

== Tortured Baseball Department ==
cat      topk_per_iter      topk_fixed     active_slot
R               976.00          967.48          973.61
HR              266.28          269.33          259.33
RBI             943.89          944.77          930.23
SB              120.06          119.15          114.49
AVG               0.25            0.25            0.25
W                84.06           84.01           80.76
K              1290.57         1288.15         1264.24
ERA               3.89            3.88            3.96
WHIP              1.24            1.24            1.25
SV               28.44           28.68           28.49

== Work in Progress ==
cat      topk_per_iter      topk_fixed     active_slot
R              1050.70         1038.37         1034.37
HR              313.60          309.69          300.95
RBI             999.95          997.83          968.14
SB              142.16          141.53          134.64
AVG               0.26            0.26            0.26
W                76.80           76.71           75.11
K              1394.09         1394.18         1318.47
ERA               4.25            4.25            4.21
WHIP              1.27            1.28            1.27
SV                4.00            4.00            6.77
