seed=42 n_iter=1000 fraction_remaining=0.5081
== Boston Estrellas ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               912.97          908.01          881.41          895.55
HR              276.31          275.54          267.32          239.44
RBI             872.44          871.76          847.22          825.01
SB              161.28          159.13          127.52          146.32
AVG               0.26            0.26            0.26            0.25
W                85.42           82.34           79.01           85.42
K              1394.55         1350.37         1333.28         1394.55
ERA               3.80            3.85            3.75            3.80
WHIP              1.17            1.18            1.15            1.17
SV               43.00           50.25           50.25           43.00

== Hart of the Order ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1085.08         1079.08         1061.91         1079.13
HR              328.45          319.48          311.00          325.79
RBI            1010.68          993.06          982.74         1021.51
SB              216.45          218.91          199.23          218.00
AVG               0.27            0.27            0.27            0.26
W                94.07           94.95           86.76           94.45
K              1468.92         1468.87         1347.33         1467.13
ERA               3.57            3.56            3.51            3.58
WHIP              1.16            1.16            1.15            1.16
SV               55.55           54.71           70.37           56.86

== Hello Peanuts! ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1067.10         1052.90         1036.39         1047.15
HR              311.59          311.58          291.26          299.98
RBI            1029.03         1019.43          997.78         1016.83
SB              190.53          184.41          196.40          190.68
AVG               0.27            0.27            0.27            0.26
W                87.23           86.14           87.64           87.23
K              1418.20         1387.36         1442.69         1418.20
ERA               3.41            3.42            3.42            3.41
WHIP              1.16            1.16            1.17            1.16
SV               75.27           83.55           59.13           75.27

== Jon's Underdogs ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1043.87         1046.26         1037.52         1013.84
HR              289.37          292.72          274.66          263.01
RBI             993.47          996.28          960.68          931.78
SB              189.98          167.42          203.84          188.60
AVG               0.26            0.27            0.26            0.26
W                78.73           73.79           73.79           78.68
K              1369.34         1309.05         1309.05         1368.54
ERA               3.48            3.43            3.43            3.48
WHIP              1.19            1.19            1.19            1.19
SV               53.73           69.79           69.79           53.63

== Send in the Cavalli ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               991.26          990.57          807.68          807.04
HR              319.04          310.94          288.30          280.07
RBI             979.98          967.54          841.12          837.97
SB              105.85          105.49           92.00           86.68
AVG               0.25            0.25            0.24            0.24
W                66.70           66.13           66.13           66.75
K              1087.84         1076.97         1076.97         1085.48
ERA               4.24            4.26            4.26            4.27
WHIP              1.31            1.31            1.31            1.32
SV               81.11           84.89           84.89           82.22

== SkeleThor ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1011.97          994.26          995.83          993.98
HR              279.49          273.94          272.09          244.49
RBI            1021.16         1002.47         1000.21          948.30
SB              144.43          147.32          135.70          140.00
AVG               0.26            0.26            0.26            0.26
W                97.37           97.34           97.34           96.99
K              1413.69         1413.00         1413.00         1407.49
ERA               3.35            3.35            3.35            3.36
WHIP              1.18            1.18            1.18            1.18
SV               59.36           59.76           59.76           60.22

== Spacemen ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               935.55          927.75          870.76          914.25
HR              255.16          254.97          226.35          243.31
RBI             909.86          898.83          833.47          866.37
SB              133.34          125.20          138.88          132.76
AVG               0.26            0.26            0.26            0.25
W                72.27           71.97           67.08           72.28
K              1246.89         1244.21         1184.71         1247.22
ERA               3.64            3.64            3.70            3.64
WHIP              1.18            1.18            1.20            1.19
SV               76.41           77.32           78.43           75.94

== Springfield Isotopes ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               959.35          949.59          925.88          943.37
HR              280.39          265.98          250.66          246.61
RBI             971.00          955.17          915.32          932.37
SB              151.20          158.19          165.12          169.10
AVG               0.25            0.25            0.25            0.25
W               100.47           96.67           99.50          100.03
K              1527.82         1519.11         1466.08         1532.64
ERA               3.44            3.44            3.37            3.45
WHIP              1.14            1.14            1.13            1.14
SV               55.03           57.81           57.81           56.00

== Tortured Baseball Department ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               979.55          971.48          977.53          975.04
HR              267.23          270.37          260.35          260.19
RBI             945.74          946.41          932.03          922.96
SB              121.03          120.07          115.47          135.84
AVG               0.25            0.25            0.25            0.25
W                84.86           84.75           81.71           83.96
K              1302.29         1298.06         1275.17         1305.24
ERA               3.88            3.88            3.95            3.89
WHIP              1.24            1.24            1.25            1.23
SV               28.44           28.68           28.49           28.92

== Work in Progress ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1051.83         1039.37         1035.38         1031.23
HR              313.58          309.69          300.96          303.58
RBI            1000.88          998.85          969.20          989.78
SB              142.16          141.53          134.63          138.99
AVG               0.26            0.26            0.26            0.26
W                76.80           76.71           75.11           76.66
K              1394.09         1394.18         1318.47         1391.57
ERA               4.25            4.25            4.21            4.27
WHIP              1.27            1.28            1.27            1.28
SV                4.00            4.00            6.77            4.00
