seed=42 n_iter=1000 fraction_remaining=0.5081
== Boston Estrellas ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               913.07          907.99          881.44          895.55
HR              276.34          275.59          267.28          239.44
RBI             872.60          871.71          847.27          825.01
SB              161.24          159.11          127.47          146.32
AVG               0.26            0.26            0.26            0.25
W                85.42           82.34           79.01           76.00
K              1394.55         1350.37         1333.28         1280.00
ERA               3.80            3.85            3.75            3.79
WHIP              1.17            1.18            1.15            1.17
SV               43.00           50.25           50.25           57.00

== Hart of the Order ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1085.45         1079.08         1062.91         1077.66
HR              328.38          319.48          310.99          324.61
RBI            1011.61          993.91          983.71         1019.72
SB              216.38          218.91          199.26          217.07
AVG               0.27            0.27            0.27            0.26
W                95.03           95.95           87.64           90.01
K              1477.78         1476.98         1355.90         1417.13
ERA               3.55            3.54            3.49            3.60
WHIP              1.16            1.16            1.15            1.15
SV               55.55           54.71           70.37           72.00

== Hello Peanuts! ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1068.11         1053.78         1038.99         1046.56
HR              311.18          311.54          291.23          299.89
RBI            1028.90         1019.27          997.75         1015.48
SB              191.70          185.30          197.08          190.96
AVG               0.27            0.27            0.27            0.26
W                87.23           86.14           87.64           83.00
K              1418.91         1388.57         1443.43         1380.00
ERA               3.41            3.41            3.42            3.64
WHIP              1.16            1.16            1.17            1.19
SV               75.27           83.55           59.13           78.00

== Jon's Underdogs ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1046.73         1048.72         1040.10         1013.12
HR              290.02          293.69          275.74          262.81
RBI             998.40         1001.15          965.30          931.71
SB              189.93          167.37          203.84          188.10
AVG               0.26            0.27            0.26            0.26
W                78.73           73.79           73.79           79.58
K              1369.34         1309.05         1309.05         1296.12
ERA               3.48            3.43            3.43            3.59
WHIP              1.19            1.19            1.19            1.20
SV               53.73           69.79           69.79           81.00

== Send in the Cavalli ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               991.21          990.65          807.68          806.71
HR              319.02          310.96          288.30          280.64
RBI             979.97          967.58          841.12          838.79
SB              105.85          105.49           92.00           86.92
AVG               0.25            0.25            0.24            0.24
W                66.70           66.12           66.12           61.00
K              1089.44         1078.70         1078.70          982.00
ERA               4.24            4.26            4.26            4.29
WHIP              1.31            1.31            1.31            1.32
SV               82.10           85.73           85.73           91.00

== SkeleThor ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1012.96          995.18          996.61          994.30
HR              280.63          274.83          273.07          244.54
RBI            1023.01         1004.19         1002.12          948.25
SB              144.43          147.32          135.70          140.09
AVG               0.26            0.26            0.26            0.26
W                97.37           97.34           97.34           85.00
K              1413.69         1413.00         1413.00         1305.00
ERA               3.35            3.35            3.35            3.56
WHIP              1.18            1.18            1.18            1.21
SV               59.36           59.76           59.76           76.00

== Spacemen ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               935.24          927.53          872.08          913.12
HR              255.14          254.88          226.24          242.29
RBI             910.07          898.41          834.27          865.07
SB              134.09          125.10          139.64          133.11
AVG               0.26            0.26            0.26            0.25
W                72.27           71.97           67.08           70.08
K              1246.89         1244.21         1184.71         1201.29
ERA               3.64            3.64            3.70            3.91
WHIP              1.18            1.18            1.20            1.23
SV               76.41           77.32           78.43           81.00

== Springfield Isotopes ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               961.14          951.36          927.93          941.47
HR              280.38          265.93          250.61          245.40
RBI             971.26          955.56          915.38          931.32
SB              151.06          158.18          165.12          168.87
AVG               0.25            0.25            0.25            0.25
W               100.00           96.67           99.51           92.00
K              1527.17         1519.16         1466.26         1408.50
ERA               3.44            3.44            3.37            3.53
WHIP              1.14            1.14            1.13            1.14
SV               56.64           58.75           58.75           61.00

== Tortured Baseball Department ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R               982.23          974.24          980.13          975.81
HR              267.25          270.35          260.39          259.91
RBI             948.62          949.74          935.24          922.31
SB              120.98          120.07          115.45          134.84
AVG               0.25            0.25            0.25            0.25
W                84.86           84.75           81.71           75.65
K              1302.29         1298.06         1275.17         1157.77
ERA               3.88            3.88            3.95            3.83
WHIP              1.24            1.24            1.25            1.23
SV               28.44           28.68           28.49           30.00

== Work in Progress ==
cat      topk_per_iter      topk_fixed     active_slot      new_engine
R              1051.83         1039.37         1035.38         1029.47
HR              313.58          309.69          300.96          302.90
RBI            1000.88          998.85          969.20          988.81
SB              142.16          141.53          134.63          138.52
AVG               0.26            0.26            0.25            0.26
W                76.80           76.71           75.11           66.96
K              1394.09         1394.18         1318.47         1193.17
ERA               4.25            4.25            4.21            4.19
WHIP              1.27            1.28            1.27            1.26
SV                4.00            4.00            6.77            6.00
