round,player,pos,adp,deltaroto_immediate,vopn,sgp
1,Wyatt Langford,H,39,6.98,0.44,13.3
2,Edwin Díaz,P,33,3.91,0.51,10.5
3,Logan Webb,P,58,2.88,0.84,12.5
4,Oneil Cruz,H,93,2.8,0.07,12.9
5,Riley Greene,H,78,2.24,0.15,12.2
6,George Springer,H,94,2.06,0.12,12.2
7,Eugenio Suárez,H,98,1.63,0.57,11.7
8,Sonny Gray,P,138,1.48,0.51,10.4
9,Ceddanne Rafaela,H,126,1.12,0.43,11.2
10,MacKenzie Gore,P,165,0.96,0.11,9.6
11,Yandy Díaz,H,138,0.92,0.82,10.6
12,Luis Castillo,P,171,0.82,0.15,9.4
13,Blake Snell,P,173,0.68,0.01,8.5
14,Jack Flaherty,P,210,0.67,0.08,9.2
15,Bryson Stott,H,182,0.68,0.09,10.6
16,Ranger Suarez,P,184,0.6,0.09,8.8
17,Aaron Nola,P,207,0.49,0.05,9.0
18,J.T. Realmuto,H,213,-0.69,0.4,7.8
19,Heliot Ramos,H,219,0.88,0.65,10.5
20,Gleyber Torres,H,262,0.65,0.39,10.1
