round,player,pos,adp,deltaroto_immediate,vopn,sgp
1,Josh Naylor,H,67,5.42,1.25,12.1
2,Freddie Freeman,H,68,2.25,1.66,12.5
3,Logan Webb,P,58,2.88,0.84,12.5
4,CJ Abrams,H,65,1.66,0.9,13.1
5,Hunter Goodman,H,67,1.49,0.88,10.7
6,Eugenio Suárez,H,98,1.62,0.53,11.7
7,Yandy Díaz,H,138,0.86,0.71,10.6
8,Zack Wheeler,P,112,1.72,0.27,10.3
9,Sonny Gray,P,138,1.44,0.48,10.4
10,Ceddanne Rafaela,H,126,1.12,0.41,11.2
11,Ryan Walker,P,147,0.8,0.35,8.1
12,Taylor Ward,H,150,1.33,0.43,11.5
13,Lawrence Butler,H,158,1.08,0.21,11.3
14,Robert Garcia,P,232,-0.12,0.15,6.5
15,Jack Flaherty,P,210,0.68,0.08,9.2
16,Ranger Suarez,P,184,0.6,0.08,8.8
17,Aaron Nola,P,207,0.51,0.08,9.0
18,Matthew Boyd,P,213,0.43,0.3,8.5
19,Gleyber Torres,H,262,0.58,0.38,10.1
20,Munetaka Murakami,H,,0.07,0.37,11.3
