round,player,pos,adp,deltaroto_immediate,vopn,sgp
1,Bobby Witt Jr.,H,3,6.03,2.95,18.1
2,Tarik Skubal,P,7,5.25,2.14,16.3
3,Edwin Díaz,P,33,3.93,0.17,10.5
4,Bryan Woo,P,35,2.71,0.13,12.8
5,Logan Webb,P,58,2.36,0.61,12.5
6,Maikel Garcia,H,64,2.18,0.52,12.3
7,Austin Riley,H,60,1.95,0.77,12.1
8,Dylan Cease,P,74,1.62,0.23,11.3
9,Framber Valdez,P,82,1.34,0.06,10.9
10,Nico Hoerner,H,102,1.32,0.38,11.2
11,Zack Wheeler,P,112,1.22,0.24,10.3
12,Ceddanne Rafaela,H,126,0.9,0.36,11.2
13,Sonny Gray,P,138,0.86,0.25,10.4
14,Matt Chapman,H,164,0.8,1.0,11.0
15,Ryan Walker,P,147,0.75,0.4,8.1
16,Gleyber Torres,H,262,0.45,0.03,10.1
17,Bryson Stott,H,182,0.43,0.3,10.6
18,Heliot Ramos,H,219,0.0,0.21,10.5
19,Ian Happ,H,184,-0.03,0.16,11.0
20,Luis Arraez,H,280,-0.13,0.3,8.7
21,Ryan Jeffers,H,297,-1.3,0.3,7.3
22,Grant Taylor,P,508,0.15,0.02,6.0
23,Justin Crawford,H,,0.42,0.29,9.2
