round,player,pos,adp,deltaroto_immediate,vopn,sgp
1,Bobby Witt Jr.,H,3,6.03,2.95,18.1
2,Tarik Skubal,P,7,5.25,2.14,16.3
3,Cal Raleigh,H,19,2.36,1.11,14.0
4,Austin Riley,H,60,1.98,0.82,12.1
5,Logan Webb,P,58,2.67,0.73,12.5
6,CJ Abrams,H,65,1.09,0.89,13.1
7,Mookie Betts,H,60,0.79,0.53,12.2
8,Nico Hoerner,H,102,1.25,0.34,11.2
9,Yandy Díaz,H,138,0.45,0.45,10.6
10,Eugenio Suárez,H,98,1.2,0.43,11.7
11,Sonny Gray,P,138,1.38,0.37,10.4
12,Teoscar Hernández,H,126,0.81,0.42,11.7
13,Ryan Walker,P,147,0.85,0.34,8.1
14,Taylor Ward,H,150,0.4,0.27,11.5
15,Abner Uribe,P,167,0.24,0.32,7.1
16,Lawrence Butler,H,158,0.14,0.13,11.3
17,Blake Snell,P,173,0.74,0.07,8.5
18,Jack Flaherty,P,210,0.67,0.15,9.2
19,Heliot Ramos,H,219,0.0,0.15,10.5
20,Robert Garcia,P,232,0.12,0.11,6.5
21,Zac Gallen,P,223,0.3,0.19,8.9
22,J.T. Realmuto,H,213,-0.88,0.39,7.8
23,Masyn Winn,H,354,-0.65,0.87,9.9
